,name,ratings
0,Joe Biden,"[0.13074879348278046, 0.31628161668777466, 0.29386401176452637, 0.27396026253700256, 0.28016722202301025, 0.2583043873310089, 0.27828001976013184, 0.2921554446220398, 0.2654953896999359, 0.5310582518577576, 0.2195432335138321, 0.25743162631988525, 0.20837584137916565, 0.23476502299308777, 0.21821841597557068, 0.5418913960456848, 0.362139493227005, 0.38661259412765503, 0.20012877881526947, 0.3229348063468933, 0.21302759647369385, 0.2721806466579437, 0.2634945809841156, 0.22161345183849335, 0.31738874316215515, 0.30283960700035095, 0.22727856040000916, 0.5712937116622925, 0.4295422434806824, 0.3146234154701233, 0.28162455558776855, 0.3165764808654785, 0.2818441390991211, 0.2730511426925659, 0.2238030731678009, 0.13072824478149414, 0.21634893119335175, 0.20489676296710968, 0.29693999886512756, 0.2644568681716919, 0.21961146593093872, 0.40041351318359375, 0.3225390911102295, 0.21877142786979675, 0.30493706464767456, 0.5638517141342163, 0.206079363822937, 0.27421629428863525, 0.6026890873908997, 0.169213205575943, 0.307598352432251, 0.32399556040763855, 0.4934993088245392, 0.2599375247955322, 0.2399759739637375, 0.31479182839393616, 0.32361099123954773, 0.18685287237167358, 0.4600789248943329, 0.18173058331012726, 0.4172247052192688, 0.2396935224533081, 0.2592141330242157, 0.5008500814437866, 0.3126428723335266, 0.4905111491680145, 0.34594687819480896, 0.2533833980560303, 0.21079693734645844, 0.22161701321601868, 0.27291253209114075, 0.24399054050445557, 0.3308868706226349, 0.25856804847717285, 0.18961654603481293, 0.146690234541893, 0.39390379190444946, 0.40676626563072205, 0.2254253327846527, 0.24384619295597076, 0.2899932861328125, 0.1444901078939438, 0.22087077796459198, 0.20242607593536377, 0.1146894097328186, 0.2862465977668762, 0.35290291905403137, 0.3417856991291046, 0.33990317583084106, 0.2755710780620575, 0.293513685464859, 0.2611575126647949, 0.2552790641784668, 0.19854164123535156, 0.22365859150886536, 0.2636380195617676, 0.1992740035057068, 0.3016752302646637, 0.2517436742782593, 0.24867649376392365]"
1,Donald Trump,"[0.34450483322143555, 0.15791058540344238, 0.2275061160326004, 0.13844649493694305, 0.283626914024353, 0.22051553428173065, 0.174266055226326, 0.22523173689842224, 0.11542064696550369, 0.24060937762260437, 0.1326284557580948, 0.14733755588531494, 0.32399609684944153, 0.19921019673347473, 0.21232454478740692, 0.06861457228660583, 0.181362584233284, 0.12197120487689972, 0.15299054980278015, 0.21994054317474365, 0.13023258745670319, 0.2572818994522095, 0.25120413303375244, 0.09850020706653595, 0.19564953446388245, 0.29330793023109436, 0.20914915204048157, 0.21911174058914185, 0.14205767214298248, 0.4448242485523224, 0.2600821554660797, 0.15813656151294708, 0.3330404460430145, 0.10467158257961273, 0.09029953181743622, 0.08434583246707916, 0.1809573620557785, 0.06949950754642487, 0.20617400109767914, 0.14699649810791016, 0.3362148702144623, 0.4308548867702484, 0.19758497178554535, 0.06807179749011993, 0.39105963706970215, 0.05849805474281311, 0.10859651863574982, 0.2502957284450531, 0.23449328541755676, 0.3964899778366089, 0.09961415827274323, 0.25528576970100403, 0.23003393411636353, 0.22750532627105713, 0.2281186282634735, 0.22720584273338318, 0.30932319164276123, 0.3105200529098511, 0.1416865438222885, 0.21533526480197906, 0.23192714154720306, 0.18189291656017303, 0.13000987470149994, 0.3845372796058655, 0.14681965112686157, 0.3881661891937256, 0.23615433275699615, 0.19507618248462677, 0.24057115614414215, 0.28517964482307434, 0.04956994950771332, 0.23522017896175385, 0.3821554481983185, 0.35943078994750977, 0.14958073198795319, 0.2700504958629608, 0.3686083257198334, 0.10303469002246857, 0.16731955111026764, 0.2877277731895447, 0.21174950897693634, 0.15862376987934113, 0.18985067307949066, 0.3949999213218689, 0.15770401060581207, 0.301758736371994, 0.2371065616607666, 0.17657412588596344, 0.36468344926834106, 0.09615250676870346, 0.17115814983844757, 0.0901944562792778, 0.10660301148891449, 0.23158209025859833, 0.23460769653320312, 0.12831148505210876, 0.29154112935066223, 0.20483621954917908, 0.23330433666706085, 0.2579171657562256]"
2,Barack Obama,"[0.3021068274974823, 0.4554307162761688, 0.6193169951438904, 0.7063024044036865, 0.624782919883728, 0.2702394425868988, 0.2514917254447937, 0.5874882340431213, 0.6619986295700073, 0.6259498596191406, 0.23818223178386688, 0.6151900887489319, 0.2484494298696518, 0.622779369354248, 0.5796518325805664, 0.2110835462808609, 0.5633895397186279, 0.7417161464691162, 0.5426541566848755, 0.32410988211631775, 0.44362932443618774, 0.3325808048248291, 0.49875593185424805, 0.23465944826602936, 0.40459170937538147, 0.6031467914581299, 0.34204187989234924, 0.5644323229789734, 0.21166522800922394, 0.31703487038612366, 0.2611405849456787, 0.6279380321502686, 0.362222284078598, 0.32483601570129395, 0.4702593982219696, 0.34168970584869385, 0.3010237514972687, 0.7092128396034241, 0.48752647638320923, 0.4089435338973999, 0.2912721633911133, 0.6754586696624756, 0.5119724273681641, 0.4007929563522339, 0.402551531791687, 0.32649409770965576, 0.26002320647239685, 0.6262263059616089, 0.6474170684814453, 0.4525062143802643, 0.4090351164340973, 0.7216536998748779, 0.35134783387184143, 0.5207399725914001, 0.3884713351726532, 0.34816494584083557, 0.7330458760261536, 0.8148070573806763, 0.6128731369972229, 0.6261177659034729, 0.4843510687351227, 0.5210639834403992, 0.7546277642250061, 0.35766175389289856, 0.32526060938835144, 0.7010774612426758, 0.5759056806564331, 0.17732013761997223, 0.8281809687614441, 0.6494987607002258, 0.3618220090866089, 0.44848811626434326, 0.22316908836364746, 0.48466745018959045, 0.2243758738040924, 0.38988715410232544, 0.3776974081993103, 0.35948559641838074, 0.6785084009170532, 0.6634263396263123, 0.5821964740753174, 0.27883318066596985, 0.2864656150341034, 0.7696853876113892, 0.48394113779067993, 0.7741213440895081, 0.4059314429759979, 0.3303288519382477, 0.21048834919929504, 0.6744418144226074, 0.529208242893219, 0.49244871735572815, 0.19505232572555542, 0.22579805552959442, 0.5948691368103027, 0.41060230135917664, 0.2709880471229553, 0.2879684865474701, 0.2954411208629608, 0.3698068857192993]"
3,George W. Bush,"[0.19720646739006042, 0.1056370660662651, 0.07611318677663803, 0.05966034159064293, 0.14868943393230438, 0.09917523711919785, 0.17586642503738403, 0.09983773529529572, 0.08845382183790207, 0.16255511343479156, 0.1430874913930893, 0.09870998561382294, 0.10336887091398239, 0.08407726138830185, 0.1051831915974617, 0.0811460092663765, 0.11750289052724838, 0.13291044533252716, 0.1650734841823578, 0.1352076530456543, 0.11091922968626022, 0.13083426654338837, 0.16188737750053406, 0.08708787709474564, 0.2756025791168213, 0.10725753754377365, 0.14777803421020508, 0.1031385138630867, 0.09772246330976486, 0.08746787160634995, 0.05273143947124481, 0.08304338157176971, 0.17508134245872498, 0.17948627471923828, 0.23887595534324646, 0.09827832132577896, 0.1010742262005806, 0.12943638861179352, 0.1654588133096695, 0.16957218945026398, 0.2097325474023819, 0.14276939630508423, 0.1870749592781067, 0.1462450921535492, 0.11548057198524475, 0.09426632523536682, 0.11944156885147095, 0.20799672603607178, 0.13366632163524628, 0.15857797861099243, 0.14043377339839935, 0.0873054713010788, 0.10865361243486404, 0.03761139512062073, 0.13766543567180634, 0.11884048581123352, 0.09222416579723358, 0.16525094211101532, 0.07991397380828857, 0.06963571161031723, 0.08980302512645721, 0.1262369602918625, 0.0937567725777626, 0.07788289338350296, 0.12523207068443298, 0.0883546695113182, 0.15889720618724823, 0.1618676483631134, 0.18451549112796783, 0.07881025969982147, 0.07430234551429749, 0.11642036586999893, 0.06722424179315567, 0.07279231399297714, 0.078461654484272, 0.17621706426143646, 0.11627956479787827, 0.06431572139263153, 0.20900100469589233, 0.12422677129507065, 0.09950707852840424, 0.13294440507888794, 0.0685470849275589, 0.15533307194709778, 0.10480444878339767, 0.07353027164936066, 0.1257961541414261, 0.12926724553108215, 0.06520462781190872, 0.16832391917705536, 0.0646028220653534, 0.09136347472667694, 0.09336419403553009, 0.11892490088939667, 0.09381227940320969, 0.10173157602548599, 0.09687971323728561, 0.14738677442073822, 0.09148680418729782, 0.24423754215240479]"
4,Bill Clinton,"[0.7232982516288757, 0.5114449262619019, 0.6407925486564636, 0.6332272291183472, 0.806925892829895, 0.27685031294822693, 0.633358895778656, 0.4279036819934845, 0.41074660420417786, 0.5433131456375122, 0.5042946934700012, 0.3683681786060333, 0.42539501190185547, 0.4115298390388489, 0.7294436097145081, 0.244463711977005, 0.7999321818351746, 0.45973479747772217, 0.698025107383728, 0.29381871223449707, 0.3629216253757477, 0.3323915898799896, 0.4235364496707916, 0.3585723340511322, 0.28935450315475464, 0.5441315174102783, 0.5033482909202576, 0.6877598762512207, 0.48039960861206055, 0.18401645123958588, 0.2880522608757019, 0.17335917055606842, 0.6597301959991455, 0.6582910418510437, 0.22703413665294647, 0.16532689332962036, 0.6016387939453125, 0.3119388818740845, 0.44867825508117676, 0.21763312816619873, 0.5717965960502625, 0.4745640456676483, 0.6984096765518188, 0.5223103165626526, 0.3892146646976471, 0.34683260321617126, 0.25974172353744507, 0.5056248903274536, 0.5944737195968628, 0.46475985646247864, 0.44830384850502014, 0.48581573367118835, 0.7537742853164673, 0.5649276375770569, 0.41605788469314575, 0.4787681996822357, 0.6457110643386841, 0.3380478322505951, 0.7807865738868713, 0.2279856652021408, 0.32204416394233704, 0.4830543100833893, 0.5746609568595886, 0.7535215020179749, 0.7224187254905701, 0.7769628167152405, 0.3740973472595215, 0.555571436882019, 0.4044901728630066, 0.38535481691360474, 0.5186903476715088, 0.5243539214134216, 0.3221914768218994, 0.4685511887073517, 0.5750324726104736, 0.3346957266330719, 0.4098423421382904, 0.1770978420972824, 0.30761003494262695, 0.46129631996154785, 0.4091391861438751, 0.43621841073036194, 0.7466735243797302, 0.39823117852211, 0.5393451452255249, 0.6293755769729614, 0.7712581753730774, 0.5132054090499878, 0.4246748983860016, 0.7854730486869812, 0.2350783348083496, 0.4973542094230652, 0.2846004068851471, 0.5111182928085327, 0.7437654733657837, 0.20622135698795319, 0.46931231021881104, 0.34585440158843994, 0.5550708174705505, 0.500660240650177]"
5,George H. W. Bush,"[0.1979430764913559, 0.32540735602378845, 0.17750194668769836, 0.2233416736125946, 0.274160772562027, 0.2298581898212433, 0.5437940359115601, 0.22884045541286469, 0.25593122839927673, 0.1972683072090149, 0.2901165187358856, 0.2923465967178345, 0.35902875661849976, 0.3913276195526123, 0.28385627269744873, 0.36084088683128357, 0.20319192111492157, 0.3130374252796173, 0.19397160410881042, 0.22960858047008514, 0.28445082902908325, 0.19733735918998718, 0.47131121158599854, 0.23708198964595795, 0.27901479601860046, 0.30906927585601807, 0.25092121958732605, 0.24775178730487823, 0.16909955441951752, 0.24158766865730286, 0.23587369918823242, 0.37150612473487854, 0.3745683431625366, 0.3674444258213043, 0.14827410876750946, 0.2742280662059784, 0.4646655321121216, 0.2538866400718689, 0.3527555465698242, 0.49864527583122253, 0.18029117584228516, 0.31710126996040344, 0.16819262504577637, 0.29647305607795715, 0.18009862303733826, 0.3592611253261566, 0.20262214541435242, 0.4919435679912567, 0.14371098577976227, 0.2280281037092209, 0.3604789078235626, 0.1989954710006714, 0.18127082288265228, 0.17950056493282318, 0.2381761223077774, 0.6004127860069275, 0.33662065863609314, 0.18153905868530273, 0.5781369805335999, 0.2528897821903229, 0.17974747717380524, 0.2952222526073456, 0.20252615213394165, 0.4112170338630676, 0.22062204778194427, 0.35320746898651123, 0.230718731880188, 0.2044672966003418, 0.2086470127105713, 0.18741025030612946, 0.23536889255046844, 0.1766941249370575, 0.2567933201789856, 0.18714991211891174, 0.5314578413963318, 0.6075192093849182, 0.21780961751937866, 0.2752768397331238, 0.36346468329429626, 0.6622540354728699, 0.14419789612293243, 0.2724287509918213, 0.28435248136520386, 0.32938307523727417, 0.3830312490463257, 0.16904303431510925, 0.31546637415885925, 0.23555056750774384, 0.11576492339372635, 0.41966384649276733, 0.2063414752483368, 0.1985623687505722, 0.20442353188991547, 0.1741836965084076, 0.17458438873291016, 0.21443375945091248, 0.2696397006511688, 0.28525978326797485, 0.22809574007987976, 0.1720409244298935]"
6,Ronald Reagan,"[0.3234803378582001, 0.23073014616966248, 0.4422604739665985, 0.37282794713974, 0.47344833612442017, 0.2861577868461609, 0.2007683515548706, 0.2486983686685562, 0.7193747758865356, 0.1498606950044632, 0.5552093386650085, 0.658713698387146, 0.5619440078735352, 0.21649391949176788, 0.26487791538238525, 0.3733311891555786, 0.4293646812438965, 0.3015906512737274, 0.6684710383415222, 0.18818698823451996, 0.2991185188293457, 0.33179914951324463, 0.1730441451072693, 0.2160637229681015, 0.3155648708343506, 0.23418158292770386, 0.5577821731567383, 0.2871086597442627, 0.551575243473053, 0.3168220818042755, 0.46757131814956665, 0.625349760055542, 0.44317448139190674, 0.15796786546707153, 0.19530346989631653, 0.2357311099767685, 0.661522626876831, 0.25287967920303345, 0.3429515063762665, 0.5507520437240601, 0.1513020247220993, 0.6998066306114197, 0.2779155671596527, 0.4583926796913147, 0.25875309109687805, 0.4395451545715332, 0.4753751754760742, 0.26281505823135376, 0.4140354096889496, 0.18774107098579407, 0.22693364322185516, 0.4582535922527313, 0.22648319602012634, 0.44037842750549316, 0.7462108731269836, 0.2698424160480499, 0.2935173809528351, 0.1890864223241806, 0.3276447355747223, 0.40328270196914673, 0.20781278610229492, 0.30747804045677185, 0.2280695140361786, 0.2526147961616516, 0.3502424955368042, 0.20739002525806427, 0.3060169517993927, 0.6512482762336731, 0.20560070872306824, 0.49092426896095276, 0.30812814831733704, 0.35921189188957214, 0.27593111991882324, 0.30218377709388733, 0.7558348178863525, 0.3927754759788513, 0.14190514385700226, 0.2709431052207947, 0.47236037254333496, 0.4861956834793091, 0.24612246453762054, 0.2892478108406067, 0.19883333146572113, 0.22085508704185486, 0.8322972059249878, 0.33136507868766785, 0.1875370591878891, 0.6865922212600708, 0.29930561780929565, 0.4211398959159851, 0.534404456615448, 0.42632371187210083, 0.3807719051837921, 0.23830503225326538, 0.7390334606170654, 0.4774031937122345, 0.6503346562385559, 0.7667505741119385, 0.2423359900712967, 0.14348946511745453]"
7,Jimmy Carter,"[0.47946012020111084, 0.3086717426776886, 0.2873155474662781, 0.41170138120651245, 0.18133319914340973, 0.3037146329879761, 0.6061128377914429, 0.32725194096565247, 0.23215848207473755, 0.453877329826355, 0.5093998312950134, 0.34265995025634766, 0.5848021507263184, 0.34957781434059143, 0.44647976756095886, 0.4845768213272095, 0.3406233489513397, 0.28408217430114746, 0.1888316571712494, 0.14144539833068848, 0.12741880118846893, 0.13316462934017181, 0.32262054085731506, 0.3271823823451996, 0.19449482858181, 0.20261257886886597, 0.13675646483898163, 0.271417498588562, 0.644210159778595, 0.24826721847057343, 0.21663151681423187, 0.29641151428222656, 0.7432417869567871, 0.6785539984703064, 0.16646414995193481, 0.5352043509483337, 0.19552940130233765, 0.19701941311359406, 0.2468942254781723, 0.46611323952674866, 0.17312094569206238, 0.19688862562179565, 0.38246625661849976, 0.6147539615631104, 0.28860124945640564, 0.16963151097297668, 0.7054062485694885, 0.179995596408844, 0.48456093668937683, 0.27169162034988403, 0.2707793116569519, 0.24553099274635315, 0.19322246313095093, 0.12289371341466904, 0.1887340098619461, 0.12168966233730316, 0.1386963576078415, 0.2436167597770691, 0.7023373246192932, 0.4452595114707947, 0.32632243633270264, 0.38464784622192383, 0.4823271632194519, 0.5245007276535034, 0.5233280658721924, 0.6283593773841858, 0.13322509825229645, 0.48580512404441833, 0.21294765174388885, 0.32618552446365356, 0.4494907557964325, 0.36803877353668213, 0.29605069756507874, 0.4732702672481537, 0.21606788039207458, 0.22353465855121613, 0.5223750472068787, 0.3572821021080017, 0.4954357445240021, 0.3475288152694702, 0.21239233016967773, 0.26608675718307495, 0.5221443772315979, 0.20793819427490234, 0.21311116218566895, 0.39786484837532043, 0.40516188740730286, 0.7538517117500305, 0.20193196833133698, 0.6748709082603455, 0.3413684368133545, 0.0961042046546936, 0.14681795239448547, 0.3703776001930237, 0.3464110493659973, 0.6751019358634949, 0.49142035841941833, 0.5136430859565735, 0.29976874589920044, 0.15483920276165009]"
8,Gerald Ford,"[0.12466130405664444, 0.12224549055099487, 0.3000364303588867, 0.25265297293663025, 0.17905917763710022, 0.07793450355529785, 0.19338786602020264, 0.14895424246788025, 0.16270652413368225, 0.21673043072223663, 0.15406738221645355, 0.06320860981941223, 0.18333247303962708, 0.11343301832675934, 0.21573933959007263, 0.13991177082061768, 0.1350475549697876, 0.13196848332881927, 0.1053684800863266, 0.1736714094877243, 0.16410627961158752, 0.2914559245109558, 0.30490347743034363, 0.12157625705003738, 0.314058393239975, 0.12110472470521927, 0.15873846411705017, 0.24704764783382416, 0.19114306569099426, 0.10182423889636993, 0.06758101284503937, 0.09705492854118347, 0.20939160883426666, 0.12574075162410736, 0.09926280379295349, 0.09039684385061264, 0.09183706343173981, 0.22799520194530487, 0.1281587779521942, 0.10967472195625305, 0.18312132358551025, 0.10202529281377792, 0.11531322449445724, 0.23313747346401215, 0.24991901218891144, 0.2093394696712494, 0.14403776824474335, 0.0670284628868103, 0.18362171947956085, 0.12078316509723663, 0.17329679429531097, 0.18831825256347656, 0.07958885282278061, 0.11517878621816635, 0.12955500185489655, 0.09125393629074097, 0.10655049234628677, 0.24401333928108215, 0.1787341982126236, 0.07581980526447296, 0.10235800594091415, 0.15936988592147827, 0.052440449595451355, 0.1835409700870514, 0.13408799469470978, 0.1026899591088295, 0.3129170536994934, 0.17336878180503845, 0.19101130962371826, 0.18923215568065643, 0.14090032875537872, 0.13598275184631348, 0.1977878361940384, 0.09917791932821274, 0.15291465818881989, 0.10997622460126877, 0.15898771584033966, 0.09979990124702454, 0.19215014576911926, 0.14077357947826385, 0.1292984038591385, 0.09939007461071014, 0.12457511574029922, 0.09676520526409149, 0.1287538707256317, 0.3248319625854492, 0.07605046033859253, 0.09894035756587982, 0.11076910048723221, 0.10442221909761429, 0.1705574244260788, 0.10810500383377075, 0.13835769891738892, 0.10983140021562576, 0.1443735510110855, 0.19269636273384094, 0.1196141317486763, 0.08425880968570709, 0.22652257978916168, 0.2871733009815216]"
9,Richard Nixon,"[0.07212499529123306, 0.14243686199188232, 0.1137678325176239, 0.10545622557401657, 0.27984359860420227, 0.0871194452047348, 0.1035785898566246, 0.1510864645242691, 0.19166940450668335, 0.2505352199077606, 0.13429266214370728, 0.25330618023872375, 0.13199874758720398, 0.14755573868751526, 0.47748059034347534, 0.2048271745443344, 0.12083303928375244, 0.12329117208719254, 0.09974745661020279, 0.1119852066040039, 0.08751613646745682, 0.12518596649169922, 0.1598883867263794, 0.12195080518722534, 0.05821080505847931, 0.22948326170444489, 0.24407747387886047, 0.16659197211265564, 0.11240019649267197, 0.12705166637897491, 0.19136583805084229, 0.08198085427284241, 0.28795096278190613, 0.09650488942861557, 0.08137825131416321, 0.1394132673740387, 0.08789210021495819, 0.15193797647953033, 0.15414994955062866, 0.20102080702781677, 0.11987534165382385, 0.20729510486125946, 0.08393438905477524, 0.08122043311595917, 0.11636331677436829, 0.11583586782217026, 0.15971052646636963, 0.09344112873077393, 0.10518288612365723, 0.06921582669019699, 0.16094471514225006, 0.16580110788345337, 0.13239382207393646, 0.10770376026630402, 0.09009231626987457, 0.0821802169084549, 0.39626091718673706, 0.08447198569774628, 0.27626699209213257, 0.08201544731855392, 0.2501327395439148, 0.1292392611503601, 0.07050535827875137, 0.13116268813610077, 0.2335485965013504, 0.17135274410247803, 0.07047073543071747, 0.5400463938713074, 0.3620549738407135, 0.4164614975452423, 0.22502417862415314, 0.12439402937889099, 0.13837426900863647, 0.14454862475395203, 0.15257638692855835, 0.0901818722486496, 0.10256103426218033, 0.10458643734455109, 0.17961132526397705, 0.17923018336296082, 0.3919898271560669, 0.05334758013486862, 0.28465285897254944, 0.1710154116153717, 0.12524913251399994, 0.09026792645454407, 0.11977557837963104, 0.09295929968357086, 0.161272794008255, 0.11484449356794357, 0.10634694248437881, 0.11809200793504715, 0.11274063587188721, 0.10837025940418243, 0.2681412398815155, 0.1716180443763733, 0.28537729382514954, 0.12781758606433868, 0.19534142315387726, 0.14456674456596375]"
