,name,ratings
0,Joe Biden,"[0.1223816005513072, 0.3099341136403382, 0.28921854263171554, 0.2662923098541796, 0.27424651524052024, 0.2501448839902878, 0.2720180326141417, 0.2867928547784686, 0.25960021279752254, 0.5263308887369931, 0.21258680755272508, 0.250455716624856, 0.19992100074887276, 0.22802137723192573, 0.21027361415326595, 0.5348600833676755, 0.3554067355580628, 0.3804600853472948, 0.191758812405169, 0.31723323138430715, 0.20573720475658774, 0.26319510489702225, 0.25510821770876646, 0.215046355035156, 0.3121071308851242, 0.29650913132354617, 0.2176116919144988, 0.5664279693737626, 0.4233796885237098, 0.3070681020617485, 0.27452042140066624, 0.30952615151181817, 0.27311795484274626, 0.2672413163818419, 0.2168758613988757, 0.12255891691893339, 0.2063079085201025, 0.19981271773576736, 0.2881932482123375, 0.2579661081545055, 0.21216380409896374, 0.39557485934346914, 0.3165351985953748, 0.2121736160479486, 0.2974950554780662, 0.5588514963164926, 0.1982915261760354, 0.2682679067365825, 0.5981608144938946, 0.16130013018846512, 0.3006978891789913, 0.31826476752758026, 0.48913928447291255, 0.25251141330227256, 0.23407527059316635, 0.30819661682471633, 0.3169341688044369, 0.17955279164016247, 0.4543830663897097, 0.17472185986116529, 0.4103376888670027, 0.23365667834877968, 0.25268044462427497, 0.4964507310651243, 0.30598589638248086, 0.4850516375154257, 0.33968750946223736, 0.2471236903220415, 0.2025886233896017, 0.21453267661854625, 0.26629529101774096, 0.23641549702733755, 0.32438022177666426, 0.2527502733282745, 0.18147061113268137, 0.13937879167497158, 0.3870628457516432, 0.4009604654274881, 0.2185323452576995, 0.23715596552938223, 0.2832176359370351, 0.13425714522600174, 0.2143987431190908, 0.1950543182902038, 0.10239348374307156, 0.278631579130888, 0.3470525275915861, 0.3355440925806761, 0.3346125674434006, 0.2694208608008921, 0.287949581630528, 0.25311396177858114, 0.25029094191268086, 0.1910792114213109, 0.2159129329957068, 0.2572850435972214, 0.19255028013139963, 0.2946077920496464, 0.24415484396740794, 0.24030832014977932]"
1,Donald Trump,"[0.3375925584696233, 0.1470677526667714, 0.21523722261190414, 0.12363582476973534, 0.27512357011437416, 0.2107955412939191, 0.16126684565097094, 0.21496212296187878, 0.10255679674446583, 0.23357116943225265, 0.12040212750434875, 0.13936089724302292, 0.3177077486179769, 0.1895629446953535, 0.20217263791710138, 0.03984420374035835, 0.17045088578015566, 0.1056801788508892, 0.13872601743787527, 0.2052188701927662, 0.11297999136149883, 0.24780791252851486, 0.23732757475227118, 0.0813249759376049, 0.18607921805232763, 0.2867983947508037, 0.20216577872633934, 0.2118746996857226, 0.1296262266114354, 0.43777652736753225, 0.2528434516862035, 0.1453011129051447, 0.32431501243263483, 0.09290675260126591, 0.0631574746221304, 0.06437326222658157, 0.17065407522022724, 0.04628434590995312, 0.19495186768472195, 0.13867165334522724, 0.32773667573928833, 0.4223017394542694, 0.18914993666112423, 0.04862081632018089, 0.38316443376243114, 0.03198912926018238, 0.0953525910153985, 0.24225359596312046, 0.22552954871207476, 0.3881874242797494, 0.0880631934851408, 0.24623455200344324, 0.22254244657233357, 0.2202484356239438, 0.2213494200259447, 0.2188429869711399, 0.30094989854842424, 0.3015307430177927, 0.13437488861382008, 0.20820308569818735, 0.22156099323183298, 0.17464843252673745, 0.1165188392624259, 0.37805864587426186, 0.13791606109589338, 0.37989745009690523, 0.2277535181492567, 0.18609424121677876, 0.23304358450695872, 0.2783120069652796, 0.0185729768127203, 0.22128306608647108, 0.37371369265019894, 0.35204919055104256, 0.13640434201806784, 0.26127987913787365, 0.3608677554875612, 0.09182595834136009, 0.1581967119127512, 0.2762099541723728, 0.20243915915489197, 0.14807284716516733, 0.18322106637060642, 0.38899507001042366, 0.14953813701868057, 0.29364545829594135, 0.22730022482573986, 0.16013489477336407, 0.3561385367065668, 0.08226337563246489, 0.15979888662695885, 0.06520765833556652, 0.09595423843711615, 0.22337199095636606, 0.2233681157231331, 0.11252053827047348, 0.284526702016592, 0.19583846908062696, 0.22002026345580816, 0.2498050294816494]"
2,Barack Obama,"[0.296095360070467, 0.450047314632684, 0.6152473157271743, 0.702020216267556, 0.6196433608420193, 0.263907419051975, 0.245633649174124, 0.5829326515085995, 0.6575366035103798, 0.6212836932390928, 0.23188484739512205, 0.6106342114508152, 0.24025683384388685, 0.6181666748598218, 0.5752447857521474, 0.20535449916496873, 0.5598228080198169, 0.7377852196805179, 0.5384294372051954, 0.3180103204213083, 0.43827127246186137, 0.3275595558807254, 0.4938159850426018, 0.22883565397933125, 0.3993639056570828, 0.5981489131227136, 0.33793616108596325, 0.5582310976460576, 0.20383655838668346, 0.31222093384712934, 0.25519657135009766, 0.6238692891784012, 0.3563119489699602, 0.3195739281363785, 0.4654886336065829, 0.3352498556487262, 0.2960588480345905, 0.7051791190169752, 0.4823106857948005, 0.40232497872784734, 0.2839516857638955, 0.6705901566892862, 0.5061662048101425, 0.39512789947912097, 0.39782600989565253, 0.32056041480973363, 0.25395585829392076, 0.6220403094775975, 0.6431553135626018, 0.4489158613141626, 0.403214150108397, 0.7175658969208598, 0.34559483267366886, 0.5155742061324418, 0.3826708453707397, 0.3415650222450495, 0.7292147018015385, 0.810980231501162, 0.6072128228843212, 0.621511556673795, 0.47993947844952345, 0.515700776129961, 0.751162716653198, 0.351763857062906, 0.31992504140362144, 0.6975318763870746, 0.5711184842512012, 0.17140622111037374, 0.8243383402004838, 0.6454833908937871, 0.3553927605971694, 0.4434428927488625, 0.21543427417054772, 0.4809121291618794, 0.21536938287317753, 0.3849295359104872, 0.37235034024342895, 0.3544911933131516, 0.6740289623849094, 0.6590360244736075, 0.5781218884512782, 0.27175457356497645, 0.28152360348030925, 0.765724282246083, 0.4797553909011185, 0.7701458013616502, 0.4003621758893132, 0.32464125100523233, 0.20213577523827553, 0.6694662878289819, 0.5249957516789436, 0.4880877039395273, 0.1838475540280342, 0.21988900192081928, 0.5902022258378565, 0.40615206537768245, 0.2651796448044479, 0.28163869539275765, 0.29018298583105206, 0.36428693076595664]"
3,George W. Bush,"[0.18778835143893957, 0.0916324257850647, 0.06207604520022869, 0.03681845963001251, 0.14034988824278116, 0.08711398672312498, 0.1645704135298729, 0.08861020486801863, 0.07573400065302849, 0.15428471937775612, 0.12975303642451763, 0.08202585019171238, 0.09129612520337105, 0.06710382178425789, 0.09557771310210228, 0.06769223976880312, 0.10690547153353691, 0.12295182794332504, 0.1567389201372862, 0.1245155455544591, 0.1001384649425745, 0.11652506235986948, 0.14979084860533476, 0.07414723373949528, 0.2696222639642656, 0.09731427300721407, 0.13614253234118223, 0.08882159646600485, 0.08787684049457312, 0.07483002822846174, 0.01566879078745842, 0.07312215398997068, 0.16632664389908314, 0.16780877020210028, 0.23150038439780474, 0.08330249972641468, 0.09024505969136953, 0.11813461128622293, 0.15665363799780607, 0.1589697701856494, 0.2017036760225892, 0.1320666540414095, 0.17600756231695414, 0.13510143849998713, 0.09997985418885946, 0.07838984578847885, 0.10551127139478922, 0.2008871203288436, 0.1254342645406723, 0.1489065010100603, 0.12553986255079508, 0.07291053235530853, 0.09607769921422005, 0.008325550705194473, 0.12869081646203995, 0.10784801095724106, 0.07784540858119726, 0.15432113409042358, 0.06424304284155369, 0.05294083058834076, 0.07852489035576582, 0.11552840005606413, 0.08274969551712275, 0.06471745483577251, 0.1134058739989996, 0.06979767419397831, 0.14494701195508242, 0.15315151028335094, 0.17728722840547562, 0.06679009273648262, 0.05266197770833969, 0.10343442391604185, 0.04554980248212814, 0.05680478364229202, 0.05869583413004875, 0.1697277994826436, 0.10405021626502275, 0.04358541779220104, 0.20210169162601233, 0.1151906019076705, 0.08498456981033087, 0.12167273834347725, 0.051925187930464745, 0.1432781182229519, 0.0927653182297945, 0.056131014600396156, 0.1158795477822423, 0.11791536584496498, 0.043559055775403976, 0.15624532103538513, 0.03483821079134941, 0.07946786377578974, 0.07631536014378071, 0.10406520590186119, 0.07810411415994167, 0.0854464191943407, 0.08380625117570162, 0.1381362145766616, 0.08021105267107487, 0.23749874299392104]"
4,Bill Clinton,"[0.7183898887597024, 0.5064406893216074, 0.63524552853778, 0.6281125890091062, 0.8028806489892304, 0.26710913982242346, 0.6287429798394442, 0.4210294387303293, 0.40298726316541433, 0.5355149353854358, 0.49920442840084434, 0.3603009730577469, 0.4183690743520856, 0.4045520373620093, 0.7246942138299346, 0.2374442582949996, 0.7955198171548545, 0.45216104621067643, 0.6926944968290627, 0.28482917323708534, 0.35411367379128933, 0.3238242110237479, 0.4165055030025542, 0.35126907750964165, 0.28103582095354795, 0.5378164863213897, 0.49750562803819776, 0.6830749316141009, 0.47369032353162766, 0.1737464452162385, 0.27901262417435646, 0.1611499534919858, 0.6538175237365067, 0.6537848156876862, 0.21964199282228947, 0.1542783910408616, 0.5957494010217488, 0.30401870887726545, 0.44233760377392173, 0.20699238870292902, 0.5665158466435969, 0.46846193401142955, 0.6938999574631453, 0.5162414321675897, 0.38111839815974236, 0.3396063703112304, 0.2510899994522333, 0.49830445647239685, 0.5888264491222799, 0.45678999833762646, 0.44003451988101006, 0.47947322204709053, 0.7488720901310444, 0.559802012052387, 0.40966755989938974, 0.470842189155519, 0.6395691004581749, 0.3298385990783572, 0.7770296717062593, 0.21929054707288742, 0.31327229738235474, 0.47524616913869977, 0.5673647103831172, 0.7493744199164212, 0.7183902985416353, 0.771911496296525, 0.36541527416557074, 0.550684389192611, 0.39892357029020786, 0.3782037333585322, 0.5117993662133813, 0.5167897152714431, 0.31460317177698016, 0.46266956301406026, 0.568059763405472, 0.32759816013276577, 0.4037609496153891, 0.16630459763109684, 0.3015221441164613, 0.454587762709707, 0.40245565492659807, 0.43041599774733186, 0.7429172596894205, 0.39011077117174864, 0.5334598398767412, 0.6244010399095714, 0.7665715399198234, 0.5060067460872233, 0.4162487741559744, 0.7807225431315601, 0.225347138941288, 0.49161336477845907, 0.2764392476528883, 0.5047060949727893, 0.7399140896741301, 0.19959722505882382, 0.4642211436294019, 0.3384002740494907, 0.5491457213647664, 0.4926810096949339]"
5,George H. W. Bush,"[0.1880401847884059, 0.3174359481781721, 0.17024229373782873, 0.21327088959515095, 0.2658026935532689, 0.21970404032617807, 0.5364224561490119, 0.21781490370631218, 0.2469798382371664, 0.1892402982339263, 0.2816149890422821, 0.2839120617136359, 0.35206806287169456, 0.38434849912300706, 0.2750837793573737, 0.3547952277585864, 0.19464977830648422, 0.30590401496738195, 0.18401696160435677, 0.21908506657928228, 0.2749358471482992, 0.18757228646427393, 0.4629022451117635, 0.22603372018784285, 0.2702140109613538, 0.30305154668167233, 0.2367808911949396, 0.23773677367717028, 0.15920454822480679, 0.2339245737530291, 0.22692651022225618, 0.3622569153085351, 0.36513945646584034, 0.3606109945103526, 0.13918891735374928, 0.26315528992563486, 0.45898505998775363, 0.2448159521445632, 0.3452979032881558, 0.4923098860308528, 0.16512639541178942, 0.3056567497551441, 0.15702183172106743, 0.28781275637447834, 0.16702369134873152, 0.3523560711182654, 0.19357410352677107, 0.48404477536678314, 0.13593595987185836, 0.22086218697950244, 0.35120231099426746, 0.18976218905299902, 0.16106642223894596, 0.16699622198939323, 0.2285113362595439, 0.594428121112287, 0.329922690987587, 0.17185411136597395, 0.5729414783418179, 0.24634727090597153, 0.16868756897747517, 0.2856485629454255, 0.1945290034636855, 0.40359553368762136, 0.21016573254019022, 0.3462687940336764, 0.21867729257792234, 0.19635542947798967, 0.19917254149913788, 0.1774714132770896, 0.22813705122098327, 0.16432982869446278, 0.24826421216130257, 0.1788079682737589, 0.5252965902909636, 0.6013797200284898, 0.20864417031407356, 0.26732928678393364, 0.3562693572603166, 0.6561705768108368, 0.12781457789242268, 0.2619214318692684, 0.2745900545269251, 0.32181504601612687, 0.37568482756614685, 0.15888698399066925, 0.3056725524365902, 0.22625899594277143, 0.10274367220699787, 0.4101797491312027, 0.19812936894595623, 0.1902020489796996, 0.19520631432533264, 0.16409298591315746, 0.16534404084086418, 0.20517892763018608, 0.2601810460910201, 0.2762922002002597, 0.2166362637653947, 0.158025324344635]"
6,Ronald Reagan,"[0.3149007745087147, 0.2188073629513383, 0.43513586465269327, 0.3644699929282069, 0.4666799404658377, 0.2772210165858269, 0.1917504221200943, 0.23848968464881182, 0.7133304933086038, 0.141133694909513, 0.5493741878308356, 0.6533991675823927, 0.5550070204772055, 0.20584530755877495, 0.2545945309102535, 0.36547302082180977, 0.42137187998741865, 0.29210927803069353, 0.6619150410406291, 0.17590421997010708, 0.29089243710041046, 0.3237730609253049, 0.16323919408023357, 0.2078340630978346, 0.30694227665662766, 0.22422317694872618, 0.5518516730517149, 0.27919068187475204, 0.5459343972615898, 0.31023842887952924, 0.4604199407622218, 0.6168214017525315, 0.4349235352128744, 0.15000817272812128, 0.18747864291071892, 0.22675261087715626, 0.6551340320147574, 0.24410400725901127, 0.33354436326771975, 0.5448489184491336, 0.14021202363073826, 0.6923440345562994, 0.26926346123218536, 0.45031840447336435, 0.250437842682004, 0.42952645011246204, 0.46891277143731713, 0.252527441829443, 0.40506935864686966, 0.17624532245099545, 0.21781879756599665, 0.45059698540717363, 0.21336436830461025, 0.43223514314740896, 0.7401628000661731, 0.26117898151278496, 0.28257578425109386, 0.17341650277376175, 0.3202287652529776, 0.39257664885371923, 0.19771341513842344, 0.29789976961910725, 0.21891802176833153, 0.24288980197161436, 0.3413243182003498, 0.19337444379925728, 0.296883225440979, 0.6406852984800935, 0.19392010290175676, 0.4828327354043722, 0.29967518243938684, 0.3504221457988024, 0.2672461289912462, 0.29218592308461666, 0.7496802094392478, 0.38442264311015606, 0.12979576457291842, 0.2629368770867586, 0.46678243251517415, 0.4773680018261075, 0.238597322255373, 0.2798743387684226, 0.1900553349405527, 0.2127971863374114, 0.8268333836458623, 0.32120146974921227, 0.1780948108062148, 0.6816946435719728, 0.28930867463350296, 0.41212597116827965, 0.5280702128075063, 0.4180192705243826, 0.37437466299161315, 0.22519128397107124, 0.7332976381294429, 0.47067778557538986, 0.6425560158677399, 0.761924262624234, 0.23352530039846897, 0.1285041030496359]"
7,Jimmy Carter,"[0.4735321616753936, 0.30003385711461306, 0.28090145625174046, 0.40395358856767416, 0.1709779091179371, 0.29473739862442017, 0.600566110573709, 0.31753078382462263, 0.22190026007592678, 0.44713910622522235, 0.5028395024128258, 0.33394498843699694, 0.5788625404238701, 0.34185932530090213, 0.4393834238871932, 0.4784563444554806, 0.33272151462733746, 0.27438103407621384, 0.17797081544995308, 0.1227604541927576, 0.11721107363700867, 0.12190611474215984, 0.31448911130428314, 0.3193281814455986, 0.18434404581785202, 0.19404215924441814, 0.12558585964143276, 0.2605364313349128, 0.6391377463005483, 0.23965799156576395, 0.20787333138287067, 0.28767696116119623, 0.7386267576366663, 0.6739408043213189, 0.15157226286828518, 0.5288930372335017, 0.1848217686638236, 0.18723793420940638, 0.23971357522532344, 0.4598261443898082, 0.15897889342159033, 0.1866123341023922, 0.3744846601039171, 0.6094198911450803, 0.2816246789880097, 0.15998469199985266, 0.7006511138752103, 0.16996266040951014, 0.4772670492529869, 0.2627401938661933, 0.2631835644133389, 0.23895977763459086, 0.18311891611665487, 0.10958867147564888, 0.18101280461996794, 0.10503250919282436, 0.12665449921041727, 0.23451796732842922, 0.6960038016550243, 0.43797894613817334, 0.3207292906008661, 0.3773381868377328, 0.47294881381094456, 0.5182932708412409, 0.5173623231239617, 0.6226568659767509, 0.11876144632697105, 0.4797108708880842, 0.20105190016329288, 0.3187446603551507, 0.4426115406677127, 0.35789367742836475, 0.2885630405507982, 0.4667369229719043, 0.20491514541208744, 0.2130742846056819, 0.515464898198843, 0.34971397602930665, 0.48960721818730235, 0.33861689176410437, 0.2027745759114623, 0.25761236250400543, 0.5156481587328017, 0.19735382962971926, 0.2028121231123805, 0.3890905221924186, 0.39508972968906164, 0.7497939127497375, 0.19291268568485975, 0.6686538285575807, 0.331685783341527, 0.08385348133742809, 0.1343204639852047, 0.36239485535770655, 0.33705928456038237, 0.6698889946565032, 0.4845546609722078, 0.5073483469896019, 0.2935432349331677, 0.1415180740877986]"
8,Gerald Ford,"[0.10865260101854801, 0.10670933127403259, 0.29028273839503527, 0.24482465256005526, 0.16986036580055952, 0.06160331517457962, 0.18303062114864588, 0.14054016396403313, 0.1557184192351997, 0.20770971570163965, 0.14370305184274912, 0.037196068093180656, 0.1719696605578065, 0.10137743316590786, 0.20891119865700603, 0.1319077992811799, 0.12589164823293686, 0.12306508235633373, 0.09209029749035835, 0.16636625165119767, 0.15572852734476328, 0.28149581886827946, 0.29794174525886774, 0.10616523306816816, 0.30874877516180277, 0.11006524134427309, 0.1470453953370452, 0.24059104127809405, 0.18215555977076292, 0.08777031395584345, 0.054533510468900204, 0.08211599290370941, 0.19949196558445692, 0.11435499135404825, 0.08520479593425989, 0.07995697297155857, 0.0691300481557846, 0.2185712270438671, 0.11742044612765312, 0.09632958471775055, 0.17328536324203014, 0.08583880588412285, 0.10552547220140696, 0.22222340758889914, 0.2431248538196087, 0.20083556231111288, 0.13154626078903675, 0.04728427343070507, 0.17394034191966057, 0.11043509189039469, 0.16516698617488146, 0.18025096412748098, 0.06838770303875208, 0.10446115769445896, 0.11972244828939438, 0.061688777059316635, 0.09515016339719296, 0.23539223428815603, 0.1676142020151019, 0.05479295551776886, 0.09371902234852314, 0.14974396768957376, 0.028510184958577156, 0.17386465426534414, 0.12428704835474491, 0.08890011440962553, 0.30627786880359054, 0.16332957614213228, 0.1820933884009719, 0.17875821888446808, 0.13045019749552011, 0.12711612414568663, 0.1888965293765068, 0.08356530498713255, 0.14115625526756048, 0.09856682363897562, 0.14912561792880297, 0.08741640765219927, 0.18294386565685272, 0.13028043694794178, 0.11737716477364302, 0.0825205147266388, 0.11400136072188616, 0.07842492684721947, 0.11902931611984968, 0.31745635671541095, 0.058769069612026215, 0.08393400441855192, 0.08558418601751328, 0.09279023390263319, 0.16237358190119267, 0.09473564010113478, 0.1285805432125926, 0.10150861367583275, 0.1291948752477765, 0.18555160239338875, 0.10646157804876566, 0.07342933304607868, 0.2168013220652938, 0.2793167708441615]"
9,Richard Nixon,"[0.05440988391637802, 0.12979118898510933, 0.09207793138921261, 0.08986928686499596, 0.27253415156155825, 0.0707641988992691, 0.08799274358898401, 0.13717282004654408, 0.1815448012202978, 0.2415482085198164, 0.12401507515460253, 0.24445830937474966, 0.09871494397521019, 0.13218699861317873, 0.4701139465905726, 0.19496734999120235, 0.11038369499146938, 0.10880137234926224, 0.08564384840428829, 0.094578443095088, 0.06800887919962406, 0.11010355222970247, 0.14652367308735847, 0.10406914353370667, 0.04372234456241131, 0.2207945641130209, 0.23448842111974955, 0.15424909256398678, 0.09759089071303606, 0.10988166742026806, 0.1829362353309989, 0.06450174190104008, 0.27871133387088776, 0.08174652326852083, 0.06232950836420059, 0.12066969648003578, 0.07268290221691132, 0.14186398405581713, 0.1386514976620674, 0.1927596628665924, 0.10893055889755487, 0.19812905881553888, 0.06787599809467793, 0.06530115008354187, 0.10499789286404848, 0.09906425513327122, 0.14379164762794971, 0.07771366089582443, 0.09225805476307869, 0.05184889957308769, 0.14955013897269964, 0.15629094559699297, 0.11914918012917042, 0.09602323174476624, 0.06921358965337276, 0.066293740645051, 0.38826275896281004, 0.06545278802514076, 0.26676353719085455, 0.06361510045826435, 0.23848626669496298, 0.10903766192495823, 0.03548884764313698, 0.11704630870372057, 0.22425012663006783, 0.16261705476790667, 0.032363198697566986, 0.5347179230302572, 0.35590790351852775, 0.4085109932348132, 0.21522671449929476, 0.11141581926494837, 0.12237883172929287, 0.13222452905029058, 0.14464892446994781, 0.06759349629282951, 0.08855441026389599, 0.0907962704077363, 0.17268968792632222, 0.17017452139407396, 0.3817067425698042, 0.03159693814814091, 0.27635763864964247, 0.15790172200649977, 0.11070923507213593, 0.07800729013979435, 0.08004269003868103, 0.07928139623254538, 0.15329697355628014, 0.10399310663342476, 0.09027381986379623, 0.09620997309684753, 0.09845944959670305, 0.09504286106675863, 0.2583440560847521, 0.16341246291995049, 0.27067943662405014, 0.11232246831059456, 0.18141966871917248, 0.13481642957776785]"
