,name,ratings
0,Joe Biden,"[0.3310643136501312, 0.2354619950056076, 0.4790036082267761, 0.2336331456899643, 0.32579663395881653, 0.39169585704803467, 0.39038383960723877, 0.4154278635978699, 0.45754095911979675, 0.4729014039039612, 0.33278143405914307, 0.3799351155757904, 0.31883642077445984, 0.3661464750766754, 0.24207521975040436, 0.4922914505004883, 0.34059959650039673, 0.3381724953651428, 0.21528489887714386, 0.52428138256073, 0.272617369890213, 0.4052797257900238, 0.3394783139228821, 0.2005530595779419, 0.5338789224624634, 0.22921091318130493, 0.3228226602077484, 0.20341606438159943, 0.39645281434059143, 0.4877268970012665, 0.3286706209182739, 0.3974454700946808, 0.35778266191482544, 0.3123253583908081, 0.3801235854625702, 0.23533181846141815, 0.2660718262195587, 0.5567065477371216, 0.3904571831226349, 0.2969038784503937, 0.2986851632595062, 0.33933737874031067, 0.31749749183654785, 0.35470664501190186, 0.4218200445175171, 0.3004504442214966, 0.23777975142002106, 0.2940937280654907, 0.598518431186676, 0.18162229657173157, 0.5087432861328125, 0.308025062084198, 0.30033743381500244, 0.35419920086860657, 0.33944547176361084, 0.4497416019439697, 0.27323877811431885, 0.3501814603805542, 0.48544397950172424, 0.20707689225673676, 0.44244226813316345, 0.37923896312713623, 0.41137686371803284, 0.43895429372787476, 0.2565162479877472, 0.3599259853363037, 0.2922406494617462, 0.34847283363342285, 0.21247634291648865, 0.23773488402366638, 0.3847310543060303, 0.27896663546562195, 0.411315381526947, 0.3008178472518921, 0.2830590605735779, 0.30723991990089417, 0.4332863986492157, 0.48097285628318787, 0.18504388630390167, 0.30422231554985046, 0.3146536946296692, 0.34522679448127747, 0.24063101410865784, 0.3992367088794708, 0.1630014181137085, 0.32619619369506836, 0.33268970251083374, 0.36984649300575256, 0.42993366718292236, 0.1894015520811081, 0.3886634409427643, 0.2776600420475006, 0.5397377014160156, 0.3254840672016144, 0.29643505811691284, 0.3347585201263428, 0.21073167026042938, 0.27219873666763306, 0.33486995100975037, 0.5368008017539978]"
1,Donald Trump,"[0.24601192772388458, 0.29166698455810547, 0.1708279252052307, 0.12946531176567078, 0.15483538806438446, 0.06436984986066818, 0.18666590750217438, 0.26601919531822205, 0.2564336359500885, 0.28376853466033936, 0.22561918199062347, 0.14178688824176788, 0.3863763213157654, 0.2742660343647003, 0.1362675279378891, 0.1227494403719902, 0.2605518102645874, 0.19009993970394135, 0.41758784651756287, 0.1852460652589798, 0.34102025628089905, 0.2537895143032074, 0.5721513032913208, 0.24392953515052795, 0.13126525282859802, 0.2965589463710785, 0.20307785272598267, 0.17235200107097626, 0.1513206511735916, 0.34027889370918274, 0.2289792001247406, 0.19174332916736603, 0.32161080837249756, 0.1607217639684677, 0.2673100531101227, 0.11504760384559631, 0.128555566072464, 0.16168464720249176, 0.45386946201324463, 0.2000214159488678, 0.15663956105709076, 0.3167867958545685, 0.2539154589176178, 0.25493955612182617, 0.2786705791950226, 0.17070910334587097, 0.1335233747959137, 0.1755387783050537, 0.15848541259765625, 0.3457779288291931, 0.09070052206516266, 0.11719345301389694, 0.2185094952583313, 0.18259306252002716, 0.27594372630119324, 0.17375503480434418, 0.132245272397995, 0.09939223527908325, 0.13849948346614838, 0.41098034381866455, 0.16724063456058502, 0.2922617197036743, 0.10535416752099991, 0.15662311017513275, 0.21112236380577087, 0.08113479614257812, 0.23869813978672028, 0.32882606983184814, 0.2188924252986908, 0.36076128482818604, 0.10937774181365967, 0.1212536096572876, 0.24014940857887268, 0.15398366749286652, 0.1869298368692398, 0.16716982424259186, 0.3595731258392334, 0.14024929702281952, 0.2352854311466217, 0.20272183418273926, 0.24498361349105835, 0.16059012711048126, 0.17209680378437042, 0.3299058973789215, 0.18581995368003845, 0.15901337563991547, 0.3728712797164917, 0.09459289163351059, 0.23182474076747894, 0.18903085589408875, 0.2564524710178375, 0.1961842179298401, 0.15294986963272095, 0.1958620399236679, 0.16657507419586182, 0.30084189772605896, 0.3790704607963562, 0.19645611941814423, 0.13076452910900116, 0.14350874722003937]"
2,Barack Obama,"[0.35291773080825806, 0.5332067012786865, 0.4984474778175354, 0.5631183981895447, 0.2726302444934845, 0.3869711756706238, 0.3019962012767792, 0.3396016061306, 0.3038405776023865, 0.23316390812397003, 0.43761104345321655, 0.5250300168991089, 0.2722400426864624, 0.38368794322013855, 0.2983124554157257, 0.37168067693710327, 0.32792842388153076, 0.32094088196754456, 0.3321725130081177, 0.3394797742366791, 0.35704490542411804, 0.47158282995224, 0.44059813022613525, 0.41932862997055054, 0.35912519693374634, 0.38915833830833435, 0.4493979513645172, 0.23923829197883606, 0.3024594187736511, 0.42608776688575745, 0.36651700735092163, 0.4718979001045227, 0.5145794153213501, 0.4958008825778961, 0.4946201741695404, 0.31243664026260376, 0.36906731128692627, 0.4798937439918518, 0.28107860684394836, 0.631666362285614, 0.47296738624572754, 0.4435923397541046, 0.34467393159866333, 0.35047128796577454, 0.399274080991745, 0.5158413648605347, 0.4757475256919861, 0.4822392761707306, 0.47358328104019165, 0.43691372871398926, 0.44501686096191406, 0.4350091218948364, 0.5497983694076538, 0.37456974387168884, 0.2812967896461487, 0.5381180644035339, 0.5653207302093506, 0.34023740887641907, 0.4316014349460602, 0.28745901584625244, 0.5088522434234619, 0.41413775086402893, 0.4329853653907776, 0.5247281789779663, 0.49425286054611206, 0.40727120637893677, 0.4628012776374817, 0.3565935790538788, 0.660296618938446, 0.5099586248397827, 0.4843353033065796, 0.5149157047271729, 0.418491005897522, 0.45776721835136414, 0.5387023091316223, 0.3708992302417755, 0.3884282410144806, 0.316819965839386, 0.2478296011686325, 0.5083675384521484, 0.5015944242477417, 0.33947932720184326, 0.35373473167419434, 0.45342159271240234, 0.46981221437454224, 0.4077318012714386, 0.3911883533000946, 0.4659668207168579, 0.3126339912414551, 0.29682910442352295, 0.32858845591545105, 0.34470129013061523, 0.2817332148551941, 0.3695264458656311, 0.5286497473716736, 0.36425015330314636, 0.47276782989501953, 0.517460286617279, 0.45868954062461853, 0.42606908082962036]"
3,George W. Bush,"[0.18569320440292358, 0.1470205932855606, 0.17548657953739166, 0.2352851778268814, 0.20471340417861938, 0.1470985859632492, 0.21293555200099945, 0.3080102801322937, 0.1347803771495819, 0.2794440686702728, 0.2981613278388977, 0.22379302978515625, 0.2522215247154236, 0.35233768820762634, 0.25021329522132874, 0.20595842599868774, 0.30436986684799194, 0.24030935764312744, 0.23605598509311676, 0.3440609574317932, 0.25969618558883667, 0.24575091898441315, 0.17673450708389282, 0.11120859533548355, 0.30475911498069763, 0.34601330757141113, 0.14497177302837372, 0.19570845365524292, 0.40136322379112244, 0.24727298319339752, 0.1049376130104065, 0.2948478162288666, 0.17458327114582062, 0.3139041066169739, 0.28575706481933594, 0.20943614840507507, 0.32618165016174316, 0.23464667797088623, 0.37329497933387756, 0.21439893543720245, 0.28416913747787476, 0.24122609198093414, 0.2818830609321594, 0.33109337091445923, 0.16134747862815857, 0.2689475119113922, 0.3158648908138275, 0.31117576360702515, 0.2916647493839264, 0.37534162402153015, 0.2762417793273926, 0.18565312027931213, 0.2592923045158386, 0.13493342697620392, 0.3715507686138153, 0.20540250837802887, 0.37822285294532776, 0.28581851720809937, 0.3122085630893707, 0.22880516946315765, 0.460625022649765, 0.13100846111774445, 0.09064845740795135, 0.20202535390853882, 0.31243351101875305, 0.3308846950531006, 0.2248714119195938, 0.40911418199539185, 0.20391085743904114, 0.3688108026981354, 0.15067844092845917, 0.3883205056190491, 0.1639404445886612, 0.24592600762844086, 0.17226780951023102, 0.27720320224761963, 0.30878907442092896, 0.3880734145641327, 0.430099219083786, 0.2773883044719696, 0.29283639788627625, 0.3654323220252991, 0.2366124987602234, 0.37401068210601807, 0.2116287797689438, 0.20317140221595764, 0.11993487179279327, 0.2809811234474182, 0.24797487258911133, 0.16394901275634766, 0.2604639530181885, 0.2910730838775635, 0.2163914442062378, 0.29627537727355957, 0.26436641812324524, 0.1748546063899994, 0.4092903733253479, 0.381939172744751, 0.32555192708969116, 0.35608160495758057]"
4,Bill Clinton,"[0.3322605490684509, 0.28757143020629883, 0.21490474045276642, 0.3007105588912964, 0.3550609052181244, 0.25904133915901184, 0.17564456164836884, 0.1967846006155014, 0.2729448080062866, 0.19652429223060608, 0.3068380355834961, 0.20168399810791016, 0.16185075044631958, 0.13076457381248474, 0.4973885416984558, 0.4336533546447754, 0.49844154715538025, 0.14036397635936737, 0.11813419312238693, 0.3062257170677185, 0.2643725275993347, 0.1778477281332016, 0.27356815338134766, 0.2758609354496002, 0.19698069989681244, 0.15925663709640503, 0.21039994060993195, 0.2979219853878021, 0.2192203402519226, 0.15419019758701324, 0.16947521269321442, 0.20816341042518616, 0.2727354168891907, 0.21623572707176208, 0.5464865565299988, 0.14615420997142792, 0.1138000339269638, 0.1225227490067482, 0.10234086960554123, 0.1872575432062149, 0.34794777631759644, 0.20678198337554932, 0.4047383964061737, 0.20731306076049805, 0.1364043653011322, 0.33589062094688416, 0.28641366958618164, 0.15447542071342468, 0.14514851570129395, 0.21220093965530396, 0.1433791071176529, 0.10130401700735092, 0.21502915024757385, 0.2035740166902542, 0.25500157475471497, 0.18277372419834137, 0.3003874123096466, 0.2820340096950531, 0.6422591209411621, 0.258168488740921, 0.21443694829940796, 0.18674826622009277, 0.29850247502326965, 0.2504957616329193, 0.2668592035770416, 0.48094674944877625, 0.1509912759065628, 0.2163010537624359, 0.285913348197937, 0.19367142021656036, 0.1439652442932129, 0.10306928306818008, 0.2436571717262268, 0.15830785036087036, 0.2056364268064499, 0.39259809255599976, 0.4071500599384308, 0.23105251789093018, 0.29294681549072266, 0.14680081605911255, 0.1599041074514389, 0.25399249792099, 0.20638106763362885, 0.116265669465065, 0.09823375940322876, 0.37558767199516296, 0.2634966969490051, 0.20833952724933624, 0.1207943931221962, 0.36115482449531555, 0.22228789329528809, 0.10696408152580261, 0.13999582827091217, 0.3279454708099365, 0.19378021359443665, 0.29237139225006104, 0.15624484419822693, 0.22776688635349274, 0.2630937099456787, 0.24596883356571198]"
5,George H. W. Bush,"[0.27713748812675476, 0.12801331281661987, 0.30232179164886475, 0.21973833441734314, 0.20102520287036896, 0.1142050176858902, 0.3530222177505493, 0.3300440013408661, 0.3531607985496521, 0.3653860092163086, 0.2760412096977234, 0.4830741584300995, 0.3806530833244324, 0.4113355576992035, 0.36090487241744995, 0.25500982999801636, 0.1950150579214096, 0.46479690074920654, 0.21313215792179108, 0.3384852409362793, 0.3918256163597107, 0.14602051675319672, 0.37776583433151245, 0.36487212777137756, 0.4158332645893097, 0.3915397822856903, 0.20516334474086761, 0.450385183095932, 0.1855192482471466, 0.212571382522583, 0.17236632108688354, 0.38805297017097473, 0.3354812264442444, 0.36296212673187256, 0.26238369941711426, 0.27909696102142334, 0.21034690737724304, 0.23008237779140472, 0.45160943269729614, 0.41732367873191833, 0.31319659948349, 0.3290414810180664, 0.1571638286113739, 0.21689672768115997, 0.2108086198568344, 0.20874819159507751, 0.331233412027359, 0.38227179646492004, 0.27507150173187256, 0.26136356592178345, 0.163204163312912, 0.1935567408800125, 0.4687335193157196, 0.263810396194458, 0.42212778329849243, 0.3072594404220581, 0.3294801115989685, 0.3768651485443115, 0.4125266373157501, 0.4917716383934021, 0.19544267654418945, 0.1953393965959549, 0.31010758876800537, 0.3942766487598419, 0.2532210350036621, 0.28802844882011414, 0.19559282064437866, 0.39648619294166565, 0.29531949758529663, 0.4832291603088379, 0.3416527211666107, 0.3436569273471832, 0.19766485691070557, 0.20018291473388672, 0.47668659687042236, 0.5025634169578552, 0.39949437975883484, 0.35533201694488525, 0.35524556040763855, 0.36722737550735474, 0.29888463020324707, 0.4296938180923462, 0.2622847259044647, 0.36791205406188965, 0.40880948305130005, 0.19624106585979462, 0.2901548743247986, 0.41566455364227295, 0.25729095935821533, 0.3496493697166443, 0.26508772373199463, 0.17037183046340942, 0.19846701622009277, 0.19612987339496613, 0.3624819219112396, 0.18540999293327332, 0.44004547595977783, 0.2402864247560501, 0.22544032335281372, 0.3907835781574249]"
6,Ronald Reagan,"[0.2559133470058441, 0.3109015226364136, 0.41920140385627747, 0.2045510858297348, 0.3584909439086914, 0.30945321917533875, 0.25603824853897095, 0.2885952293872833, 0.19663001596927643, 0.36181390285491943, 0.370369553565979, 0.24843589961528778, 0.36639168858528137, 0.330326110124588, 0.23717619478702545, 0.28944721817970276, 0.34311553835868835, 0.3997233808040619, 0.4739167094230652, 0.2956306040287018, 0.24739272892475128, 0.4509369730949402, 0.22346393764019012, 0.2464440017938614, 0.3054471015930176, 0.3859283924102783, 0.3506775498390198, 0.23463021218776703, 0.23481523990631104, 0.3201214671134949, 0.25652965903282166, 0.5740646719932556, 0.2726478576660156, 0.17058563232421875, 0.25060611963272095, 0.404540091753006, 0.31924885511398315, 0.28989747166633606, 0.32475557923316956, 0.14124837517738342, 0.16838671267032623, 0.41757965087890625, 0.40479370951652527, 0.39365169405937195, 0.43325093388557434, 0.2130173146724701, 0.42316934466362, 0.262732595205307, 0.19164548814296722, 0.37689074873924255, 0.32981112599372864, 0.265089213848114, 0.3237631618976593, 0.4642981290817261, 0.48529052734375, 0.2536957561969757, 0.3472076654434204, 0.5389780402183533, 0.25950589776039124, 0.20911256968975067, 0.1934676468372345, 0.34917086362838745, 0.3203514516353607, 0.2097262144088745, 0.13097243010997772, 0.24629510939121246, 0.2705521285533905, 0.2986449599266052, 0.28059473633766174, 0.34349650144577026, 0.3721998631954193, 0.3549070954322815, 0.3703109920024872, 0.3696831464767456, 0.4876009225845337, 0.3479347825050354, 0.17993366718292236, 0.261679083108902, 0.3365274667739868, 0.4584483504295349, 0.3805534541606903, 0.24950885772705078, 0.2229640781879425, 0.5079618096351624, 0.4455176889896393, 0.36442598700523376, 0.2676995098590851, 0.3066689670085907, 0.36718159914016724, 0.22154030203819275, 0.3589809536933899, 0.2984888553619385, 0.32846948504447937, 0.3215165436267853, 0.3900853097438812, 0.29083123803138733, 0.5663421154022217, 0.3487893342971802, 0.3213404715061188, 0.3674587905406952]"
7,Jimmy Carter,"[0.47036269307136536, 0.3627162277698517, 0.3083449602127075, 0.4193747341632843, 0.5601164102554321, 0.4438917636871338, 0.3148569166660309, 0.2870941460132599, 0.4207659959793091, 0.4334612488746643, 0.400933176279068, 0.39121413230895996, 0.4053451418876648, 0.4558833837509155, 0.42114555835723877, 0.39553290605545044, 0.3695357143878937, 0.4119834005832672, 0.21793943643569946, 0.41402971744537354, 0.27141162753105164, 0.21657341718673706, 0.5267013907432556, 0.28603875637054443, 0.23754940927028656, 0.42769771814346313, 0.4280926287174225, 0.29476723074913025, 0.42939499020576477, 0.26601430773735046, 0.3736424446105957, 0.3829641342163086, 0.5095198154449463, 0.45085808634757996, 0.20423224568367004, 0.4764764904975891, 0.1682625561952591, 0.32461968064308167, 0.3217014670372009, 0.35139599442481995, 0.28260350227355957, 0.2510048449039459, 0.3747669458389282, 0.47815635800361633, 0.4298131465911865, 0.3987061381340027, 0.4494677484035492, 0.20037083327770233, 0.4799119234085083, 0.3850730061531067, 0.3946121335029602, 0.31635844707489014, 0.3096866011619568, 0.25562071800231934, 0.21597880125045776, 0.1543620228767395, 0.18356764316558838, 0.4489043951034546, 0.4049363434314728, 0.36695778369903564, 0.4725993871688843, 0.32863035798072815, 0.405436247587204, 0.3522968888282776, 0.41208720207214355, 0.5957787036895752, 0.35778602957725525, 0.48910096287727356, 0.32992416620254517, 0.3138769268989563, 0.3248615562915802, 0.2851419150829315, 0.5727488398551941, 0.4168895483016968, 0.15876895189285278, 0.2635608911514282, 0.4771316349506378, 0.4761733114719391, 0.33358851075172424, 0.4074743092060089, 0.49257317185401917, 0.5463021993637085, 0.49061959981918335, 0.42304277420043945, 0.17308859527111053, 0.41045689582824707, 0.32855334877967834, 0.3002617359161377, 0.26773500442504883, 0.36291539669036865, 0.39641422033309937, 0.21270732581615448, 0.4105684757232666, 0.3861352205276489, 0.5077628493309021, 0.47150617837905884, 0.4812759459018707, 0.42284539341926575, 0.5132591128349304, 0.4385295808315277]"
8,Gerald Ford,"[0.1664358377456665, 0.38474953174591064, 0.42367392778396606, 0.370326429605484, 0.2137889266014099, 0.22356314957141876, 0.36087170243263245, 0.3178531229496002, 0.3257012963294983, 0.16993092000484467, 0.31688714027404785, 0.37394824624061584, 0.27245110273361206, 0.27020201086997986, 0.2742505967617035, 0.19869503378868103, 0.2407216578722, 0.29803332686424255, 0.26413366198539734, 0.3186183571815491, 0.20818328857421875, 0.29171022772789, 0.2479516714811325, 0.1657271385192871, 0.3564399182796478, 0.2732034921646118, 0.3532378673553467, 0.3450866639614105, 0.19845999777317047, 0.3990322947502136, 0.3147009313106537, 0.24042439460754395, 0.45531338453292847, 0.21626701951026917, 0.18325142562389374, 0.3442848026752472, 0.42951110005378723, 0.37172362208366394, 0.28710296750068665, 0.3359479606151581, 0.24256496131420135, 0.3356483578681946, 0.3740730583667755, 0.3714858889579773, 0.2861998677253723, 0.21629254519939423, 0.3524642586708069, 0.3551269769668579, 0.33305397629737854, 0.3486366271972656, 0.2919001281261444, 0.44893306493759155, 0.31973692774772644, 0.35010644793510437, 0.38090014457702637, 0.17413105070590973, 0.41125115752220154, 0.23361453413963318, 0.36904823780059814, 0.15441079437732697, 0.19602273404598236, 0.24051904678344727, 0.3356832265853882, 0.40576598048210144, 0.345440536737442, 0.25278568267822266, 0.3638039827346802, 0.38285505771636963, 0.37294796109199524, 0.25494033098220825, 0.3491150736808777, 0.3597773015499115, 0.41718313097953796, 0.3618468642234802, 0.2016373574733734, 0.3658607602119446, 0.3315788209438324, 0.2508654296398163, 0.35456687211990356, 0.16571226716041565, 0.30126121640205383, 0.21447868645191193, 0.44358447194099426, 0.42757490277290344, 0.2957564890384674, 0.33586201071739197, 0.15776632726192474, 0.20953045785427094, 0.3082010746002197, 0.4306935966014862, 0.3124716281890869, 0.2706889510154724, 0.16336989402770996, 0.3811599612236023, 0.3445574641227722, 0.4680926501750946, 0.16310761868953705, 0.3766248822212219, 0.39534786343574524, 0.36218342185020447]"
9,Richard Nixon,"[0.37214499711990356, 0.20856405794620514, 0.16068004071712494, 0.09827646613121033, 0.2802664339542389, 0.2606995105743408, 0.05943067744374275, 0.25726351141929626, 0.2779797911643982, 0.25636473298072815, 0.2226048856973648, 0.21714083850383759, 0.10277993977069855, 0.08553078770637512, 0.23222889006137848, 0.2370898723602295, 0.1368662565946579, 0.24476665258407593, 0.28751277923583984, 0.23724837601184845, 0.17680653929710388, 0.10553961247205734, 0.2213572859764099, 0.19856102764606476, 0.17170459032058716, 0.22973109781742096, 0.31307023763656616, 0.15937253832817078, 0.24280521273612976, 0.13593797385692596, 0.3664851784706116, 0.18997813761234283, 0.19895023107528687, 0.2148537039756775, 0.08002222329378128, 0.07183826714754105, 0.13451816141605377, 0.2460256814956665, 0.29110559821128845, 0.3269958198070526, 0.357875257730484, 0.2637336850166321, 0.17338766157627106, 0.3661307692527771, 0.2418680042028427, 0.1932937353849411, 0.2019345462322235, 0.22714748978614807, 0.2894653081893921, 0.1195438951253891, 0.09521504491567612, 0.14217481017112732, 0.25030216574668884, 0.27292871475219727, 0.13062193989753723, 0.1503446400165558, 0.1785488724708557, 0.19896869361400604, 0.231037437915802, 0.2078954577445984, 0.24736547470092773, 0.07581211626529694, 0.20281291007995605, 0.09871172904968262, 0.15686967968940735, 0.1897868812084198, 0.16385608911514282, 0.22379937767982483, 0.14616659283638, 0.15774816274642944, 0.14416402578353882, 0.11399617791175842, 0.1933320313692093, 0.19857972860336304, 0.19521881639957428, 0.1601545363664627, 0.26054835319519043, 0.2908724844455719, 0.18849508464336395, 0.21162281930446625, 0.23151876032352448, 0.21264690160751343, 0.22242237627506256, 0.19484969973564148, 0.23825830221176147, 0.19661301374435425, 0.2079915702342987, 0.17092658579349518, 0.282727986574173, 0.13139912486076355, 0.10480391979217529, 0.12411795556545258, 0.23362599313259125, 0.26051145792007446, 0.15906329452991486, 0.2340063899755478, 0.2005489319562912, 0.19789116084575653, 0.18399478495121002, 0.1727401167154312]"
