,name,ratings
0,Joe Biden,"[0.27221814915537834, 0.17450714483857155, 0.45236531272530556, 0.17502731829881668, 0.29359472543001175, 0.3610279820859432, 0.36682770773768425, 0.38399428501725197, 0.43981225974857807, 0.4550619591027498, 0.2652767151594162, 0.35543764010071754, 0.21837640553712845, 0.3305165693163872, 0.17691756784915924, 0.47683908697217703, 0.31271385215222836, 0.2988929860293865, 0.1409933939576149, 0.5053025707602501, 0.21683474257588387, 0.36608391255140305, 0.3193636070936918, 0.15315616503357887, 0.5193648552522063, 0.1486242264509201, 0.26327792182564735, 0.1635427512228489, 0.3766562435775995, 0.4765601782128215, 0.29272738099098206, 0.3690939974039793, 0.34697035420686007, 0.25466587394475937, 0.33981073275208473, 0.14304545521736145, 0.19314370304346085, 0.5296845957636833, 0.3602616097778082, 0.23647307604551315, 0.25669949129223824, 0.31235405057668686, 0.2622581422328949, 0.3110489584505558, 0.40172532573342323, 0.23405712097883224, 0.1327519789338112, 0.20772235840559006, 0.5861984742805362, 0.07422923296689987, 0.4807665403932333, 0.2666472792625427, 0.24071120470762253, 0.3307724967598915, 0.30286186560988426, 0.4417317667976022, 0.20830059796571732, 0.3113222159445286, 0.4584916215389967, 0.10252682864665985, 0.41997484862804413, 0.35194373689591885, 0.39303200505673885, 0.41652672179043293, 0.20271671563386917, 0.31093429028987885, 0.2412327490746975, 0.282443068921566, 0.15288100764155388, 0.17863089963793755, 0.3530087508261204, 0.23304243385791779, 0.3613263703882694, 0.23902517557144165, 0.2500598132610321, 0.24278424680233002, 0.42289069294929504, 0.4666991224512458, 0.09417730569839478, 0.24503307789564133, 0.27308201417326927, 0.2744719237089157, 0.1759941652417183, 0.3848101859912276, 0.09159913659095764, 0.3012468386441469, 0.29818153753876686, 0.3167431987822056, 0.4001675844192505, 0.10256405174732208, 0.3550109677016735, 0.22008763253688812, 0.5158848948776722, 0.24222201853990555, 0.24251075088977814, 0.3047217894345522, 0.14017128944396973, 0.22508786991238594, 0.30522448755800724, 0.5186492931097746]"
1,Donald Trump,"[0.17205726355314255, 0.21618569642305374, 0.04632595181465149, -0.014434725046157837, 0.06018444150686264, -0.0776248499751091, 0.1158902570605278, 0.19756200909614563, 0.1443849802017212, 0.20136532932519913, 0.11851189285516739, 0.00867617130279541, 0.3491045832633972, 0.18281645327806473, 0.027373336255550385, -0.03065725415945053, 0.21218157187104225, 0.08897262811660767, 0.3604046478867531, 0.09716466814279556, 0.2992884889245033, 0.17659564316272736, 0.5401430800557137, 0.1968047209084034, 0.018258370459079742, 0.25235333293676376, 0.10968455672264099, -0.0046839118003845215, -0.006654426455497742, 0.3107371237128973, 0.1884862221777439, 0.07145527005195618, 0.2775253728032112, 0.06333045661449432, 0.13185212016105652, -0.015837296843528748, -0.038311317563056946, -0.007821783423423767, 0.4053686186671257, 0.07892035692930222, -0.036054134368896484, 0.27544641122221947, 0.13960611820220947, 0.14960834383964539, 0.25260337069630623, -0.03898981213569641, 0.0006967484951019287, 0.08496398478746414, -0.0015392452478408813, 0.3097320608794689, -0.09979642927646637, 0.00246322900056839, 0.14596974849700928, 0.06590554118156433, 0.2356741987168789, 0.07324472069740295, -0.032553985714912415, -0.055753499269485474, 0.030304916203022003, 0.3533588871359825, 0.025560125708580017, 0.2296193763613701, -0.0519343838095665, 0.08320247381925583, 0.07375797629356384, -0.031897902488708496, 0.16693595796823502, 0.2641315534710884, 0.12278657406568527, 0.3092045597732067, -0.15262925624847412, -0.004161521792411804, 0.18931524083018303, 0.04618450999259949, 0.038771480321884155, 0.060002557933330536, 0.2942792549729347, 0.01087900996208191, 0.1434190720319748, 0.13968827575445175, 0.1705901324748993, 0.05202364921569824, 0.08863571286201477, 0.30232277512550354, 0.026575669646263123, 0.04428670555353165, 0.31567834317684174, -0.05197285860776901, 0.13530978560447693, 0.03099943697452545, 0.11797924339771271, 0.08858422189950943, 0.02452152967453003, 0.05550931394100189, 0.044898055493831635, 0.2404790334403515, 0.34357350692152977, 0.10737299919128418, -0.025732874870300293, 0.016580656170845032]"
2,Barack Obama,"[0.29684048518538475, 0.5113444160670042, 0.47232078947126865, 0.5481013283133507, 0.20762503147125244, 0.3567489255219698, 0.2649831958115101, 0.29599129781126976, 0.24277769774198532, 0.1592375636100769, 0.41355314292013645, 0.4983491227030754, 0.20429710298776627, 0.35547818429768085, 0.2201584056019783, 0.34241080842912197, 0.27918731048703194, 0.2931926567107439, 0.29803501814603806, 0.2989084981381893, 0.3317541815340519, 0.43386685475707054, 0.4075714647769928, 0.3875931352376938, 0.33598798140883446, 0.353116262704134, 0.41403448581695557, 0.17005197703838348, 0.2488209269940853, 0.39850551448762417, 0.32876042276620865, 0.44640987925231457, 0.49014448188245296, 0.4677520114928484, 0.46512051671743393, 0.2591923177242279, 0.3392804153263569, 0.46485717967152596, 0.22884219884872437, 0.6105762328952551, 0.4498630966991186, 0.4196268208324909, 0.2932688221335411, 0.31234124302864075, 0.37139016203582287, 0.49279921129345894, 0.45389883033931255, 0.4638073891401291, 0.4516509249806404, 0.4128428716212511, 0.4120912328362465, 0.3997119627892971, 0.5317869391292334, 0.330818597227335, 0.2562501020729542, 0.5167205445468426, 0.5433698333799839, 0.27461792528629303, 0.40154444240033627, 0.23775410279631615, 0.48355201818048954, 0.38860159181058407, 0.41647288016974926, 0.508423326537013, 0.4685275126248598, 0.3679050803184509, 0.44948458671569824, 0.31531311571598053, 0.642440440133214, 0.4953354923054576, 0.4683755114674568, 0.49297950975596905, 0.37569585070014, 0.4310982972383499, 0.5079228449612856, 0.34178453497588634, 0.3645221218466759, 0.27858346328139305, 0.1860603727400303, 0.4843832179903984, 0.47859407775104046, 0.3029204457998276, 0.3108968287706375, 0.4369646646082401, 0.44177316315472126, 0.35967396199703217, 0.3620580993592739, 0.44311652332544327, 0.2895382009446621, 0.22776329517364502, 0.2863195799291134, 0.3146935049444437, 0.22226321697235107, 0.3280930109322071, 0.5061629079282284, 0.3387901894748211, 0.4479873888194561, 0.49371044524013996, 0.4276465866714716, 0.4031288009136915]"
3,George W. Bush,"[0.12011637538671494, 0.03495880216360092, 0.08698751777410507, 0.18089589476585388, 0.16310832276940346, 0.08101989328861237, 0.12770958244800568, 0.27952870540320873, 0.021535933017730713, 0.23750273510813713, 0.2715099938213825, 0.14574060589075089, 0.19141045957803726, 0.3021925128996372, 0.22591921128332615, 0.10454168915748596, 0.27033204212784767, 0.19605356082320213, 0.1951661817729473, 0.32153438217937946, 0.22963171638548374, 0.19373136386275291, 0.10679427534341812, 0.018215849995613098, 0.27078425511717796, 0.31865409202873707, 0.10755246505141258, 0.13010303676128387, 0.3586113601922989, 0.2150820642709732, -0.011168375611305237, 0.25924360379576683, 0.11239137500524521, 0.2740514352917671, 0.22337206453084946, 0.17552175372838974, 0.28901730477809906, 0.1922941580414772, 0.33383167162537575, 0.17632455006241798, 0.24388599768280983, 0.206270270049572, 0.2424638494849205, 0.3069207649677992, 0.07405554503202438, 0.23859229125082493, 0.28081925958395004, 0.2880822643637657, 0.2582366541028023, 0.34769630432128906, 0.23670218139886856, 0.14326178282499313, 0.216328963637352, 0.023760609328746796, 0.32485244795680046, 0.16424508392810822, 0.34663744643330574, 0.2413444072008133, 0.23028911650180817, 0.16487330198287964, 0.4388156458735466, 0.02158922702074051, 0.006210118532180786, 0.1531829759478569, 0.2574082650244236, 0.2909502387046814, 0.19193526357412338, 0.39324141293764114, 0.15070604532957077, 0.3313586339354515, 0.06141047924757004, 0.3620136212557554, 0.12804124131798744, 0.2086462900042534, 0.12209892272949219, 0.23522908613085747, 0.2705755829811096, 0.35467613115906715, 0.40154571272432804, 0.22319870814681053, 0.25952478870749474, 0.3348133284598589, 0.19141243398189545, 0.33674247935414314, 0.17545407265424728, 0.14294371381402016, 0.007765606045722961, 0.25224279798567295, 0.19076544046401978, 0.11794662848114967, 0.21153928712010384, 0.24777058884501457, 0.18287399038672447, 0.2661240380257368, 0.2212320752441883, 0.0676642581820488, 0.38325884006917477, 0.361013974994421, 0.27265339717268944, 0.32194823026657104]"
4,Bill Clinton,"[0.3064194396138191, 0.24508609995245934, 0.17098576948046684, 0.2652159221470356, 0.3102719187736511, 0.22860932908952236, 0.11265391111373901, 0.11699729412794113, 0.2367749810218811, 0.14842460677027702, 0.28061324171721935, 0.12616746872663498, 0.12369460985064507, 0.030623674392700195, 0.47458665259182453, 0.3818237632513046, 0.4736835714429617, 0.050914086401462555, 0.05167250335216522, 0.2579927481710911, 0.21451187506318092, 0.11490623652935028, 0.221554234623909, 0.23958422243595123, 0.13949834927916527, 0.09432344138622284, 0.15638185292482376, 0.2749372608959675, 0.16679926961660385, 0.09007301181554794, 0.0841798484325409, 0.1759338453412056, 0.24841638281941414, 0.1720193475484848, 0.5246058069169521, 0.09193279966711998, 0.03463445603847504, -0.007924087345600128, 0.03400495648384094, 0.14369002357125282, 0.3217447344213724, 0.1339171677827835, 0.3818663712590933, 0.1463930867612362, 0.07357359677553177, 0.30277346074581146, 0.2264091707766056, 0.10466190427541733, 0.06232558935880661, 0.13706984370946884, 0.08443135023117065, 0.0315605029463768, 0.19489819929003716, 0.13302434980869293, 0.1913711577653885, 0.13125024363398552, 0.27428966760635376, 0.25158138386905193, 0.6273439163342118, 0.20950930565595627, 0.18449094332754612, 0.12370134890079498, 0.27246661856770515, 0.19921422377228737, 0.21725816652178764, 0.46559617575258017, 0.09121730178594589, 0.1352582350373268, 0.230476513504982, 0.11706211417913437, 0.04943908751010895, 0.053381845355033875, 0.18703433871269226, 0.10819918289780617, 0.15439213439822197, 0.3591359220445156, 0.38507835753262043, 0.18498437851667404, 0.22953476756811142, 0.07379478216171265, 0.09869437292218208, 0.1978709064424038, 0.150617353618145, 0.028049640357494354, -0.00681806355714798, 0.35651314444839954, 0.23511210270226002, 0.13646133244037628, 0.026286624372005463, 0.3281821608543396, 0.17320677265524864, 0.015016719698905945, 0.03169550001621246, 0.2987803537398577, 0.1604468785226345, 0.24640972167253494, 0.07863278687000275, 0.165421050041914, 0.22949814423918724, 0.17185723036527634]"
5,George H. W. Bush,"[0.2073526754975319, 0.008957579731941223, 0.23740239441394806, 0.10178595781326294, 0.0826498344540596, 0.017063051462173462, 0.30125970393419266, 0.25046733766794205, 0.25979218631982803, 0.30853504687547684, 0.17336254566907883, 0.4313466511666775, 0.3564587999135256, 0.37701940536499023, 0.2881925627589226, 0.1618570238351822, 0.12471940368413925, 0.41514989361166954, 0.08577458560466766, 0.2610781714320183, 0.33417923375964165, 0.01756042242050171, 0.30193931609392166, 0.2999499589204788, 0.3614974282681942, 0.33944353833794594, 0.10887300223112106, 0.4036112651228905, 0.1065363734960556, 0.10679692029953003, 0.04014335572719574, 0.3210408315062523, 0.27264220267534256, 0.321969136595726, 0.1797708123922348, 0.18885120749473572, 0.13667982816696167, 0.11811433732509613, 0.38384392112493515, 0.3818339370191097, 0.23862676322460175, 0.28384703025221825, 0.05304410308599472, 0.13656777143478394, 0.08552050590515137, 0.12524595856666565, 0.261897012591362, 0.31371597200632095, 0.18709494918584824, 0.18425676971673965, 0.06089126318693161, 0.11908004432916641, 0.43138277530670166, 0.18202749639749527, 0.36489496380090714, 0.2446819171309471, 0.2552257478237152, 0.34231673553586006, 0.3586788773536682, 0.45186273381114006, 0.07108599692583084, 0.09655926376581192, 0.26750705763697624, 0.3301794305443764, 0.17432530224323273, 0.1904091089963913, 0.06855340301990509, 0.35952194780111313, 0.19730153679847717, 0.441459484398365, 0.25572239607572556, 0.25600962340831757, 0.058420464396476746, 0.08030290901660919, 0.44546689838171005, 0.4770910516381264, 0.3414907418191433, 0.3192693926393986, 0.32475652545690536, 0.305098082870245, 0.20897158235311508, 0.37549232318997383, 0.20480695739388466, 0.2783700153231621, 0.3810811620205641, 0.10474209487438202, 0.2043164148926735, 0.3893207386136055, 0.14293400943279266, 0.3012380450963974, 0.18103154003620148, 0.04059743881225586, 0.14053545892238617, 0.041194066405296326, 0.30999208614230156, 0.06276996433734894, 0.40830567851662636, 0.13062623888254166, 0.14082111418247223, 0.36116323806345463]"
6,Ronald Reagan,"[0.17012250423431396, 0.25742509588599205, 0.3677297793328762, 0.07364827394485474, 0.31135714054107666, 0.27277804911136627, 0.1478782668709755, 0.20614981651306152, 0.08144321292638779, 0.3088306561112404, 0.33115193620324135, 0.14956389367580414, 0.32401036843657494, 0.27084362506866455, 0.17104239016771317, 0.2114388346672058, 0.30366183817386627, 0.36460817605257034, 0.43897101655602455, 0.18446795642375946, 0.17138905078172684, 0.416728463023901, 0.13188769668340683, 0.1256655976176262, 0.2424873560667038, 0.314484179019928, 0.29395613074302673, 0.1435677632689476, 0.16343776881694794, 0.28323422372341156, 0.18742485344409943, 0.5460597556084394, 0.18864935636520386, 0.05767497420310974, 0.17450792342424393, 0.3356535881757736, 0.24361813068389893, 0.21401676535606384, 0.29259512200951576, -0.008215948939323425, -0.02411659061908722, 0.3726566806435585, 0.3644413985311985, 0.3434331491589546, 0.3783477693796158, 0.1476045474410057, 0.39850036799907684, 0.1659380868077278, 0.0523066520690918, 0.3309147097170353, 0.21957076340913773, 0.19265955686569214, 0.24296534061431885, 0.4473571199923754, 0.46451544389128685, 0.1794366091489792, 0.23936567455530167, 0.5112705752253532, 0.12604619562625885, 0.1737515553832054, 0.0813044086098671, 0.2988787814974785, 0.24119018763303757, 0.0792216807603836, 0.009707026183605194, 0.18519126251339912, 0.2049514502286911, 0.21709774434566498, 0.20170780271291733, 0.3053884841501713, 0.2763451337814331, 0.30003615841269493, 0.312371201813221, 0.32283859699964523, 0.43295465409755707, 0.2996065691113472, 0.042913585901260376, 0.15277645736932755, 0.29455874487757683, 0.38441306352615356, 0.32320885732769966, 0.15743589401245117, 0.1300310268998146, 0.4629851281642914, 0.403913039714098, 0.3145771957933903, 0.19183442741632462, 0.2524937614798546, 0.3263406418263912, 0.07669273018836975, 0.3067467585206032, 0.24420583620667458, 0.2860255241394043, 0.259083516895771, 0.33548060432076454, 0.23515980690717697, 0.5344234555959702, 0.2934492453932762, 0.27728940173983574, 0.3156556114554405]"
7,Jimmy Carter,"[0.44820854999125004, 0.3328982312232256, 0.22978650033473969, 0.38789505511522293, 0.5398690607398748, 0.39417096599936485, 0.23168229311704636, 0.20556315034627914, 0.38304197788238525, 0.4183079907670617, 0.36603740230202675, 0.3551255948841572, 0.38476723805069923, 0.42702288553118706, 0.39878540486097336, 0.34842974692583084, 0.32305125892162323, 0.3861796613782644, 0.1339411959052086, 0.3761235475540161, 0.21197999641299248, 0.14779913425445557, 0.49878294579684734, 0.23620443046092987, 0.17765002325177193, 0.3971034437417984, 0.39349471032619476, 0.27391967736184597, 0.40969667956233025, 0.21650135144591331, 0.3529377970844507, 0.35043974965810776, 0.4955650558695197, 0.42587000876665115, 0.14691532403230667, 0.45459010265767574, 0.07308047264814377, 0.26584839448332787, 0.2912695873528719, 0.3209194205701351, 0.22686989605426788, 0.20866090804338455, 0.34145956858992577, 0.46450534649193287, 0.3989711366593838, 0.36348767951130867, 0.4278631955385208, 0.14534737169742584, 0.447954174131155, 0.3588338755071163, 0.3400711789727211, 0.2741076536476612, 0.27825821563601494, 0.15846280753612518, 0.14357033371925354, 0.07081742584705353, 0.09575571864843369, 0.4188083279877901, 0.3833518009632826, 0.32270342484116554, 0.4448307678103447, 0.29053274169564247, 0.3703083284199238, 0.3238248657435179, 0.37628328427672386, 0.5767784379422665, 0.31700772419571877, 0.4749126434326172, 0.28868842869997025, 0.27183281257748604, 0.29693846963346004, 0.24534721300005913, 0.5568201243877411, 0.3808734454214573, 0.05698098987340927, 0.1933836191892624, 0.45474349334836006, 0.45244292728602886, 0.3036981076002121, 0.3802343104034662, 0.46778680197894573, 0.5226943586021662, 0.46643216349184513, 0.39099273458123207, 0.04557196795940399, 0.373252060264349, 0.29604970291256905, 0.2616245672106743, 0.23435860127210617, 0.33703967556357384, 0.35986483097076416, 0.16683167219161987, 0.36751432344317436, 0.35471127182245255, 0.48109222762286663, 0.44912380538880825, 0.4580975752323866, 0.3982163406908512, 0.4923885874450207, 0.40609441697597504]"
8,Gerald Ford,"[0.010562866926193237, 0.2944767102599144, 0.36652424186468124, 0.30874019116163254, 0.07554027438163757, 0.15049012005329132, 0.2865091860294342, 0.2524707168340683, 0.22842912375926971, 0.030395731329917908, 0.25776544213294983, 0.3097173497080803, 0.14182771742343903, 0.15515077114105225, 0.1462865173816681, 0.09310957044363022, 0.1269233599305153, 0.18433409929275513, 0.17794469743967056, 0.2596040368080139, 0.10752158612012863, 0.24362655356526375, 0.14944855123758316, -0.030823349952697754, 0.28902044147253036, 0.17215705662965775, 0.2795940190553665, 0.23885487020015717, 0.03623928129673004, 0.3282029777765274, 0.24049362540245056, 0.14147616922855377, 0.38176728785037994, 0.11216413974761963, 0.03304870426654816, 0.264094702899456, 0.3809504993259907, 0.31592948362231255, 0.15439321100711823, 0.2310427576303482, 0.16228389739990234, 0.28257375210523605, 0.2774539068341255, 0.32929323241114616, 0.1833675503730774, 0.10356423258781433, 0.29037608578801155, 0.2955099605023861, 0.24266178905963898, 0.2526780664920807, 0.18800778687000275, 0.3928937651216984, 0.22723817080259323, 0.2776980623602867, 0.2722025588154793, 0.015583276748657227, 0.36122413724660873, 0.1228104680776596, 0.3210242986679077, -0.04085993766784668, 0.05880655348300934, 0.12405083328485489, 0.26284755766391754, 0.3488232493400574, 0.24342888593673706, 0.14213484525680542, 0.27079619467258453, 0.3345917910337448, 0.30029532313346863, 0.15976624190807343, 0.30798399820923805, 0.2930174693465233, 0.37377433478832245, 0.2697790339589119, -0.051036447286605835, 0.29058291763067245, 0.2146601602435112, 0.11697012186050415, 0.3170640505850315, 0.02476079761981964, 0.21850775182247162, 0.09292449057102203, 0.3751215785741806, 0.3661576509475708, 0.23106149584054947, 0.24545003473758698, -0.03354540467262268, 0.008394762873649597, 0.21574336290359497, 0.3762236759066582, 0.2614266462624073, 0.153640016913414, -0.03707055747509003, 0.3174002468585968, 0.2603953331708908, 0.40880532935261726, 0.015593752264976501, 0.31018728762865067, 0.3435421548783779, 0.2895377427339554]"
9,Richard Nixon,"[0.2684635892510414, 0.07200373709201813, 0.023024320602416992, -0.06033007800579071, 0.19912667572498322, 0.11402292549610138, -0.2604556791484356, 0.14401108771562576, 0.17834355682134628, 0.16400645673274994, 0.10598942637443542, 0.08209046721458435, -0.041930824518203735, 0.03830603137612343, 0.15546368062496185, 0.11895094066858292, 0.002589702606201172, 0.10657265782356262, 0.2250710316002369, 0.1490609422326088, 0.05637013167142868, -0.13793370872735977, 0.1372448354959488, 0.053298309445381165, 0.09093460440635681, 0.17079998552799225, 0.22918780148029327, 0.04881568253040314, 0.14233095198869705, -0.0024019330739974976, 0.2972833663225174, 0.0013995915651321411, 0.08371663093566895, 0.06451296806335449, -0.1783142313361168, -0.10425271838903427, -0.026610970497131348, 0.18492509424686432, 0.1960822269320488, 0.25739891827106476, 0.30273815244436264, 0.1575043573975563, 0.025064438581466675, 0.3078154996037483, 0.11714961379766464, 0.026031672954559326, 0.05808381736278534, 0.08389188349246979, 0.15044298768043518, -0.020954623818397522, -0.07693087309598923, 0.027161911129951477, 0.13446944952011108, 0.12854772806167603, -0.03943595290184021, 0.033273614943027496, 0.049056276679039, 0.0008749216794967651, 0.10833834111690521, 0.07314588129520416, 0.13137469440698624, -0.11509399116039276, 0.08334014564752579, -0.08386436104774475, 0.06589733809232712, 0.11177168786525726, -0.017875701189041138, 0.10164163261651993, 0.03292255103588104, -0.036071062088012695, -0.038302093744277954, 0.0023352429270744324, 0.031137481331825256, 0.05508708953857422, 0.07112734019756317, 0.036645859479904175, 0.16110988706350327, 0.21442241966724396, 0.04627573490142822, 0.12132519483566284, 0.08681586384773254, 0.08951739966869354, 0.19178437814116478, 0.10744039714336395, 0.14070723950862885, 0.06358319520950317, 0.09511204808950424, 0.0560067817568779, 0.14106883108615875, -0.013550907373428345, -0.021945998072624207, 0.06273883953690529, 0.1549016460776329, 0.18348407745361328, -0.0032327771186828613, 0.11308811604976654, 0.05204667150974274, 0.03688731789588928, 0.0582682341337204, 0.09431000053882599]"
