,output
0,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia, and grew up in a Presbyterian family.
3. Wilson was a highly educated individual, earning a doctorate in political science from Johns Hopkins University and serving as the president of Princeton University from 1902 to 1910.
4. During his presidency, Wilson implemented various progressive reforms, including the establishment of the Federal Reserve System and the Federal Trade Commission.
5. He is also known for his role in leading the United States through World War I, advocating for a peaceful resolution and eventually playing a significant role in the creation of the League of Nations.
6. Wilson's ideals of self-determination and democracy greatly influenced international politics, particularly in Europe after the war.
7. However, his presidency was not without controversy, as he faced criticism for his handling of civil liberties during World War I, including the passage of the Espionage Act and the Sedition Act.
8. Wilson's health deteriorated significantly during his second term, and he suffered a stroke that left him partially paralyzed. Despite his illness, he remained in office until the end of his term in 1921 and retired from politics."
1,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia, and grew up in a Presbyterian household.
3. Wilson had an impressive academic career, earning a Ph.D. in political science from Johns Hopkins University, and later became the president of Princeton University.
4. As President, Wilson is best known for his leadership during World War I. He declared the United States' neutrality at the start of the war but eventually led the country into the conflict in 1917.
5. Wilson was a strong advocate for peace and played a crucial role in the negotiations that led to the end of World War I, including his famous Fourteen Points speech that outlined his vision for global peace and cooperation.
6. He also introduced progressive domestic policies, such as the Federal Reserve Act and the Clayton Antitrust Act, which aimed to regulate the economy and protect workers' rights.
7. Wilson is often remembered for his support of racial segregation and implementation of discriminatory policies within the federal government, such as the segregation of federal workplaces.
8. Despite his accomplishments, Wilson faced significant opposition, including the failed ratification of the Treaty of Versailles and the League of Nations, which he had championed as a means to prevent future global conflicts."
2,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson attended Princeton University and later became its president from 1902 to 1910. Known for his intellectual approach to politics, he was the only U.S. president to hold a PhD degree.

One of Wilson's major achievements was the establishment of the Federal Reserve System in 1913, which created a central banking system in the United States. He also implemented several progressive reforms, including the Clayton Antitrust Act and the Federal Trade Commission Act, to regulate big businesses and protect consumers.

During his presidency, Wilson faced significant challenges, including World War I. Initially, he kept the United States neutral but eventually led the country into the war in 1917. He played a crucial role in negotiating the Treaty of Versailles, which ended the war and led to the creation of the League of Nations, an international organization aimed at maintaining peace and preventing future conflicts.

Wilson's presidency was marked by his vision of a more just and equitable society. He advocated for women's suffrage and signed the 19th Amendment into law, granting women the right to vote. However, his stance on racial issues was controversial, as he supported segregation and allowed for the implementation of discriminatory policies within the federal government.

After suffering a stroke in 1919, Wilson's health declined, and his wife, Edith, took on many of his presidential duties. He left office in 1921 and spent the remaining years of his life in seclusion. Woodrow Wilson passed away on February 3, 1924, in Washington, D.C., leaving behind a complex legacy as a transformative president and an advocate for democracy and international cooperation."
3,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was the first president to hold a Ph.D., earning his degree in political science from Johns Hopkins University. He is known for his progressive policies and his role in establishing the League of Nations, which aimed to promote peace and prevent future wars. Wilson's presidency was marked by significant domestic reforms, including the passage of the Federal Reserve Act, the Clayton Antitrust Act, and the Federal Trade Commission Act. He also signed into law the 19th Amendment, granting women the right to vote. However, Wilson's presidency was not without controversy, as he faced criticism for his handling of World War I and his implementation of policies that curtailed civil liberties during the war. Wilson suffered a stroke in 1919, which left him partially paralyzed, and he remained in poor health until his death on February 3, 1924."
4,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson attended Princeton University and later earned a Ph.D. in political science from Johns Hopkins University. 

As President, Wilson is known for his progressive policies and leadership during World War I. He implemented several significant reforms, including the Federal Reserve Act, the Clayton Antitrust Act, and the creation of the Federal Trade Commission. Wilson also championed women's suffrage and successfully pushed for the 19th Amendment, granting women the right to vote.

Internationally, Wilson played a crucial role in shaping the post-war world. He proposed the Fourteen Points, a set of principles aimed at ensuring peace and stability in Europe, and was a key architect of the League of Nations, a precursor to the United Nations.

Despite these achievements, Wilson's presidency was not without controversy. He faced criticism for his handling of domestic issues, such as racial segregation and civil liberties during wartime. Additionally, his efforts to pass the Treaty of Versailles and bring the United States into the League of Nations faced significant opposition at home.

Woodrow Wilson's health declined during his second term, and he suffered a debilitating stroke in 1919. He remained in office until 1921 but was unable to effectively govern. After leaving office, Wilson retired to private life and passed away on February 3, 1924. Despite the complexities of his presidency, Woodrow Wilson left a lasting impact on American history through his progressive policies, international leadership, and advocacy for democracy and peace."
5,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a scholar and an academician, having studied political science and history at Princeton University. He went on to become the president of Princeton University from 1902 to 1910, where he implemented various reforms and modernized the institution.

During his presidency, Wilson was known for his progressive policies and his efforts to achieve domestic reforms. He introduced several significant legislative measures, including the Federal Reserve Act, which established the central banking system, and the Clayton Antitrust Act, which aimed to prohibit monopolistic practices. Wilson also championed the passage of the 19th Amendment, granting women the right to vote.

However, Wilson faced criticism for his handling of foreign affairs, particularly during World War I. Despite initially advocating for neutrality, he eventually led the United States into the war in 1917. Wilson played a crucial role in the negotiations for the Treaty of Versailles, which ended the war, and he sought to establish the League of Nations to prevent future conflicts.

Wilson's efforts to promote his vision of a League of Nations faced opposition from the US Senate, which ultimately refused to ratify the treaty. This setback greatly affected Wilson's health, and he suffered a stroke in 1919, which left him partially paralyzed. Despite his physical limitations, Wilson remained in office until 1921, and he spent the remainder of his life writing and reflecting on his presidency."
6,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia.
3. Wilson was a highly educated individual, earning a Ph.D. in political science from Johns Hopkins University and serving as the president of Princeton University from 1902 to 1910.
4. He is known for his leadership during World War I, as he guided the United States through the conflict and pushed for the establishment of the League of Nations.
5. Wilson's presidency was marked by significant domestic reforms, including the creation of the Federal Reserve System and the passage of the Clayton Antitrust Act.
6. He was a proponent of progressive ideals, advocating for stronger labor laws, women's suffrage, and the protection of workers' rights.
7. Wilson is also remembered for his efforts to promote democracy and self-determination around the world, particularly through his Fourteen Points speech, which outlined his vision for post-war peace.
8. However, Wilson's legacy is not without controversy, as his administration implemented segregationist policies and suppressed civil liberties during World War I, such as the Espionage Act and Sedition Act."
7,"1. Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921.
2. Born in Staunton, Virginia in 1856, Wilson was the son of a Presbyterian minister and grew up in a religious and academic environment.
3. He had a distinguished career in academia, serving as the president of Princeton University before entering politics.
4. Wilson is known for his progressive policies and his efforts to reform the country's economic and political systems.
5. During his presidency, he passed significant legislation such as the Federal Reserve Act and the Clayton Antitrust Act, aimed at regulating and improving the economy.
6. Wilson was also a strong advocate for international peace and played a key role in the creation of the League of Nations, an organization aimed at preventing future wars.
7. However, his idealism and push for the United States to join the League of Nations faced strong opposition in the Senate, resulting in its failure to gain American support.
8. In his personal life, Wilson remarried while in office after the death of his first wife, and his second wife, Edith Wilson, played a significant role in helping him manage his duties after he suffered a stroke in 1919."
8,"Woodrow Wilson was the 28th President of the United States, serving from 1913 to 1921. He was born on December 28, 1856, in Staunton, Virginia. Wilson was a highly educated individual, earning a PhD from Johns Hopkins University and later becoming the president of Princeton University. He is known for his progressive policies and his efforts towards social reform. One of his most significant achievements was the establishment of the Federal Reserve System in 1913. Wilson also played a crucial role in the passage of the 19th Amendment, which granted women the right to vote. However, his presidency was marred by controversies, including his intervention in Latin America and his handling of World War I. Wilson suffered a stroke in 1919, which left him partially paralyzed. He died on February 3, 1924, in Washington, D.C."
9,"1. Woodrow Wilson was the 28th president of the United States, serving from 1913 to 1921.
2. He was born on December 28, 1856, in Staunton, Virginia.
3. Wilson was a highly educated president, having earned a Ph.D. in political science from Johns Hopkins University.
4. He is known for his progressive policies and his role in leading the United States through World War I.
5. Wilson is credited with implementing numerous reforms, including the establishment of the Federal Reserve System and the introduction of the income tax.
6. He was also an advocate for women's suffrage and signed the 19th Amendment, granting women the right to vote.
7. Wilson's foreign policy agenda focused on promoting democracy and peace, and he played a key role in the creation of the League of Nations, the precursor to the United Nations.
8. Despite his accomplishments, Wilson's presidency was not without controversy, as he faced criticism for his handling of racial issues, including the segregation of federal offices."
