,name,ratings
0,Joe Biden,"[0.8035724759101868, 0.9199033379554749, 0.826723575592041, 0.8033860325813293, 0.8767327666282654, 0.8479049801826477, 0.8750899434089661, 0.8546425700187683, 0.8637169599533081, 0.828975260257721, 0.8833969831466675, 0.905032217502594, 0.926947832107544, 0.8187255263328552, 0.9058651328086853, 0.9067535400390625, 0.9003087878227234, 0.8979471325874329, 0.9080281257629395, 0.908841609954834, 0.8594480156898499, 0.9267483353614807, 0.9322772026062012, 0.8786548376083374, 0.9318282008171082, 0.8832316994667053, 0.8359965682029724, 0.8915655016899109, 0.8321362137794495, 0.9085671901702881, 0.9202291965484619, 0.8201109170913696, 0.9247645735740662, 0.8263030052185059, 0.8067792057991028, 0.7516540884971619, 0.9408667683601379, 0.9444840550422668, 0.8902918100357056, 0.8752082586288452, 0.8939878344535828, 0.9182085990905762, 0.7953603267669678, 0.8848412036895752, 0.8667954206466675, 0.7879209518432617, 0.8787551522254944, 0.8502644896507263, 0.8588714003562927, 0.9038467407226562, 0.7598743438720703, 0.8866252303123474, 0.9130247831344604, 0.9156904220581055, 0.9088816046714783, 0.8596022129058838, 0.7599338889122009, 0.8789036273956299, 0.9143268465995789, 0.8588356971740723, 0.8643001914024353, 0.8712813258171082, 0.9078044891357422, 0.9085093140602112, 0.8536372780799866, 0.9073407053947449, 0.9469265937805176, 0.873640239238739, 0.9242020845413208, 0.8566890954971313, 0.8891196250915527, 0.850156843662262, 0.9232404828071594, 0.9077972173690796, 0.9068209528923035, 0.8476209044456482, 0.9178038835525513, 0.9267673492431641, 0.9252268671989441, 0.9279432892799377, 0.8550525307655334, 0.8793656229972839, 0.8650762438774109, 0.8546218276023865, 0.8976947069168091, 0.9106817245483398, 0.9617123603820801, 0.8783669471740723, 0.8744642734527588, 0.8840570449829102, 0.9144522547721863, 0.9003771543502808, 0.8998236656188965, 0.8375299572944641, 0.7958817481994629, 0.8646656274795532, 0.9008246660232544, 0.8564501404762268, 0.799608051776886, 0.925178587436676]"
1,Donald Trump,"[0.531589150428772, 0.46705570816993713, 0.6531428694725037, 0.3619000017642975, 0.11030769348144531, 0.12811017036437988, 0.022928282618522644, 0.05238392949104309, 0.3471508026123047, 0.14864957332611084, 0.4000284969806671, 0.3467637896537781, 0.14710693061351776, 0.11480871587991714, 0.03703596815466881, 0.24993379414081573, 0.2650355100631714, 0.325809508562088, 0.3635423183441162, 0.09665202349424362, 0.8777316808700562, 0.18472951650619507, 0.17448978126049042, 0.29772037267684937, 0.5548813343048096, 0.06411691009998322, 0.01994437165558338, 0.33781519532203674, 0.3022356927394867, 0.38910728693008423, 0.3670286536216736, 0.09256045520305634, 0.28800293803215027, 0.19932329654693604, 0.7262600660324097, 0.39066725969314575, 0.2774193584918976, 0.15003645420074463, 0.028247838839888573, 0.6852416396141052, 0.15066248178482056, 0.040664978325366974, 0.8242883682250977, 0.11173653602600098, 0.4884342551231384, 0.4720856547355652, 0.03532300889492035, 0.3361496329307556, 0.4896192252635956, 0.5423983335494995, 0.12124050408601761, 0.21794506907463074, 0.4032006561756134, 0.8833867907524109, 0.7556441426277161, 0.42937466502189636, 0.14323721826076508, 0.5714564919471741, 0.5908613204956055, 0.06642153114080429, 0.10200246423482895, 0.26139187812805176, 0.13773086667060852, 0.12619361281394958, 0.5240570306777954, 0.5058860778808594, 0.35987353324890137, 0.4317743480205536, 0.5166900753974915, 0.6771928071975708, 0.11226798593997955, 0.039047032594680786, 0.22869661450386047, 0.5826038718223572, 0.05567898228764534, 0.18908393383026123, 0.43621334433555603, 0.4310949146747589, 0.5035054683685303, 0.4545833170413971, 0.3698519468307495, 0.3317289352416992, 0.0326574482023716, 0.46549540758132935, 0.21678908169269562, 0.7028547525405884, 0.08296529203653336, 0.7478761076927185, 0.484556645154953, 0.7242470383644104, 0.8034937381744385, 0.25736135244369507, 0.4367516338825226, 0.6420026421546936, 0.25646689534187317, 0.6025739312171936, 0.17649410665035248, 0.16604647040367126, 0.6194349527359009, 0.19178828597068787]"
2,Barack Obama,"[0.905157744884491, 0.9075722098350525, 0.9454750418663025, 0.8839252591133118, 0.9479615092277527, 0.9266577363014221, 0.963434636592865, 0.9497644305229187, 0.9402837753295898, 0.923513650894165, 0.9307426810264587, 0.9562084078788757, 0.9318061470985413, 0.9195185899734497, 0.9360807538032532, 0.8992632031440735, 0.9429648518562317, 0.9084969758987427, 0.9421293139457703, 0.9556432962417603, 0.9177708029747009, 0.9262254238128662, 0.9502184987068176, 0.9444367289543152, 0.9043302536010742, 0.9139829874038696, 0.9151020646095276, 0.9651610851287842, 0.961966872215271, 0.9319806694984436, 0.9337694048881531, 0.948549747467041, 0.9578452110290527, 0.9546650052070618, 0.9306471943855286, 0.9535347819328308, 0.9284185767173767, 0.9360904693603516, 0.905510425567627, 0.9329553246498108, 0.9468476176261902, 0.9455389380455017, 0.9327971339225769, 0.953056275844574, 0.9395504593849182, 0.9546305537223816, 0.9455973505973816, 0.9488247632980347, 0.9216145873069763, 0.9365048408508301, 0.9030982851982117, 0.93829345703125, 0.9456888437271118, 0.9373569488525391, 0.9352270364761353, 0.9300869107246399, 0.9437119364738464, 0.9608558416366577, 0.9475836157798767, 0.9442713260650635, 0.9695580005645752, 0.8926805853843689, 0.9441593885421753, 0.939954400062561, 0.8818767070770264, 0.8517468571662903, 0.9477588534355164, 0.9471864700317383, 0.8991371393203735, 0.9460494518280029, 0.9554248452186584, 0.9048377871513367, 0.9440115094184875, 0.9328620433807373, 0.9340785145759583, 0.924331545829773, 0.9110525846481323, 0.9350382685661316, 0.9418173432350159, 0.9581702351570129, 0.9305790662765503, 0.9475376009941101, 0.9452440738677979, 0.926217794418335, 0.9215595126152039, 0.9345995187759399, 0.9494277238845825, 0.9456193447113037, 0.9149221181869507, 0.9541135430335999, 0.9331963062286377, 0.9349962472915649, 0.9572910070419312, 0.9526962637901306, 0.9300728440284729, 0.8856338858604431, 0.9004637598991394, 0.8949308395385742, 0.9365830421447754, 0.9376316666603088]"
3,George W. Bush,"[0.6047220230102539, 0.685558021068573, 0.7684999704360962, 0.7041217684745789, 0.5259639620780945, 0.7450912594795227, 0.8240436911582947, 0.7654954195022583, 0.37713828682899475, 0.7919926047325134, 0.8083738088607788, 0.8195333480834961, 0.6560882925987244, 0.7862945199012756, 0.3483983278274536, 0.6241030693054199, 0.7475508451461792, 0.8606135845184326, 0.8773765563964844, 0.7823534607887268, 0.6836328506469727, 0.8045559525489807, 0.8355203866958618, 0.7382450103759766, 0.8349840641021729, 0.8254294395446777, 0.7752732038497925, 0.5689173340797424, 0.7855905890464783, 0.825802206993103, 0.7834849953651428, 0.6102786064147949, 0.6792839765548706, 0.8503101468086243, 0.8142305612564087, 0.7425685524940491, 0.8274951577186584, 0.7325699925422668, 0.6475865244865417, 0.8423817157745361, 0.8517411947250366, 0.6797775626182556, 0.8533980250358582, 0.6522849798202515, 0.8252882957458496, 0.8533278703689575, 0.7400370240211487, 0.7067607045173645, 0.8796790242195129, 0.7443892359733582, 0.8871808648109436, 0.7585803866386414, 0.8619257807731628, 0.8581350445747375, 0.4265541434288025, 0.8455440402030945, 0.8365197777748108, 0.8298576474189758, 0.8170260190963745, 0.704238772392273, 0.6699987649917603, 0.782973051071167, 0.7035832405090332, 0.5325750112533569, 0.6993431448936462, 0.7191094160079956, 0.781177282333374, 0.6931190490722656, 0.7369981408119202, 0.8428961038589478, 0.5540848970413208, 0.656161367893219, 0.7518296241760254, 0.8165917992591858, 0.48117688298225403, 0.7574756741523743, 0.7998065948486328, 0.7751187682151794, 0.8412322402000427, 0.8243679404258728, 0.7376722097396851, 0.7274771332740784, 0.868489146232605, 0.7898824214935303, 0.8108506798744202, 0.644195020198822, 0.7475165724754333, 0.7431662678718567, 0.8319951891899109, 0.5038908123970032, 0.7820249199867249, 0.7761134505271912, 0.6747130751609802, 0.833354651927948, 0.8329058289527893, 0.6849735379219055, 0.7553344368934631, 0.8574923872947693, 0.23925088346004486, 0.6265860795974731]"
4,Bill Clinton,"[0.8020519018173218, 0.8903549313545227, 0.8391622304916382, 0.8864428400993347, 0.949066698551178, 0.9170746207237244, 0.8499683737754822, 0.8907127380371094, 0.883320689201355, 0.7908803820610046, 0.9105709195137024, 0.5581618547439575, 0.43939074873924255, 0.8707587718963623, 0.6929610371589661, 0.9559453725814819, 0.9244750738143921, 0.8938267827033997, 0.7523161768913269, 0.7854666709899902, 0.8932664394378662, 0.6900265216827393, 0.9394325017929077, 0.8819274306297302, 0.6444784998893738, 0.6258694529533386, 0.8888188004493713, 0.7320365905761719, 0.9128372073173523, 0.914172351360321, 0.8937955498695374, 0.6984388828277588, 0.9282824397087097, 0.8011474013328552, 0.9382173418998718, 0.9047237634658813, 0.7998335361480713, 0.9205530881881714, 0.7569747567176819, 0.9158166646957397, 0.8866925239562988, 0.9446703791618347, 0.8413405418395996, 0.7432731986045837, 0.9177188277244568, 0.9213826060295105, 0.8971905708312988, 0.6247671842575073, 0.8993123173713684, 0.8060348629951477, 0.8676882386207581, 0.9119689464569092, 0.9057360887527466, 0.8238921761512756, 0.5371147990226746, 0.935375988483429, 0.8666895031929016, 0.802497148513794, 0.8236848711967468, 0.8883445262908936, 0.9305810928344727, 0.8817755579948425, 0.7931312322616577, 0.8321732878684998, 0.6474469900131226, 0.9141436219215393, 0.6996289491653442, 0.7065199017524719, 0.9621108770370483, 0.864842414855957, 0.7228936553001404, 0.9554790258407593, 0.799997091293335, 0.9272681474685669, 0.8169374465942383, 0.869896650314331, 0.82518470287323, 0.6437519192695618, 0.8119292855262756, 0.7397735118865967, 0.7421221733093262, 0.9265400171279907, 0.8327979445457458, 0.8757236003875732, 0.8721672892570496, 0.8560639023780823, 0.7337581515312195, 0.9416380524635315, 0.8160949349403381, 0.9451376795768738, 0.8742737174034119, 0.8346059918403625, 0.71599280834198, 0.7804101705551147, 0.9153174757957458, 0.8425559997558594, 0.9358709454536438, 0.8382382392883301, 0.9215826988220215, 0.9113713502883911]"
5,George H. W. Bush,"[0.9377452731132507, 0.8868837952613831, 0.9100531935691833, 0.8584191799163818, 0.914107084274292, 0.8543922901153564, 0.8974505066871643, 0.8869062066078186, 0.8879305720329285, 0.8052051663398743, 0.9217652678489685, 0.8964223861694336, 0.8917378187179565, 0.8782278895378113, 0.7805357575416565, 0.8423458933830261, 0.898749053478241, 0.7419925332069397, 0.8279824256896973, 0.8703293204307556, 0.9177662134170532, 0.8000695109367371, 0.9004755020141602, 0.9096019864082336, 0.8511543869972229, 0.8573229908943176, 0.8854330778121948, 0.9084254503250122, 0.8797540664672852, 0.9300665855407715, 0.912499189376831, 0.833050549030304, 0.8565014004707336, 0.8644771575927734, 0.8937482237815857, 0.8127675652503967, 0.9015144109725952, 0.7994108200073242, 0.8431543111801147, 0.9366253018379211, 0.8816278576850891, 0.8457052707672119, 0.8689607977867126, 0.8453724384307861, 0.8115717768669128, 0.8570439219474792, 0.885524570941925, 0.7931750416755676, 0.8994289636611938, 0.9018874764442444, 0.8841115832328796, 0.9335548281669617, 0.8483509421348572, 0.8685798048973083, 0.8874121904373169, 0.8405729532241821, 0.9294489026069641, 0.8786481022834778, 0.8951165676116943, 0.9114284515380859, 0.8975318074226379, 0.8577550053596497, 0.9438174366950989, 0.8871892094612122, 0.8039830327033997, 0.8605709671974182, 0.9252464175224304, 0.8373706936836243, 0.8930392861366272, 0.8256959915161133, 0.8374414443969727, 0.9208216667175293, 0.9633422493934631, 0.8193455338478088, 0.8441654443740845, 0.8803658485412598, 0.9029384851455688, 0.8037471175193787, 0.8749691843986511, 0.8799870014190674, 0.9403928518295288, 0.8621457815170288, 0.8179647326469421, 0.9417872428894043, 0.9279847145080566, 0.8301447033882141, 0.9318777918815613, 0.8891186714172363, 0.8937163949012756, 0.8629173636436462, 0.9360058307647705, 0.8757023811340332, 0.931017279624939, 0.9006979465484619, 0.8805333375930786, 0.9142846465110779, 0.8933640718460083, 0.7701561450958252, 0.9274641275405884, 0.9065153002738953]"
6,Ronald Reagan,"[0.9231988191604614, 0.9264036417007446, 0.9153309464454651, 0.8252937197685242, 0.9296978712081909, 0.8951628804206848, 0.8672956228256226, 0.9316885471343994, 0.9378883838653564, 0.8811518549919128, 0.8897789120674133, 0.9041813015937805, 0.8877459764480591, 0.8749710917472839, 0.919014573097229, 0.9371545314788818, 0.956072211265564, 0.9508058428764343, 0.9384889006614685, 0.9071232676506042, 0.8762283325195312, 0.9191370606422424, 0.8811111450195312, 0.9131969213485718, 0.9114092588424683, 0.918839156627655, 0.8656666278839111, 0.897197961807251, 0.9140961170196533, 0.8118391633033752, 0.8982957005500793, 0.7803099155426025, 0.8958660364151001, 0.9069929122924805, 0.9193271398544312, 0.8758836984634399, 0.9056389927864075, 0.8924529552459717, 0.916882336139679, 0.88104248046875, 0.943438708782196, 0.852640688419342, 0.8474287390708923, 0.9232152700424194, 0.8870139718055725, 0.8891566395759583, 0.8867362141609192, 0.9402222037315369, 0.931425929069519, 0.9162993431091309, 0.8878335952758789, 0.9182220697402954, 0.9130042195320129, 0.9228013753890991, 0.9308850169181824, 0.9168816804885864, 0.9181055426597595, 0.9426953196525574, 0.9027850031852722, 0.909450113773346, 0.8412517309188843, 0.9545899629592896, 0.8949378728866577, 0.902582585811615, 0.9033690094947815, 0.8991391062736511, 0.8841078281402588, 0.9186446070671082, 0.8913002014160156, 0.9200948476791382, 0.9360528588294983, 0.8963617086410522, 0.9433850049972534, 0.940700352191925, 0.9414998292922974, 0.8614488244056702, 0.899975597858429, 0.899623453617096, 0.9219507575035095, 0.939348578453064, 0.8955303430557251, 0.9533629417419434, 0.9353587627410889, 0.9447785019874573, 0.8649025559425354, 0.8706092834472656, 0.8252291679382324, 0.8674136400222778, 0.8842679858207703, 0.9680321216583252, 0.8827642202377319, 0.9164644479751587, 0.9286952614784241, 0.8903554081916809, 0.7344405651092529, 0.9380521178245544, 0.9464733004570007, 0.9277273416519165, 0.9077288508415222, 0.7887595891952515]"
7,Jimmy Carter,"[0.8507237434387207, 0.8065322637557983, 0.8806391954421997, 0.8597477078437805, 0.9256320595741272, 0.8709269165992737, 0.8754061460494995, 0.8840013742446899, 0.6603977680206299, 0.8676387071609497, 0.86767578125, 0.8858416676521301, 0.8285626769065857, 0.6591597199440002, 0.9121497273445129, 0.9298478960990906, 0.7481022477149963, 0.8257213234901428, 0.7121703624725342, 0.8205372095108032, 0.8316659927368164, 0.8610510230064392, 0.8687554597854614, 0.8661291599273682, 0.9218399524688721, 0.9085341095924377, 0.9008628726005554, 0.8311890959739685, 0.9014240503311157, 0.629571259021759, 0.8395663499832153, 0.79123854637146, 0.9007120728492737, 0.9091414213180542, 0.9338194131851196, 0.8961800336837769, 0.8966088891029358, 0.897904098033905, 0.9240831732749939, 0.9359691739082336, 0.8761197328567505, 0.8569525480270386, 0.904620349407196, 0.818918764591217, 0.9257103800773621, 0.8308966755867004, 0.7198175191879272, 0.9202744364738464, 0.6968967914581299, 0.8310691118240356, 0.9290106892585754, 0.9124966263771057, 0.8663212060928345, 0.8626751899719238, 0.8781986832618713, 0.886069118976593, 0.8818709850311279, 0.8735454678535461, 0.8932057619094849, 0.9049808979034424, 0.9093264937400818, 0.9048428535461426, 0.9250528812408447, 0.7061992287635803, 0.7395949363708496, 0.8767341375350952, 0.8246235847473145, 0.8259360790252686, 0.8653551936149597, 0.8609651923179626, 0.7358404397964478, 0.8188796639442444, 0.8224034309387207, 0.8619234561920166, 0.7739518284797668, 0.8165057897567749, 0.8671244382858276, 0.8349909782409668, 0.928921103477478, 0.867564857006073, 0.817622184753418, 0.8581670522689819, 0.8929672837257385, 0.8369965553283691, 0.829799473285675, 0.8300254940986633, 0.8232383131980896, 0.9257628917694092, 0.8554538488388062, 0.9234846830368042, 0.8635621070861816, 0.8266399502754211, 0.8080245852470398, 0.8452659845352173, 0.8636754751205444, 0.8228998184204102, 0.8361166715621948, 0.6983338594436646, 0.8683992028236389, 0.8939628005027771]"
8,Gerald Ford,"[0.669358491897583, 0.35053908824920654, 0.6199604272842407, 0.6699984073638916, 0.7821414470672607, 0.7763096690177917, 0.8315922617912292, 0.7728597521781921, 0.7159855365753174, 0.8358052372932434, 0.7080840468406677, 0.8749189972877502, 0.5837257504463196, 0.8238186240196228, 0.4966878592967987, 0.6310295462608337, 0.8917800188064575, 0.6477958559989929, 0.735939621925354, 0.7546553015708923, 0.7245492935180664, 0.742096483707428, 0.7205513715744019, 0.8391939401626587, 0.6681593060493469, 0.8266858458518982, 0.7354316115379333, 0.8301229476928711, 0.4312591850757599, 0.7547958493232727, 0.7584523558616638, 0.7938212752342224, 0.6299904584884644, 0.7665373682975769, 0.628802478313446, 0.8077255487442017, 0.8123241066932678, 0.6676574945449829, 0.6695476174354553, 0.8491041660308838, 0.7858307361602783, 0.4121716022491455, 0.8301811814308167, 0.7403383851051331, 0.5888811349868774, 0.8329707980155945, 0.7902430891990662, 0.7593253254890442, 0.8697330355644226, 0.6639468669891357, 0.8364835381507874, 0.8260841965675354, 0.7985376715660095, 0.7555958032608032, 0.659700334072113, 0.6313077807426453, 0.7975806593894958, 0.6799376010894775, 0.8112797737121582, 0.7539968490600586, 0.7833021283149719, 0.8791666626930237, 0.8574579358100891, 0.6797502636909485, 0.8441475033760071, 0.6308558583259583, 0.768364429473877, 0.663909912109375, 0.7936719655990601, 0.8562142252922058, 0.5995201468467712, 0.8911023736000061, 0.8563776016235352, 0.8175293207168579, 0.7331007719039917, 0.7718932628631592, 0.7956961989402771, 0.5277085304260254, 0.5107244253158569, 0.7933574914932251, 0.8497518301010132, 0.7976717352867126, 0.5025843977928162, 0.5655996203422546, 0.6332290172576904, 0.766065776348114, 0.64872807264328, 0.7096078395843506, 0.843552827835083, 0.6871563792228699, 0.77239590883255, 0.5291960835456848, 0.7426502108573914, 0.7680280208587646, 0.7747864127159119, 0.8327552080154419, 0.8526277542114258, 0.8727014660835266, 0.7323005199432373, 0.8521056771278381]"
9,Richard Nixon,"[0.3169194757938385, 0.01847200281918049, 0.11685029417276382, 0.03214762732386589, 0.02916363999247551, 0.02756587229669094, 0.03662161901593208, 0.01946953311562538, 0.017711197957396507, 0.05612083896994591, 0.016792014241218567, 0.01310233399271965, 0.09706063568592072, 0.056811925023794174, 0.029682273045182228, 0.08978740125894547, 0.3343149721622467, 0.0683446153998375, 0.03581404313445091, 0.021876323968172073, 0.012830143794417381, 0.08838804066181183, 0.2189588099718094, 0.018848761916160583, 0.03383178263902664, 0.022185062989592552, 0.013978197239339352, 0.08847051858901978, 0.042420439422130585, 0.07393838465213776, 0.43676552176475525, 0.0630931630730629, 0.08146790415048599, 0.29029935598373413, 0.03481365740299225, 0.027704456821084023, 0.25068727135658264, 0.08538992702960968, 0.022672709077596664, 0.028104746714234352, 0.02889692783355713, 0.15532740950584412, 0.023317426443099976, 0.07941196858882904, 0.17234492301940918, 0.04910605400800705, 0.3660981059074402, 0.09085935354232788, 0.05122743546962738, 0.03410384804010391, 0.01743314601480961, 0.24076540768146515, 0.3481055796146393, 0.032864049077034, 0.030926020815968513, 0.015427658334374428, 0.055875327438116074, 0.03551335632801056, 0.010769054293632507, 0.007728952914476395, 0.08129814267158508, 0.010419266298413277, 0.21224890649318695, 0.01026907842606306, 0.07224338501691818, 0.03556094691157341, 0.23321758210659027, 0.03315482288599014, 0.11904189735651016, 0.03966124355792999, 0.059288423508405685, 0.026191862300038338, 0.04037056863307953, 0.03813067451119423, 0.018516380339860916, 0.04697803407907486, 0.13219597935676575, 0.2941896617412567, 0.19327345490455627, 0.11782918125391006, 0.0168773103505373, 0.0163494311273098, 0.04724536091089249, 0.15241597592830658, 0.2592361271381378, 0.01564827933907509, 0.02759505808353424, 0.07912389189004898, 0.021252062171697617, 0.0207491684705019, 0.4083557724952698, 0.015575055964291096, 0.025536876171827316, 0.12842005491256714, 0.053518906235694885, 0.014686094596982002, 0.22684232890605927, 0.23212619125843048, 0.07846381515264511, 0.0610453337430954]"
