,name,ratings
0,Joe Biden,"[0.7916982341557741, 0.9113286184147, 0.8152650473639369, 0.7936421502381563, 0.8681201245635748, 0.8363341027870774, 0.8655827576294541, 0.8456522207707167, 0.8530879328027368, 0.8182609993964434, 0.8732234239578247, 0.8984677181579173, 0.9192255325615406, 0.8043183889240026, 0.8984814225696027, 0.9004093324765563, 0.8915059501305223, 0.8885173005983233, 0.8986080558970571, 0.9012625766918063, 0.8531304067000747, 0.9186457749456167, 0.9258495708927512, 0.8714701449498534, 0.9261174290440977, 0.8717054948210716, 0.8278785208240151, 0.8839156976900995, 0.8182745901867747, 0.9006339898332953, 0.9128192197531462, 0.8064871830865741, 0.9189070789143443, 0.8129338650032878, 0.7912744218483567, 0.7355254609137774, 0.9341177479363978, 0.9391695386730134, 0.8821968361735344, 0.8677265527658165, 0.8827263405546546, 0.9113729246892035, 0.78193374350667, 0.876310009509325, 0.8590840413235128, 0.7746217362582684, 0.868659246712923, 0.8403378929942846, 0.8499482944607735, 0.8968196557834744, 0.7373927906155586, 0.8770829197019339, 0.9043687200173736, 0.9077195320278406, 0.9006207631900907, 0.8417261559516191, 0.7480415906757116, 0.870254697278142, 0.9063945524394512, 0.8493115855380893, 0.8543186597526073, 0.8576589561998844, 0.8991297176107764, 0.8992408849298954, 0.8438663054257631, 0.9007117333821952, 0.9393292600288987, 0.8637715736404061, 0.915879818610847, 0.8464251086115837, 0.8817629548721015, 0.837346532382071, 0.9163791141472757, 0.9014199604280293, 0.8983145439997315, 0.8362752012908459, 0.9111219667829573, 0.9191239578649402, 0.9174784384667873, 0.9200354935601354, 0.844771733507514, 0.8686935408040881, 0.8562356252223253, 0.8440594850108027, 0.8902988005429506, 0.9017822351306677, 0.9574648621492088, 0.866810280829668, 0.8641198305413127, 0.8753940993919969, 0.908184131141752, 0.8910853220149875, 0.8912867028266191, 0.826663606800139, 0.7859997060149908, 0.8552662506699562, 0.8910514768213034, 0.8444248801097274, 0.786605023778975, 0.9184334604069591]"
1,Donald Trump,"[0.5108067076653242, 0.4258621819317341, 0.6353140082210302, 0.32867414504289627, -0.08248685300350189, -0.07035833597183228, -0.6310495883226395, -0.29704198241233826, 0.28446050733327866, 0.09047455713152885, 0.37280626967549324, 0.32169116102159023, 0.06129801273345947, -0.10169508308172226, -0.36772045865654945, 0.16885369271039963, 0.1607612445950508, 0.28881094977259636, 0.3268200196325779, -0.1959834173321724, 0.8674790067598224, 0.08695981651544571, -0.056794166564941406, 0.25659045949578285, 0.5281072072684765, -0.20279444754123688, -0.722292659804225, 0.2810257449746132, 0.24343634396791458, 0.35107048228383064, 0.2974334731698036, -0.08460044860839844, 0.21648892760276794, 0.14291078969836235, 0.7092205863445997, 0.35378316789865494, 0.2041328325867653, 0.039679087698459625, -0.5210998002439737, 0.665791055187583, 0.0773654580116272, -0.4553530439734459, 0.8090010145679116, 0.04858800023794174, 0.4645750764757395, 0.4463645238429308, -0.5176005512475967, 0.2954046241939068, 0.4622800499200821, 0.5179995950311422, -0.027830295264720917, 0.1402222216129303, 0.34337714686989784, 0.872158220037818, 0.7430663434788585, 0.400666119530797, 0.05864642560482025, 0.5442888662219048, 0.5684185642749071, -0.28376416116952896, -0.1673092320561409, 0.19174834340810776, -0.0004330873489379883, -0.028881579637527466, 0.493544889613986, 0.4790066257119179, 0.29293856024742126, 0.31122995913028717, 0.4853610694408417, 0.6634034477174282, -0.08205069601535797, -0.39172232151031494, 0.1695306859910488, 0.5473523363471031, -0.3628641180694103, -0.034075409173965454, 0.3978797346353531, 0.3942301832139492, 0.47734324261546135, 0.4246513098478317, 0.3452686406672001, 0.30001698434352875, -0.5146223269402981, 0.4419491980224848, 0.1406797617673874, 0.6895407168194652, -0.11413828283548355, 0.7371584540233016, 0.42929582670331, 0.6986211724579334, 0.7923087663948536, 0.13563982397317886, 0.41924808733165264, 0.5857647098600864, 0.20587777346372604, 0.5780834555625916, 0.11695362254977226, 0.04878075420856476, 0.5998981185257435, 0.0395197868347168]"
2,Barack Obama,"[0.8972508385777473, 0.9005546504631639, 0.9400187483988702, 0.8724491139873862, 0.9431348671205342, 0.9198664575815201, 0.9590108143165708, 0.9442597054876387, 0.9323514550924301, 0.9157055262476206, 0.9251244780607522, 0.9515420589596033, 0.9262236249633133, 0.9133762740530074, 0.9298666436225176, 0.8915374181233346, 0.9370355033315718, 0.9014695752412081, 0.9362651705741882, 0.9509183312766254, 0.9107658816501498, 0.92025828640908, 0.9452740885317326, 0.9391483133658767, 0.896870372351259, 0.9082982260733843, 0.9070789823308587, 0.9607336590997875, 0.9568858854472637, 0.9264285494573414, 0.9258925206959248, 0.94332191394642, 0.9535221955738962, 0.948014160618186, 0.9237870876677334, 0.9477269933559, 0.9226273135282099, 0.9299574545584619, 0.8994866381399333, 0.9257524511776865, 0.9415698465891182, 0.9397835368290544, 0.9245802564546466, 0.9472454306669533, 0.9349841331131756, 0.9490106357261539, 0.9399166228249669, 0.9436836019158363, 0.9125572070479393, 0.9296172587200999, 0.8964259452186525, 0.932943953666836, 0.941131747327745, 0.9318346250802279, 0.93042804999277, 0.9251931635662913, 0.9378780736587942, 0.9563503819517791, 0.9423660207539797, 0.9386556427925825, 0.965310909319669, 0.8857344691641629, 0.9392424169927835, 0.9336573234759271, 0.873333222232759, 0.8429458905011415, 0.942326576448977, 0.9412548542022705, 0.8926934385672212, 0.9408279019407928, 0.9507449264638126, 0.8977582310326397, 0.937751417979598, 0.9255022048018873, 0.9283843799494207, 0.9176910775713623, 0.9040049826726317, 0.9287538272328675, 0.936930825933814, 0.9536961135454476, 0.9261329271830618, 0.9412680105306208, 0.9392089359462261, 0.9196948395110667, 0.914151756092906, 0.9263995140790939, 0.9434913047589362, 0.9405457805842161, 0.9070869432762265, 0.9488770170137286, 0.926347506698221, 0.9292891044169664, 0.9528719768859446, 0.9479271802119911, 0.9238899787887931, 0.8760892702266574, 0.8929852000437677, 0.8878853912465274, 0.9306671349331737, 0.9326531202532351]"
3,George W. Bush,"[0.566732581704855, 0.6709412485361099, 0.751386534422636, 0.6856115087866783, 0.501753581687808, 0.7346492949873209, 0.8136788289994001, 0.750230947509408, 0.3410368524491787, 0.7792978882789612, 0.7950105844065547, 0.8070509349927306, 0.6400170866400003, 0.7713029244914651, 0.3263294529169798, 0.6067136880010366, 0.7357794037088752, 0.850337971933186, 0.8686225991696119, 0.7701166672632098, 0.6694650491699576, 0.7928275857120752, 0.8230716865509748, 0.7262335941195488, 0.8223211131989956, 0.8149292208254337, 0.7627338543534279, 0.5393345188349485, 0.7659389190375805, 0.8133713528513908, 0.7742969477549195, 0.5911553204059601, 0.6625030394643545, 0.8409753423184156, 0.806809289380908, 0.7272374657914042, 0.8163453722372651, 0.7112871389836073, 0.6233029048889875, 0.8346295468509197, 0.8423850163817406, 0.6611907593905926, 0.8438326204195619, 0.6383097609505057, 0.809843122959137, 0.8434544699266553, 0.7188236583024263, 0.6870546564459801, 0.8694839850068092, 0.7282097321003675, 0.8802936049178243, 0.7418761011213064, 0.8519569644704461, 0.8478623051196337, 0.3897663280367851, 0.8355683479458094, 0.827950838021934, 0.8191745560616255, 0.8017282318323851, 0.6925880629569292, 0.6448683589696884, 0.7706078598275781, 0.6936838999390602, 0.5126772075891495, 0.6812952309846878, 0.702599948272109, 0.7668571909889579, 0.665416931733489, 0.7162874564528465, 0.8324243044480681, 0.537870604544878, 0.6316730566322803, 0.7407546062022448, 0.8070690985769033, 0.45623136311769485, 0.7443234119564295, 0.790197647176683, 0.7616770705208182, 0.8310114927589893, 0.8049353417009115, 0.7263850457966328, 0.7109033111482859, 0.8593518706038594, 0.7763815503567457, 0.7942010052502155, 0.6228882372379303, 0.7298125140368938, 0.72262392193079, 0.8209841707721353, 0.4829880129545927, 0.7698819395154715, 0.7656582081690431, 0.6561098154634237, 0.8198456782847643, 0.8207325981929898, 0.6726574469357729, 0.7405380550771952, 0.8458380969241261, 0.1337255835533142, 0.6079867854714394]"
4,Bill Clinton,"[0.7848818395286798, 0.8806873811408877, 0.828922726213932, 0.8772388780489564, 0.9438384547829628, 0.9074118044227362, 0.8405588706955314, 0.8828452629968524, 0.8740466991439462, 0.7737014833837748, 0.9046378284692764, 0.5151967480778694, 0.36360257118940353, 0.8620842602103949, 0.6820557992905378, 0.9505878100171685, 0.9178056851960719, 0.8867169753648341, 0.7316786348819733, 0.7752887718379498, 0.8879107218235731, 0.6722155809402466, 0.9345296868123114, 0.8729725535959005, 0.6286771781742573, 0.6147919027134776, 0.8802180858328938, 0.7161237485706806, 0.9077570750378072, 0.9080989370122552, 0.8859115177765489, 0.6828585546463728, 0.922528225928545, 0.7906841952353716, 0.9332490083761513, 0.8969777091406286, 0.7853380683809519, 0.9154693456366658, 0.7442700453102589, 0.9094481961801648, 0.8769169198349118, 0.9384765625, 0.8265007454901934, 0.7246358375996351, 0.9106291942298412, 0.914650846272707, 0.8910121801309288, 0.5919328778982162, 0.8907473562285304, 0.7916988292708993, 0.8576488783583045, 0.9073746465146542, 0.8983483454212546, 0.8151116343215108, 0.5201597809791565, 0.9291428066790104, 0.8578215884044766, 0.7913169106468558, 0.8107335632666945, 0.8811339815147221, 0.9246991486288607, 0.8741264226846397, 0.7862068582326174, 0.8220677711069584, 0.6260717213153839, 0.9057330843061209, 0.6738811135292053, 0.6809797435998917, 0.958451725775376, 0.853692869655788, 0.7119319187477231, 0.9488629512488842, 0.7902900399640203, 0.9207110330462456, 0.8042563674971461, 0.8612290117889643, 0.8114258926361799, 0.6246630139648914, 0.8020915817469358, 0.7188255283981562, 0.7236716970801353, 0.9196274559944868, 0.8254432072862983, 0.8639049008488655, 0.8632291406393051, 0.8474836312234402, 0.7068684473633766, 0.9348547761328518, 0.8018021862953901, 0.941147955134511, 0.8655830072239041, 0.8235279554501176, 0.6928003337234259, 0.7638348247855902, 0.9087187759578228, 0.8308255253359675, 0.930412532761693, 0.8287334488704801, 0.9163722321391106, 0.9044547383673489]"
5,George H. W. Bush,"[0.9297594232484698, 0.8761787610128522, 0.9018781865015626, 0.8426837027072906, 0.9061229918152094, 0.8417726187035441, 0.8844765042886138, 0.8755459897220135, 0.8795779133215547, 0.7909373082220554, 0.9140062243677676, 0.8844110062345862, 0.8808885272592306, 0.8679443635046482, 0.756567407399416, 0.8285239050164819, 0.8888228144496679, 0.7252484951168299, 0.8165107602253556, 0.8569284956902266, 0.9064413849264383, 0.783743105828762, 0.8897413499653339, 0.900427021086216, 0.8378457240760326, 0.844435190781951, 0.8724568961188197, 0.8983579305931926, 0.8680516732856631, 0.9236394218169153, 0.9040010841563344, 0.8167424369603395, 0.8438449595123529, 0.8521461179479957, 0.8829968767240644, 0.7952429763972759, 0.8878512065857649, 0.7823835536837578, 0.8277499750256538, 0.930785367731005, 0.8692709794268012, 0.8351691272109747, 0.8541600024327636, 0.8330522030591965, 0.798942718654871, 0.8462465768679976, 0.8777445782907307, 0.7763185743242502, 0.8901995560154319, 0.8913957690820098, 0.8730964371934533, 0.9255941528826952, 0.830785945057869, 0.857321728952229, 0.8721144516021013, 0.8271667240187526, 0.9193961834535003, 0.8638086589053273, 0.8870754754170775, 0.9024881860241294, 0.885621003806591, 0.8463595351204276, 0.9320675795897841, 0.8745965091511607, 0.7882946599274874, 0.8470747573301196, 0.9145779488608241, 0.8253540843725204, 0.8839688235893846, 0.8134838864207268, 0.8264614846557379, 0.9114404320716858, 0.9574773660860956, 0.8022461012005806, 0.8318489883095026, 0.8691247999668121, 0.8957251734100282, 0.7888056840747595, 0.8618564819917083, 0.8698844751343131, 0.9329822682775557, 0.8491799123585224, 0.8044469049200416, 0.9313115337863564, 0.91905827075243, 0.8197251548990607, 0.9260031799785793, 0.8765567978844047, 0.8811477106064558, 0.849477319046855, 0.927230579778552, 0.8633284131065011, 0.9209502665325999, 0.8903627786785364, 0.8688086867332458, 0.9057360086590052, 0.8839324824512005, 0.7578524993732572, 0.9176907977089286, 0.8984105410054326]"
6,Ronald Reagan,"[0.9173980341292918, 0.9212388042360544, 0.9087594021111727, 0.8183588939718902, 0.9243634678423405, 0.8896186165511608, 0.8603728176094592, 0.9262342690490186, 0.9334807749837637, 0.8726206459105015, 0.8837560527026653, 0.8977578231133521, 0.8804692029953003, 0.8668473372235894, 0.9122537705115974, 0.9310768456198275, 0.9511950388550758, 0.9457923010922968, 0.9329069089144468, 0.9008946674875915, 0.8706568218767643, 0.9128970010206103, 0.8703678539022803, 0.9067548075690866, 0.9056816045194864, 0.9128382266499102, 0.8571754666045308, 0.890327007509768, 0.9075225326232612, 0.8022566521540284, 0.8899616803973913, 0.7682328745722771, 0.8894583391956985, 0.900333418045193, 0.9130648830905557, 0.8674944713711739, 0.8996163005940616, 0.8871726910583675, 0.9109571957960725, 0.8740355935879052, 0.9386674626730382, 0.8453471553511918, 0.8371795052662492, 0.9166506701149046, 0.8787167649716139, 0.8823159402236342, 0.8800785569474101, 0.9350284542888403, 0.9255485129542649, 0.9092042758129537, 0.8812542371451855, 0.9105555629357696, 0.9060440612956882, 0.917491068597883, 0.9234972796402872, 0.9093725099228323, 0.9118291535414755, 0.9379208465106785, 0.8968249205499887, 0.9021420096978545, 0.833068398758769, 0.9496122314594686, 0.8877756865695119, 0.8961087255738676, 0.8987786998040974, 0.8924001599662006, 0.8734952360391617, 0.9116260148584843, 0.8855955926701427, 0.9140058076009154, 0.9305333751253784, 0.8895990676246583, 0.9379205745644867, 0.9361008685082197, 0.9368738424964249, 0.8527849810197949, 0.8919826522469521, 0.8921327241696417, 0.9152634083293378, 0.9346449063159525, 0.8885645777918398, 0.9485112684778869, 0.9290361437015235, 0.9393001622520387, 0.8558140061795712, 0.8622276084497571, 0.817691863514483, 0.8605310055427253, 0.8779566711746156, 0.9645852209068835, 0.8752353396266699, 0.9090541508048773, 0.9235794595442712, 0.8830973911099136, 0.7254156358540058, 0.9325119997374713, 0.9411462494172156, 0.9222692688927054, 0.9011588362045586, 0.7809926872141659]"
7,Jimmy Carter,"[0.8376427330076694, 0.7888342998921871, 0.8726437045261264, 0.847235793247819, 0.9193505086004734, 0.8640583050437272, 0.8670788053423166, 0.8761324640363455, 0.6300166789442301, 0.8579555423930287, 0.8584411963820457, 0.8769931048154831, 0.8186532128602266, 0.633192015811801, 0.9014561446383595, 0.923336336389184, 0.7377124298363924, 0.8147365879267454, 0.6965421419590712, 0.8001519571989775, 0.8241399708203971, 0.8522958541288972, 0.8594823135063052, 0.8548683421686292, 0.9133222103118896, 0.9026085059158504, 0.8926942171528935, 0.8177095269784331, 0.8921358864754438, 0.6060470100492239, 0.8201495576649904, 0.7808375060558319, 0.8946679015643895, 0.8998071392998099, 0.9261091519147158, 0.8864020192995667, 0.8876006668433547, 0.8909979583695531, 0.9128631250932813, 0.9289190201088786, 0.8604626599699259, 0.8487668912857771, 0.8948574960231781, 0.7947812266647816, 0.9174329042434692, 0.8209373680874705, 0.6970849484205246, 0.9125220961868763, 0.6780369579792023, 0.8067463431507349, 0.9207702549174428, 0.9054943518713117, 0.856572569347918, 0.8544898955151439, 0.866958063095808, 0.8739805091172457, 0.8728927476331592, 0.8637747503817081, 0.8830648651346564, 0.8975931094028056, 0.8995971577242017, 0.8964833356440067, 0.918325346428901, 0.68803695961833, 0.7295540478080511, 0.8676830977201462, 0.8135781157761812, 0.815480506978929, 0.8547572307288647, 0.8481491263955832, 0.7071257010102272, 0.8058879431337118, 0.8093039439991117, 0.8514995668083429, 0.760160144418478, 0.8053285330533981, 0.8568768091499805, 0.8239767579361796, 0.9219230045564473, 0.8551851166412234, 0.8029826637357473, 0.845947721041739, 0.8831661744043231, 0.8229505037888885, 0.8137742709368467, 0.8158174073323607, 0.8083838457241654, 0.9159503290429711, 0.8443720247596502, 0.9163349601440132, 0.85206981562078, 0.8150755781680346, 0.7945246621966362, 0.8330740453675389, 0.8523043906316161, 0.8118184944614768, 0.8270175931975245, 0.673542058095336, 0.8565856516361237, 0.8827220089733601]"
8,Gerald Ford,"[0.640089601278305, 0.24127250909805298, 0.5953671522438526, 0.6511283926665783, 0.7685826271772385, 0.7573250029236078, 0.8186522955074906, 0.7464569490402937, 0.6975511629134417, 0.8260652292519808, 0.6892846748232841, 0.8625161424279213, 0.5525962971150875, 0.8088074931874871, 0.4198301210999489, 0.6028957981616259, 0.8814421575516462, 0.624547939747572, 0.7190665956586599, 0.742020801641047, 0.7038470525294542, 0.7266983864828944, 0.7080533420667052, 0.8283237526193261, 0.6510945353657007, 0.8092974275350571, 0.7118155881762505, 0.8157774610444903, 0.40024026297032833, 0.7386557795107365, 0.7331862263381481, 0.7816648837178946, 0.6080382578074932, 0.7470152303576469, 0.6086958162486553, 0.794179217889905, 0.7970547145232558, 0.645614629611373, 0.6434319335967302, 0.8378519369289279, 0.767738277092576, 0.3630254976451397, 0.8203722788020968, 0.7159269098192453, 0.5678076352924109, 0.8186477478593588, 0.7726587560027838, 0.7445253068581223, 0.8602377939969301, 0.6365540102124214, 0.8223972413688898, 0.8145299078896642, 0.7841003583744168, 0.7382808122783899, 0.6415012869983912, 0.6087778676301241, 0.7805557027459145, 0.6633959300816059, 0.79902633279562, 0.7318766918033361, 0.7651208899915218, 0.8674647426232696, 0.8504057726822793, 0.658125352114439, 0.8317606439813972, 0.6026289444416761, 0.7494176346808672, 0.6418720185756683, 0.7754420060664415, 0.8469659620895982, 0.5789055097848177, 0.8832509825006127, 0.8444028934463859, 0.8047468457370996, 0.7172486856579781, 0.7562968069687486, 0.7778386324644089, 0.48908018693327904, 0.4710240177810192, 0.7751528825610876, 0.8363984189927578, 0.7772222254425287, 0.4789776708930731, 0.531187679618597, 0.6091412901878357, 0.7517769653350115, 0.6272410992532969, 0.6920908279716969, 0.8300120532512665, 0.6719550155103207, 0.7529519740492105, 0.48739418759942055, 0.7271656151860952, 0.7509379908442497, 0.7630671309307218, 0.8192789386957884, 0.838775142095983, 0.8606417579576373, 0.7080849912017584, 0.8394313342869282]"
9,Richard Nixon,"[0.27346430346369743, -0.7025969158858061, -0.16846316307783127, -0.5236020870506763, -0.5934279151260853, -0.4151065591722727, -0.4008246175944805, -0.6674766205251217, -0.6868726257234812, -0.49942729249596596, -0.6352237313985825, -0.7363141365349293, -0.14880545437335968, -0.20251772180199623, -0.5448556002229452, -0.2126346156001091, 0.24151656031608582, -0.20423684269189835, -0.5249921716749668, -0.6149984709918499, -0.7525978628546, -0.11816096305847168, 0.11780518293380737, -0.7078911811113358, -0.5278678461909294, -0.5657868031412363, -0.7433028081431985, -0.1889083981513977, -0.43588075786828995, -0.27360980212688446, 0.35624436289072037, -0.44810952991247177, -0.3489162549376488, 0.2368294931948185, -0.4423728734254837, -0.5379747953265905, 0.19318721443414688, -0.07803931832313538, -0.6703196205198765, -0.5704542752355337, -0.6444458365440369, -0.12723171710968018, -0.6114450991153717, -0.20612038671970367, -0.0036145150661468506, -0.34041500836610794, 0.30033306032419205, -0.23891940712928772, -0.30329446494579315, -0.5068516954779625, -0.6742441263049841, 0.06745991110801697, 0.3137442283332348, -0.594390794634819, -0.5180623810738325, -0.7261874582618475, -0.2952103354036808, -0.5028806775808334, -0.8264410048723221, -0.8456744365394115, -0.21495339274406433, -0.7967943381518126, 0.01376447081565857, -0.7985422881320119, -0.29969481378793716, -0.41599779203534126, 0.1344277784228325, -0.5003611072897911, -0.07276760786771774, -0.5110925287008286, -0.34097056463360786, -0.6755151432007551, -0.5052048712968826, -0.37108274921774864, -0.6664959006011486, -0.39083751291036606, 0.01605820655822754, 0.2336941920220852, 0.10559486597776413, -0.2022014781832695, -0.7024758290499449, -0.7082311548292637, -0.33355095237493515, -0.06968432664871216, 0.1762784644961357, -0.6886117719113827, -0.4817386716604233, -0.18800251930952072, -0.6648955680429935, -0.46168447844684124, 0.3659680597484112, -0.620112712495029, -0.45294659212231636, 0.00734739750623703, -0.2098662406206131, -0.7050628792494535, 0.07739418745040894, 0.1781015582382679, -0.13837570697069168, -0.24354712665081024]"
