,name,ratings
0,Joe Biden,"[0.7815088629722595, 0.829245924949646, 0.8165488243103027, 0.7550174593925476, 0.8409985899925232, 0.7349536418914795, 0.8114549517631531, 0.8486310243606567, 0.7551147937774658, 0.8170682787895203, 0.8172950148582458, 0.8028126358985901, 0.8404011726379395, 0.872081458568573, 0.8464856743812561, 0.8039885759353638, 0.6564513444900513, 0.8671939373016357, 0.7899472117424011, 0.872173547744751, 0.8562039136886597, 0.6040405035018921, 0.7894470691680908, 0.9349378943443298, 0.9032914042472839, 0.8873926401138306, 0.737119197845459, 0.8955411911010742, 0.8181358575820923, 0.8967649936676025, 0.8906605243682861, 0.7310160994529724, 0.8292956352233887, 0.6975733041763306, 0.8678290247917175, 0.7883714437484741, 0.9222289323806763, 0.8537787199020386, 0.8654454946517944, 0.7592801451683044, 0.6673992872238159, 0.8304805159568787, 0.746678352355957, 0.892457902431488, 0.9093621969223022, 0.8053300976753235, 0.8386215567588806, 0.8377675414085388, 0.7847113013267517, 0.8897408246994019, 0.8264525532722473, 0.828556478023529, 0.8368797302246094, 0.8405821323394775, 0.802254855632782, 0.8727120161056519, 0.7853195667266846, 0.7357699275016785, 0.8131789565086365, 0.8741856813430786, 0.802643895149231, 0.7890968918800354, 0.8533953428268433, 0.67437744140625, 0.8106045126914978, 0.8423439860343933, 0.8506723046302795, 0.5833671689033508, 0.6480374336242676, 0.8985689878463745, 0.8326541781425476, 0.7880175709724426, 0.8736178874969482, 0.6858788132667542, 0.8685997724533081, 0.7917723655700684, 0.8793902397155762, 0.8053083419799805, 0.9043465256690979, 0.875288188457489, 0.7732105255126953, 0.8724871277809143, 0.7794101238250732, 0.8136678338050842, 0.7093902230262756, 0.8670688271522522, 0.9186909198760986, 0.8618649840354919, 0.8658576607704163, 0.7596339583396912, 0.7763664126396179, 0.7422707676887512, 0.8934324383735657, 0.8358076214790344, 0.6108253002166748, 0.829624593257904, 0.8817363977432251, 0.857430100440979, 0.8401954770088196, 0.891922116279602]"
1,Donald Trump,"[0.7736077308654785, 0.38940295577049255, 0.6883676648139954, 0.42386898398399353, 0.13648664951324463, 0.46762213110923767, 0.602110743522644, 0.2736552357673645, 0.3226301670074463, 0.7486469745635986, 0.5519810914993286, 0.252947062253952, 0.2509845495223999, 0.31106555461883545, 0.13074633479118347, 0.3592550456523895, 0.7129566073417664, 0.5236532092094421, 0.346204936504364, 0.7596312761306763, 0.7238402366638184, 0.43587687611579895, 0.5535019040107727, 0.3923766314983368, 0.6290920376777649, 0.6967328786849976, 0.4111960232257843, 0.2441132664680481, 0.21932922303676605, 0.5498125553131104, 0.49443989992141724, 0.6654992699623108, 0.6196065545082092, 0.5465778112411499, 0.509304940700531, 0.6204344630241394, 0.5626239776611328, 0.31348884105682373, 0.336928129196167, 0.42770281434059143, 0.6840530037879944, 0.3216768205165863, 0.5890253186225891, 0.6308014988899231, 0.4305349290370941, 0.837979257106781, 0.6511205434799194, 0.6409186720848083, 0.5951204895973206, 0.7281225919723511, 0.41855427622795105, 0.2860027551651001, 0.8109826445579529, 0.43896394968032837, 0.5434508323669434, 0.4698074758052826, 0.21868811547756195, 0.5702844858169556, 0.5181746482849121, 0.47575169801712036, 0.6749334931373596, 0.7268730401992798, 0.13721905648708344, 0.7100502848625183, 0.6174868941307068, 0.6484699845314026, 0.30337074398994446, 0.6163151860237122, 0.48609334230422974, 0.7570882439613342, 0.38067489862442017, 0.2335599958896637, 0.08117906004190445, 0.48673006892204285, 0.290444552898407, 0.44990381598472595, 0.4397994875907898, 0.48749929666519165, 0.2522449195384979, 0.6604584455490112, 0.33313074707984924, 0.754470944404602, 0.22794939577579498, 0.32378852367401123, 0.7803771495819092, 0.5697246789932251, 0.3292427659034729, 0.3438069224357605, 0.6267262101173401, 0.5620744824409485, 0.8106610774993896, 0.5451033711433411, 0.7504400610923767, 0.6465895771980286, 0.7105303406715393, 0.5107958912849426, 0.35519999265670776, 0.1021207943558693, 0.39224913716316223, 0.07083266228437424]"
2,Barack Obama,"[0.898574709892273, 0.857178270816803, 0.8481249809265137, 0.909209132194519, 0.8619446158409119, 0.9142314195632935, 0.8769739270210266, 0.8561060428619385, 0.8302068710327148, 0.8469222187995911, 0.8761228322982788, 0.9269853234291077, 0.8893506526947021, 0.7411108016967773, 0.8858521580696106, 0.8772002458572388, 0.869606077671051, 0.8982838988304138, 0.8723923563957214, 0.931507408618927, 0.8829171061515808, 0.8904346823692322, 0.86542147397995, 0.8859549760818481, 0.9203881621360779, 0.8749650716781616, 0.8428098559379578, 0.9235310554504395, 0.8924073576927185, 0.8703525066375732, 0.8779952526092529, 0.8652216196060181, 0.8918644785881042, 0.914908766746521, 0.8264310956001282, 0.8629580140113831, 0.8729733824729919, 0.9006478786468506, 0.8584924340248108, 0.8810855150222778, 0.9362689256668091, 0.937127411365509, 0.908171534538269, 0.8699983954429626, 0.8423787355422974, 0.935444712638855, 0.888373613357544, 0.9194700717926025, 0.922629177570343, 0.8903831839561462, 0.8842270374298096, 0.855498731136322, 0.9003307819366455, 0.841840922832489, 0.8025119304656982, 0.8551608324050903, 0.893449604511261, 0.9181572794914246, 0.8580500483512878, 0.9311217665672302, 0.8786962032318115, 0.8125380873680115, 0.8613651990890503, 0.8425791263580322, 0.8637789487838745, 0.6611945033073425, 0.9002429842948914, 0.9231242537498474, 0.7979262471199036, 0.9234157800674438, 0.8547965288162231, 0.8463587760925293, 0.8474940657615662, 0.8710211515426636, 0.8764501810073853, 0.8848860263824463, 0.8640989661216736, 0.8929324150085449, 0.8654620051383972, 0.8704631328582764, 0.8388808369636536, 0.9313623309135437, 0.9257874488830566, 0.8732849955558777, 0.8366873264312744, 0.9146988391876221, 0.8632931113243103, 0.9219985008239746, 0.7333118915557861, 0.9195716977119446, 0.8807767629623413, 0.7915828824043274, 0.8889781832695007, 0.9506996870040894, 0.9250717759132385, 0.7363587021827698, 0.770889401435852, 0.8536484837532043, 0.8537256121635437, 0.9488983750343323]"
3,George W. Bush,"[0.5148949027061462, 0.6412243843078613, 0.553239643573761, 0.4099777936935425, 0.6647250652313232, 0.735517680644989, 0.5021108388900757, 0.7948886752128601, 0.4932275414466858, 0.7829393744468689, 0.7776520848274231, 0.8598649501800537, 0.7168839573860168, 0.6430660486221313, 0.5389814972877502, 0.4726981818675995, 0.5034002661705017, 0.8815828561782837, 0.6794198751449585, 0.3591982424259186, 0.675731360912323, 0.7498051524162292, 0.6830997467041016, 0.6261534690856934, 0.6695468425750732, 0.7308284640312195, 0.6804813146591187, 0.7078337073326111, 0.6010947823524475, 0.7921542525291443, 0.5742853879928589, 0.5732241272926331, 0.6396357417106628, 0.7994222640991211, 0.5654546618461609, 0.8299539089202881, 0.8158156275749207, 0.6071479320526123, 0.6573238372802734, 0.5435377955436707, 0.8146404027938843, 0.3572978973388672, 0.866033136844635, 0.45947813987731934, 0.6353444457054138, 0.8018893599510193, 0.724486768245697, 0.7484334111213684, 0.8678607940673828, 0.7986493110656738, 0.7392218112945557, 0.8308674693107605, 0.718100905418396, 0.893011212348938, 0.5646482706069946, 0.730042576789856, 0.8100090026855469, 0.6931256055831909, 0.803066074848175, 0.3328434228897095, 0.7332173585891724, 0.8093723654747009, 0.5947062969207764, 0.467428594827652, 0.7684847116470337, 0.6490270495414734, 0.7064437866210938, 0.5471318364143372, 0.58995521068573, 0.7546210885047913, 0.533195436000824, 0.42768484354019165, 0.600690484046936, 0.8513461947441101, 0.41171661019325256, 0.5850204229354858, 0.8615557551383972, 0.624315619468689, 0.8179283738136292, 0.3880709111690521, 0.8270467519760132, 0.786259114742279, 0.6830556392669678, 0.7676040530204773, 0.6052052974700928, 0.6502124667167664, 0.7105212211608887, 0.6295964121818542, 0.7309267520904541, 0.5310503840446472, 0.7204592227935791, 0.8769609928131104, 0.6881076097488403, 0.8370938897132874, 0.8126911520957947, 0.6335182189941406, 0.4179372191429138, 0.8927085399627686, 0.11962142586708069, 0.621281087398529]"
4,Bill Clinton,"[0.3706227242946625, 0.818934977054596, 0.1440333127975464, 0.6865327954292297, 0.902957022190094, 0.6935393214225769, 0.4695412516593933, 0.5536143183708191, 0.8884202837944031, 0.21973274648189545, 0.7816463708877563, 0.12842673063278198, 0.03759871795773506, 0.37085679173469543, 0.34175097942352295, 0.9074380993843079, 0.8546894788742065, 0.7125104665756226, 0.524908185005188, 0.6054161787033081, 0.6061704754829407, 0.3791482746601105, 0.8438625335693359, 0.771199107170105, 0.40561529994010925, 0.6417061686515808, 0.677473783493042, 0.7773805260658264, 0.357421875, 0.7692956328392029, 0.5221689939498901, 0.4122747480869293, 0.8788423538208008, 0.6212025284767151, 0.8494824767112732, 0.8892686367034912, 0.33219125866889954, 0.7193651795387268, 0.3037583529949188, 0.23758456110954285, 0.7266992926597595, 0.8144792318344116, 0.4501054584980011, 0.39651691913604736, 0.6291567087173462, 0.5663657188415527, 0.6504877805709839, 0.5488576292991638, 0.8107417821884155, 0.2756027579307556, 0.6173221468925476, 0.638087272644043, 0.15952832996845245, 0.33772948384284973, 0.5464541912078857, 0.6045132279396057, 0.7812545299530029, 0.6453952193260193, 0.8020179271697998, 0.5901044011116028, 0.40989401936531067, 0.45386141538619995, 0.7915678024291992, 0.33648303151130676, 0.26467230916023254, 0.5924795269966125, 0.3772694170475006, 0.45877695083618164, 0.9264880418777466, 0.5775257349014282, 0.5480884909629822, 0.8931912183761597, 0.8438519239425659, 0.7136155366897583, 0.46644851565361023, 0.4875040650367737, 0.08991246670484543, 0.37953755259513855, 0.7219344973564148, 0.10932363569736481, 0.18934699892997742, 0.8259285688400269, 0.7791115045547485, 0.46906331181526184, 0.8288771510124207, 0.8562191128730774, 0.6120860576629639, 0.7898011207580566, 0.42357683181762695, 0.8466957211494446, 0.5252515077590942, 0.2513206899166107, 0.24810530245304108, 0.7836759090423584, 0.334883451461792, 0.40146544575691223, 0.7663975954055786, 0.19262263178825378, 0.5873554348945618, 0.7376769185066223]"
5,George H. W. Bush,"[0.9563714861869812, 0.9232456088066101, 0.8708840012550354, 0.8600972294807434, 0.9299588203430176, 0.926947295665741, 0.9325568079948425, 0.7724090814590454, 0.8539661169052124, 0.9078472256660461, 0.9550036787986755, 0.8872835636138916, 0.9029587507247925, 0.9131758809089661, 0.7651333212852478, 0.8244085907936096, 0.8750180602073669, 0.8618746399879456, 0.8087248802185059, 0.9136013388633728, 0.9248817563056946, 0.8178296685218811, 0.9449200630187988, 0.9303969740867615, 0.9263420701026917, 0.8806460499763489, 0.8100844025611877, 0.9060928821563721, 0.902672529220581, 0.9286348819732666, 0.9390411972999573, 0.8924218416213989, 0.8764125108718872, 0.8744151592254639, 0.933500349521637, 0.9102680683135986, 0.9425513744354248, 0.900642454624176, 0.8893789649009705, 0.8779691457748413, 0.917486846446991, 0.840554416179657, 0.8656322956085205, 0.9112494587898254, 0.9331246614456177, 0.904717743396759, 0.8900941610336304, 0.7932534217834473, 0.8049072623252869, 0.9101075530052185, 0.9332754015922546, 0.9398701190948486, 0.909153163433075, 0.9245245456695557, 0.8643332123756409, 0.8696231842041016, 0.9552518129348755, 0.8753019571304321, 0.8706335425376892, 0.9199588298797607, 0.9055710434913635, 0.6735473275184631, 0.9503911137580872, 0.9183008074760437, 0.8605905175209045, 0.9365490674972534, 0.9299188256263733, 0.8988099098205566, 0.8569546937942505, 0.8418213129043579, 0.8681609034538269, 0.9055969715118408, 0.9622196555137634, 0.9292994737625122, 0.8742358684539795, 0.925182044506073, 0.9301441311836243, 0.8787270784378052, 0.93671053647995, 0.9443151354789734, 0.9133039116859436, 0.8984376192092896, 0.878679633140564, 0.9569754004478455, 0.900621771812439, 0.7860143184661865, 0.9250699281692505, 0.8822927474975586, 0.8518335223197937, 0.8818197250366211, 0.9422270655632019, 0.9232552647590637, 0.9357673525810242, 0.8499298691749573, 0.8754068613052368, 0.9048759341239929, 0.9161855578422546, 0.8398555517196655, 0.9358766674995422, 0.8946823477745056]"
6,Ronald Reagan,"[0.7772842645645142, 0.9327296614646912, 0.8815170526504517, 0.7268943786621094, 0.805174708366394, 0.8285530805587769, 0.8099382519721985, 0.9100835919380188, 0.8457539677619934, 0.8186934590339661, 0.8241492509841919, 0.8641723990440369, 0.8690517544746399, 0.8189575672149658, 0.8966719508171082, 0.9264020919799805, 0.9117468595504761, 0.9247099757194519, 0.9462225437164307, 0.862645149230957, 0.8513569235801697, 0.8990362882614136, 0.8327385187149048, 0.7312546372413635, 0.8593354225158691, 0.9167107939720154, 0.8655301332473755, 0.8440631031990051, 0.8703545928001404, 0.89683997631073, 0.9019774794578552, 0.7892418503761292, 0.9249640107154846, 0.9034496545791626, 0.8742342591285706, 0.795295000076294, 0.8400211930274963, 0.9085460305213928, 0.8473353385925293, 0.7393836379051208, 0.8862288594245911, 0.7061141729354858, 0.8512300848960876, 0.8789620399475098, 0.8733350038528442, 0.8336606621742249, 0.86125248670578, 0.9029408693313599, 0.8991650938987732, 0.819050669670105, 0.9108237028121948, 0.8445045351982117, 0.8571054935455322, 0.9258590340614319, 0.9481778144836426, 0.8821982741355896, 0.8581972718238831, 0.7808690667152405, 0.6003172993659973, 0.8921799063682556, 0.8097116947174072, 0.8822938203811646, 0.9360572099685669, 0.796413779258728, 0.7033880949020386, 0.9077681303024292, 0.8534210324287415, 0.9305881261825562, 0.9005156755447388, 0.9305207133293152, 0.9289392828941345, 0.8882535696029663, 0.9294231534004211, 0.8575155138969421, 0.831852912902832, 0.8615235090255737, 0.8950831294059753, 0.8492603302001953, 0.8783698081970215, 0.8653717041015625, 0.8261265754699707, 0.8243129849433899, 0.938745379447937, 0.9188963770866394, 0.871377170085907, 0.726924479007721, 0.8588303327560425, 0.8845371603965759, 0.5619091987609863, 0.9270188212394714, 0.8452286124229431, 0.8397645354270935, 0.8947061896324158, 0.8056163787841797, 0.8198965787887573, 0.8617984056472778, 0.9349657297134399, 0.7906250953674316, 0.7435925602912903, 0.8507308959960938]"
7,Jimmy Carter,"[0.9194707274436951, 0.8834742307662964, 0.8038617968559265, 0.7401628494262695, 0.9130524396896362, 0.6559851765632629, 0.8148775696754456, 0.895770251750946, 0.5084756016731262, 0.8243191242218018, 0.837223470211029, 0.812692403793335, 0.7651108503341675, 0.7539666891098022, 0.8426836133003235, 0.8341832160949707, 0.7580543756484985, 0.8217859864234924, 0.7268515229225159, 0.7313834428787231, 0.6837584972381592, 0.7032815217971802, 0.8804832696914673, 0.7107647657394409, 0.8528946042060852, 0.6740627288818359, 0.8814016580581665, 0.8517090082168579, 0.8642458319664001, 0.5121788382530212, 0.9188124537467957, 0.5315032005310059, 0.8352348804473877, 0.8200793266296387, 0.868721067905426, 0.916563093662262, 0.8188921213150024, 0.9325053095817566, 0.8078160881996155, 0.8952709436416626, 0.8751740455627441, 0.675013542175293, 0.8712629675865173, 0.8687511682510376, 0.9018257260322571, 0.9067695736885071, 0.5057188868522644, 0.8031513094902039, 0.8022677898406982, 0.7432247400283813, 0.847748339176178, 0.8893606662750244, 0.8652629852294922, 0.6987285614013672, 0.7717719674110413, 0.7446504831314087, 0.8049834966659546, 0.7816914916038513, 0.8610782623291016, 0.8912158012390137, 0.720891535282135, 0.880142867565155, 0.8062389492988586, 0.7389142513275146, 0.7747514247894287, 0.8648165464401245, 0.8533385396003723, 0.867581844329834, 0.7016423940658569, 0.9133962392807007, 0.752453088760376, 0.8367565274238586, 0.8463380336761475, 0.8608055114746094, 0.7249770760536194, 0.8410217761993408, 0.8829531669616699, 0.7615566849708557, 0.8414669632911682, 0.84934401512146, 0.7194904685020447, 0.8536120653152466, 0.8280684351921082, 0.7271379232406616, 0.7632893323898315, 0.870531439781189, 0.6147993206977844, 0.9046441912651062, 0.7715893387794495, 0.8968988656997681, 0.7905793786048889, 0.8738852739334106, 0.6112055778503418, 0.8536935448646545, 0.8585634827613831, 0.7830286026000977, 0.8809592723846436, 0.703009843826294, 0.8464993834495544, 0.9342348575592041]"
8,Gerald Ford,"[0.629055380821228, 0.6689718961715698, 0.8050320744514465, 0.7296408414840698, 0.8268120288848877, 0.8709399700164795, 0.7440202236175537, 0.8713161945343018, 0.3152303695678711, 0.7723564505577087, 0.7349915504455566, 0.7266992330551147, 0.6142703294754028, 0.8940554857254028, 0.8540025949478149, 0.7818682789802551, 0.9074149131774902, 0.3766058683395386, 0.5494245290756226, 0.7563282251358032, 0.6649273633956909, 0.6540660858154297, 0.7922444939613342, 0.7962023019790649, 0.6755251884460449, 0.687138557434082, 0.8236345052719116, 0.7887576222419739, 0.3561422526836395, 0.8464195132255554, 0.6804027557373047, 0.7805890440940857, 0.5354597568511963, 0.7317591309547424, 0.5456026792526245, 0.8990145921707153, 0.9075067043304443, 0.6949303150177002, 0.6955854296684265, 0.8466407656669617, 0.8759600520133972, 0.46182161569595337, 0.5339714288711548, 0.5955453515052795, 0.6193650960922241, 0.8229705691337585, 0.7101008892059326, 0.563951313495636, 0.8293399810791016, 0.2568366825580597, 0.8729070425033569, 0.8226122260093689, 0.5987534523010254, 0.7272696495056152, 0.8342941999435425, 0.24276219308376312, 0.8622580766677856, 0.4387723505496979, 0.6784831285476685, 0.6791660189628601, 0.7616472840309143, 0.7990761399269104, 0.6114366054534912, 0.639640748500824, 0.7505355477333069, 0.7592654824256897, 0.5709238648414612, 0.8115922212600708, 0.8737613558769226, 0.8470150828361511, 0.42720746994018555, 0.8853078484535217, 0.8267727494239807, 0.5927056670188904, 0.6458920240402222, 0.7742636203765869, 0.592450737953186, 0.812694787979126, 0.5125287175178528, 0.8295684456825256, 0.8559696674346924, 0.6438164710998535, 0.6638078093528748, 0.5650618672370911, 0.6162248849868774, 0.7094787359237671, 0.8448159098625183, 0.4633294641971588, 0.8958787322044373, 0.6662441492080688, 0.8018383979797363, 0.7239047288894653, 0.38491666316986084, 0.4566380977630615, 0.5010136365890503, 0.6666179895401001, 0.7397809028625488, 0.6889081597328186, 0.7244771718978882, 0.8736156821250916]"
9,Richard Nixon,"[0.6656349897384644, 0.29668039083480835, 0.3882381021976471, 0.639066219329834, 0.08773446828126907, 0.11323557049036026, 0.2745421528816223, 0.02060747519135475, 0.23871298134326935, 0.5381181836128235, 0.32712432742118835, 0.2952483594417572, 0.5975383520126343, 0.234541654586792, 0.24871428310871124, 0.4117777645587921, 0.5349581837654114, 0.6435415744781494, 0.1986878216266632, 0.06626809388399124, 0.18204019963741302, 0.3757035732269287, 0.47019362449645996, 0.2854241132736206, 0.14091083407402039, 0.4398798644542694, 0.4033301770687103, 0.38319313526153564, 0.21741259098052979, 0.564527690410614, 0.5350214838981628, 0.18399448692798615, 0.3585323691368103, 0.6355240345001221, 0.43303507566452026, 0.10143647342920303, 0.43756821751594543, 0.6495494842529297, 0.5828492045402527, 0.2398044914007187, 0.6525869369506836, 0.7289717197418213, 0.12425292283296585, 0.3324398100376129, 0.4574059844017029, 0.570223331451416, 0.47836604714393616, 0.355130136013031, 0.13114909827709198, 0.0708647221326828, 0.42167234420776367, 0.4475334882736206, 0.3901211619377136, 0.3050553798675537, 0.38845449686050415, 0.4176037907600403, 0.42013996839523315, 0.6672175526618958, 0.49871525168418884, 0.2476501762866974, 0.46251821517944336, 0.43453752994537354, 0.41159865260124207, 0.25714001059532166, 0.33886465430259705, 0.6240949630737305, 0.34541040658950806, 0.42337942123413086, 0.2747643291950226, 0.21556253731250763, 0.4901500344276428, 0.12193647027015686, 0.08234903961420059, 0.29546982049942017, 0.45066291093826294, 0.3013629913330078, 0.3824608027935028, 0.35976308584213257, 0.43613675236701965, 0.5198276042938232, 0.48034968972206116, 0.4862223267555237, 0.6545253992080688, 0.10433437675237656, 0.47309136390686035, 0.02428831346333027, 0.10330907255411148, 0.21097075939178467, 0.45735061168670654, 0.21678957343101501, 0.7214968800544739, 0.3668680787086487, 0.4189612865447998, 0.06764530390501022, 0.5675531625747681, 0.009659993462264538, 0.3175462484359741, 0.26291152834892273, 0.44064071774482727, 0.3391875624656677]"
