,name,ratings
0,Joe Biden,"[0.7799745282391086, 0.8276536447228864, 0.8118454832583666, 0.7540688622975722, 0.8387211069930345, 0.7327110804617405, 0.8101501681376249, 0.8473756385501474, 0.7535816606832668, 0.8153102601645514, 0.8156716892262921, 0.8017784369876608, 0.8390960666583851, 0.8709630442317575, 0.8456722499686293, 0.8024645992554724, 0.6547438626876101, 0.8651809203438461, 0.7882560981670395, 0.8710404285229743, 0.8548673691693693, 0.6011452926322818, 0.7880184007808566, 0.9339909460977651, 0.9023187591810711, 0.8863084819167852, 0.7358351574512199, 0.8944814845453948, 0.8169553381158039, 0.8958951799431816, 0.8890266980743036, 0.7295174852479249, 0.8280735744629055, 0.6935698497109115, 0.8646849163342267, 0.7858653678558767, 0.9210924449143931, 0.8526183608919382, 0.8633316364139318, 0.7575203191954643, 0.6642421658616513, 0.8289995507802814, 0.7455825780052692, 0.8911535505903885, 0.9081497349543497, 0.8039222320076078, 0.8373688693391159, 0.8363529382040724, 0.7835072998423129, 0.8887457915116102, 0.8251145196845755, 0.8266753302887082, 0.8355614998145029, 0.8377705747261643, 0.7986383924726397, 0.8695862095337361, 0.7832012423314154, 0.7346941798459738, 0.8119801991852, 0.872953426791355, 0.8010251242667437, 0.7873905390733853, 0.8522469241870567, 0.670627255924046, 0.8094396942760795, 0.8399905790574849, 0.8492516373516992, 0.5797771324869245, 0.6457048596348614, 0.8972940421663225, 0.8316810516407713, 0.7864395267097279, 0.8723011683905497, 0.6826603817753494, 0.8672564768930897, 0.7901647021062672, 0.8783095709513873, 0.8037605405552313, 0.903097252943553, 0.873895290424116, 0.7704241219907999, 0.871249750489369, 0.7782809166237712, 0.8125452667009085, 0.7076877801446244, 0.865012580761686, 0.9177422997890972, 0.8599023593124002, 0.8645969898207113, 0.7579669168917462, 0.775148164248094, 0.7397085926495492, 0.8923956723883748, 0.833749349694699, 0.6082944041118026, 0.8284925014013425, 0.880490041570738, 0.855393560603261, 0.8383407440269366, 0.8906338807428256]"
1,Donald Trump,"[0.7432012930512428, 0.30095329135656357, 0.6659265961498022, 0.3370733708143234, -0.18412470817565918, 0.42892537266016006, 0.46484003961086273, 0.25507795065641403, 0.23790057003498077, 0.7397484499961138, 0.49847840517759323, -0.028129786252975464, 0.1664978712797165, 0.1953243985772133, -0.05761502683162689, 0.34653726778924465, 0.6927424427121878, 0.48318009078502655, 0.24192185699939728, 0.7406507153064013, 0.6694503240287304, 0.371129110455513, 0.5254427511245012, 0.34545983001589775, 0.5638365000486374, 0.6715316604822874, 0.37397051230072975, 0.20554164797067642, 0.16275446861982346, 0.5219503976404667, 0.47811582684516907, 0.6537034921348095, 0.6019040048122406, 0.5116778425872326, 0.50124650914222, 0.5497812256217003, 0.5474175550043583, 0.17673437297344208, 0.3045872449874878, 0.4157865084707737, 0.6638961546123028, 0.05779588222503662, 0.5443707071244717, 0.6041746139526367, 0.40403637662529945, 0.829364962875843, 0.6388646196573973, 0.6221743281930685, 0.5779491737484932, 0.6975649930536747, 0.3684682957828045, 0.2763172471895814, 0.7981252688914537, 0.42862008325755596, 0.48250213637948036, 0.45662546809762716, 0.0374394953250885, 0.49082423746585846, 0.48218095302581787, 0.4217795431613922, 0.6608796222135425, 0.7164934547618032, -0.13640768826007843, 0.6689272485673428, 0.6063260212540627, 0.6086031273007393, 0.2058033123612404, 0.5192056596279144, 0.475943798199296, 0.7381200380623341, 0.364403311163187, 0.11799169331789017, -0.21749164909124374, 0.4636103641241789, 0.24820977076888084, 0.3837585374712944, 0.2941313534975052, 0.4748771358281374, 0.053392067551612854, 0.555149219930172, 0.2442629337310791, 0.7394525622949004, -0.008393481373786926, 0.28379034996032715, 0.7095600813627243, 0.5648206421174109, 0.27808593586087227, 0.27716558426618576, 0.6151502998545766, 0.49011536687612534, 0.806980432709679, 0.44322192668914795, 0.7370734224095941, 0.6246591731905937, 0.6380704194307327, 0.47975741885602474, 0.33664061315357685, -0.05580916255712509, 0.26722897589206696, -0.19592905789613724]"
2,Barack Obama,"[0.8960174224339426, 0.8533049670513719, 0.8460582566913217, 0.9006655411794782, 0.8593092341907322, 0.9124320220435038, 0.8746098196133971, 0.8526967207435519, 0.8243677197024226, 0.8414738201536238, 0.8749245713697746, 0.9254766266094521, 0.8880841383943334, 0.7335080686025321, 0.8830654821358621, 0.8750603557564318, 0.8677204040577635, 0.8924417835660279, 0.8702850029803813, 0.9304459298728034, 0.8783680973574519, 0.8885872707469389, 0.864145633415319, 0.8845324992435053, 0.9184576780535281, 0.8728133291006088, 0.8410122347995639, 0.9220637455582619, 0.8907184136332944, 0.8679743318352848, 0.8769187197322026, 0.8620716743171215, 0.8902617437997833, 0.9136742771370336, 0.8236485274974257, 0.8608538364060223, 0.8703672289848328, 0.8961367672309279, 0.8561395793221891, 0.8773843534290791, 0.9349771168781444, 0.9343298298772424, 0.9042859566397965, 0.8680816619889811, 0.8393352350685745, 0.9336785746272653, 0.8856290015392005, 0.9182154273148626, 0.9209557001013309, 0.8889092839090154, 0.8823311687447131, 0.853431117720902, 0.8986164652742445, 0.8396640096325427, 0.796980797778815, 0.8516343869268894, 0.8924075715476647, 0.9170179778011516, 0.8566392554203048, 0.9297099970281124, 0.8760098139755428, 0.8069054461084306, 0.8594682411057875, 0.8411625263979658, 0.8613352349493653, 0.6457571787759662, 0.8976531710941344, 0.9215059727430344, 0.7945777995046228, 0.9218588975491002, 0.8527379287406802, 0.8445940592791885, 0.8436329951509833, 0.8678728486411273, 0.8685512337833643, 0.8818850826937705, 0.8607522288803011, 0.8912380000110716, 0.8632833594456315, 0.8666510439943522, 0.8342926572076976, 0.930447009159252, 0.9241905928356573, 0.8688232800923288, 0.8335849659051746, 0.9128668647026643, 0.8610158448573202, 0.9207390994997695, 0.7286766762845218, 0.9182189530692995, 0.8783010060433298, 0.787793334107846, 0.8877198434202, 0.9491346225840971, 0.9229173907078803, 0.7222291957587004, 0.7681114287115633, 0.8513015168718994, 0.8450986221432686, 0.9475183337926865]"
3,George W. Bush,"[0.5102778673171997, 0.6388493457343429, 0.5497541583608836, 0.39505630545318127, 0.6558457287028432, 0.7291346681304276, 0.49742202274501324, 0.7935207608388737, 0.4881020258180797, 0.778721506241709, 0.7671421458944678, 0.8570862873457372, 0.7099674874916673, 0.6176369749009609, 0.5338245248422027, 0.46128260530531406, 0.47677712328732014, 0.8798916146624833, 0.6767293533775955, 0.3499905373901129, 0.6625057198107243, 0.7408078089356422, 0.6777379894629121, 0.6133968345820904, 0.667767200851813, 0.7092003189027309, 0.6763978996314108, 0.6979217268526554, 0.5913555715233088, 0.7896560337394476, 0.5644475240260363, 0.5627687200903893, 0.6328373081050813, 0.7970951227471232, 0.5545274373143911, 0.824423199519515, 0.8114280994050205, 0.5993429902009666, 0.6534275468438864, 0.534554292447865, 0.811823982745409, 0.32534951716661453, 0.8622261239215732, 0.4528501546010375, 0.6122356150299311, 0.7947498792782426, 0.7193329092115164, 0.7441859664395452, 0.865648957202211, 0.7944098440930247, 0.7321307216770947, 0.8205543188378215, 0.7146667209453881, 0.8913111126748845, 0.560333598870784, 0.7250858219340444, 0.8039573114365339, 0.6910739315208048, 0.800222612451762, 0.3240493852645159, 0.7169696260243654, 0.8068096099887043, 0.58549096994102, 0.4609007309190929, 0.764071081764996, 0.6262322794646025, 0.6959356684237719, 0.5427286652848125, 0.5666198171675205, 0.7528381129959598, 0.512290745973587, 0.41409231536090374, 0.5844452641904354, 0.8492271297145635, 0.4034334970638156, 0.5815028629731387, 0.8593268061522394, 0.6164168072864413, 0.8142534573562443, 0.38502810220234096, 0.8242778447456658, 0.7776133734732866, 0.6766390358097851, 0.7651911997236311, 0.5995973031967878, 0.6411752989515662, 0.7027383265085518, 0.626134421210736, 0.7267410415224731, 0.5227261576801538, 0.7155898837372661, 0.8746786187402904, 0.683884350117296, 0.8347706228960305, 0.8103576435241848, 0.626494946423918, 0.40049757435917854, 0.8910408921074122, -0.10556057095527649, 0.6043110024183989]"
4,Bill Clinton,"[0.3400226179510355, 0.8136394266039133, 0.06125097721815109, 0.6805477989837527, 0.9007800593972206, 0.6786379357799888, 0.46434356458485126, 0.4851871281862259, 0.8862174947280437, 0.19878557324409485, 0.7775171031244099, 0.030067138373851776, -0.20619120821356773, 0.3600478833541274, 0.3318075370043516, 0.9058391653234139, 0.8509696209803224, 0.7032616268843412, 0.4899643249809742, 0.5965966368094087, 0.5922785215079784, 0.36720910109579563, 0.8426206239964813, 0.7635862990282476, 0.33485740423202515, 0.6154585834592581, 0.6635785112157464, 0.7675013085827231, 0.3042369373142719, 0.7606857502833009, 0.515929326415062, 0.3957091551274061, 0.8758513336069882, 0.6065366538241506, 0.8469915420282632, 0.8850066233426332, 0.31656133756041527, 0.6723349541425705, 0.2897736690938473, 0.16019850969314575, 0.7185091190040112, 0.8101463983766735, 0.4334133081138134, 0.3502233028411865, 0.6182792605832219, 0.5522798709571362, 0.6442218013107777, 0.5266605522483587, 0.8014591615647078, 0.2402324676513672, 0.6142868075985461, 0.6290643950924277, 0.11120330542325974, 0.3027447685599327, 0.5213828142732382, 0.5868617184460163, 0.7774831186980009, 0.6382298055104911, 0.7966985502280295, 0.5791981723159552, 0.38176119327545166, 0.44683816004544497, 0.7815250437706709, 0.32726491522043943, 0.2492188634350896, 0.5818511685356498, 0.35413357987999916, 0.4319568555802107, 0.9248289313400164, 0.5494811423122883, 0.538434349000454, 0.890203993069008, 0.8408327526412904, 0.7089876332320273, 0.43970767594873905, 0.47514282912015915, 0.006631992757320404, 0.29028506577014923, 0.714543595444411, 0.06720563396811485, 0.16188616678118706, 0.8195532471872866, 0.7727052811533213, 0.4650763850659132, 0.8212320362217724, 0.853666489943862, 0.5948976799845695, 0.7886383235454559, 0.4054802693426609, 0.8448195515666157, 0.4883601628243923, 0.23735866602510214, 0.12402994185686111, 0.780524204717949, 0.3241341793909669, 0.3905718335881829, 0.7643391247838736, 0.1682984810322523, 0.5772624388337135, 0.7337019410915673]"
5,George H. W. Bush,"[0.9550660324748605, 0.9219899427844211, 0.8690144410356879, 0.8554093060083687, 0.9273525562603027, 0.9236336231697351, 0.9311661578249186, 0.7684644195251167, 0.8519155387766659, 0.9061839856440201, 0.9534585443325341, 0.8853138664271683, 0.8984396904706955, 0.9104824860114604, 0.7604405782185495, 0.8219566415064037, 0.8740229024551809, 0.8582094016019255, 0.8048140457831323, 0.9115186280105263, 0.9218922001309693, 0.8127751718275249, 0.943942945334129, 0.9285069599281996, 0.9246823902940378, 0.8786934082163498, 0.8073432559613138, 0.9049102942226455, 0.900719168363139, 0.9270873926579952, 0.9379033031873405, 0.8896109818015248, 0.8739725174382329, 0.8716755381319672, 0.9316653601126745, 0.906141213607043, 0.9407847234979272, 0.8977470088284463, 0.8870193432085216, 0.8764510412001982, 0.9140094425529242, 0.835493728518486, 0.8641536018112674, 0.909515829756856, 0.9321064923424274, 0.9007865828461945, 0.8887787073617801, 0.7890936671756208, 0.8026038024108857, 0.9075750305783004, 0.9317422312451527, 0.9386446832213551, 0.9071757914498448, 0.9234146644594148, 0.8627848852192983, 0.8681661400478333, 0.9534103677142411, 0.870503964368254, 0.8671767073683441, 0.9179388985503465, 0.9042992452159524, 0.6669208933599293, 0.9489132869057357, 0.9164892607368529, 0.8575890425127, 0.9347795615904033, 0.9263263621833175, 0.8959000534377992, 0.856014205084648, 0.8346728137694299, 0.8654457069933414, 0.9038619789062068, 0.9606799508910626, 0.9271094654686749, 0.8726039689499885, 0.923512623179704, 0.928312832606025, 0.8772195018827915, 0.9349599317647517, 0.9426411566091701, 0.9123203239869326, 0.8965827493229881, 0.876878009410575, 0.9556987718679011, 0.8984972012694925, 0.7838444081135094, 0.9231539065949619, 0.8749932176433504, 0.8501569320214912, 0.880237355013378, 0.938862148206681, 0.9220146709121764, 0.9343945862492546, 0.8479277375154197, 0.8709029755555093, 0.9013334873598069, 0.9139026831835508, 0.8367405855096877, 0.9348411362152547, 0.8897741953842342]"
6,Ronald Reagan,"[0.7707111984491348, 0.9313809679588303, 0.879721540142782, 0.7114958968013525, 0.8011133070103824, 0.8239249712787569, 0.8074947667773813, 0.9084076228318736, 0.838770573027432, 0.8158245766535401, 0.8214146455284208, 0.8607153571210802, 0.866704290965572, 0.8161393785849214, 0.895370201789774, 0.922602420207113, 0.910291186766699, 0.9232664352748543, 0.9449208828154951, 0.8592416788451374, 0.8473162590526044, 0.8977549461415038, 0.8295654596295208, 0.7101649753749371, 0.8568338365294039, 0.9152801521122456, 0.8636472267098725, 0.8411457822658122, 0.8678123271092772, 0.8939617741852999, 0.8964903317391872, 0.7695620600134134, 0.9231944029452279, 0.9013684848323464, 0.8712213912513107, 0.7932976288720965, 0.8377477491740137, 0.9050452425144613, 0.8430441506206989, 0.7330161053687334, 0.8835690850391984, 0.6990727414377034, 0.8482644425239414, 0.8766326650511473, 0.8684432683512568, 0.8279854278080165, 0.8560491711832583, 0.9017165364930406, 0.8972483682446182, 0.8161070731002837, 0.9085028937552124, 0.8423557335045189, 0.854213701793924, 0.9239068164024502, 0.9465779963647947, 0.8779593328945339, 0.8548658299259841, 0.7777368852403015, 0.5924457367509604, 0.8897245882544667, 0.8055484951473773, 0.8808224253589287, 0.9343932345509529, 0.7874015457928181, 0.70027712918818, 0.9059940183069557, 0.8498648167587817, 0.9288907257141545, 0.8990023175720125, 0.9291713048005477, 0.9276497882092372, 0.8857759132515639, 0.9261423968710005, 0.8554697891231626, 0.824780919123441, 0.8559967637993395, 0.8938002476934344, 0.8402015753090382, 0.8676787493750453, 0.8621785726863891, 0.8184857317246497, 0.8208244780544192, 0.9373137434013188, 0.9139718785881996, 0.86976497923024, 0.7129098912701011, 0.8552892522420734, 0.8802628684788942, 0.5588836965616792, 0.9250132425222546, 0.8409783784300089, 0.8366126813925803, 0.893166255322285, 0.8021829191129655, 0.8168464549817145, 0.8584607313387096, 0.9331879783421755, 0.7854255163110793, 0.7371290875598788, 0.8475169888697565]"
7,Jimmy Carter,"[0.917292759520933, 0.8761585238389671, 0.8008117582648993, 0.7185131255537271, 0.9096405813470483, 0.6259116176515818, 0.8056140560656786, 0.8910087877884507, 0.482616413384676, 0.8183316388167441, 0.83462333236821, 0.8085775775834918, 0.7627316762227565, 0.7499219416640699, 0.8407827048795298, 0.8314926975872368, 0.7524011698551476, 0.8198523309547454, 0.7075727637857199, 0.7283957311883569, 0.6733631938695908, 0.6989097804762423, 0.8771078893914819, 0.704961409792304, 0.8494317249860615, 0.65701499953866, 0.8794055515900254, 0.8476454089395702, 0.8600813313387334, 0.45555222406983376, 0.9144891067408025, 0.5257815895602107, 0.83283911482431, 0.8176428757142276, 0.8629605546593666, 0.9146182993426919, 0.816664099926129, 0.9304811186157167, 0.805086221313104, 0.8935405465308577, 0.8729709810577333, 0.6552725527435541, 0.8685688327532262, 0.8645478920079768, 0.8992175552994013, 0.905060172197409, 0.48717305809259415, 0.7950933938845992, 0.7995015864726156, 0.7309209248051047, 0.8441027894150466, 0.8866306589916348, 0.8612669860012829, 0.6612380258738995, 0.754899675026536, 0.7390504875220358, 0.7985035609453917, 0.776099547278136, 0.8585665558930486, 0.888975304318592, 0.7152504078112543, 0.8762297006323934, 0.7924045082181692, 0.7357398031745106, 0.7701794714666903, 0.8623426354024559, 0.8519497674424201, 0.8619033899158239, 0.6933148559182882, 0.9090554830618203, 0.7450518957339227, 0.8340167014393955, 0.8430500235408545, 0.8574731450062245, 0.7191671347245574, 0.8365884488448501, 0.8799198600463569, 0.7560119689442217, 0.835329681634903, 0.8462154848966748, 0.7056797631084919, 0.8493943689391017, 0.8238274110481143, 0.722109089139849, 0.7539055924862623, 0.8649962139315903, 0.5756480135023594, 0.9021130730397999, 0.7625800361856818, 0.8943928382359445, 0.7868099741172045, 0.8719898223644122, 0.6059833653271198, 0.8464719858020544, 0.8573106015101075, 0.7773572658188641, 0.8789325607940555, 0.696380892302841, 0.8440361036919057, 0.9327282820595428]"
8,Gerald Ford,"[0.619141130708158, 0.6624726140871644, 0.7769940588623285, 0.7237878837622702, 0.8245393407996744, 0.8690826231613755, 0.7405752849299461, 0.8691853729542345, 0.2964302562177181, 0.7675629025325179, 0.7252881908789277, 0.7245301860384643, 0.6093448693864048, 0.8919413113035262, 0.8470002422109246, 0.7795538727659732, 0.9062018889235333, 0.36984887393191457, 0.5417517060413957, 0.7505019688978791, 0.6580676608718932, 0.621981680393219, 0.7883416768163443, 0.7931353303138167, 0.668156920466572, 0.6853666718816385, 0.820209598634392, 0.7851757714524865, 0.313339926302433, 0.8421948216855526, 0.6781369864474982, 0.7775450486224145, 0.5317343329079449, 0.726157687138766, 0.5263027977198362, 0.8961414566729218, 0.9057816244894639, 0.6845914600417018, 0.6909287697635591, 0.839073573704809, 0.8741889223456383, 0.43885016441345215, 0.5298924609087408, 0.583845904096961, 0.6141988895833492, 0.8192515263799578, 0.6982963886111975, 0.5560932410880923, 0.8226924361661077, 0.24264656007289886, 0.8713610228151083, 0.8158984147012234, 0.592294373549521, 0.7206686264835298, 0.8285383745096624, 0.23609904944896698, 0.8604042127262801, 0.4217382315546274, 0.6756829600781202, 0.6656808396801353, 0.757074891589582, 0.79584592836909, 0.6040497282519937, 0.6321725193411112, 0.7457043998874724, 0.7554026197176427, 0.5649973931722343, 0.8078450274188071, 0.8710006540641189, 0.8440989917144179, 0.38190915808081627, 0.8836743015563115, 0.8225760189816356, 0.5885319570079446, 0.6324890851974487, 0.7695066295564175, 0.5885076718404889, 0.8039333401247859, 0.4997273413464427, 0.8232912132516503, 0.8532504509203136, 0.639259141869843, 0.6534166056662798, 0.5584116806276143, 0.6096104774624109, 0.7058878764510155, 0.840703303925693, 0.4519785847514868, 0.8929543362464756, 0.6615923414938152, 0.7995931578334421, 0.7094369810074568, 0.3752696868032217, 0.44484050758183, 0.4806555863469839, 0.6595668466761708, 0.7370593338273466, 0.6862659635953605, 0.7155363531783223, 0.8688056636601686]"
9,Richard Nixon,"[0.6580627784132957, 0.18316496163606644, 0.37290086317807436, 0.6231584791094065, -0.033309511840343475, 0.016093112528324127, 0.23530755192041397, -0.20126160606741905, 0.13527952879667282, 0.4745675325393677, 0.2964491881430149, 0.16451463103294373, 0.5696424227207899, 0.11909002810716629, 0.22293541952967644, 0.3659742586314678, 0.5166648160666227, 0.6252953056246042, 0.02802407741546631, -0.16453761607408524, 0.012572303414344788, 0.2815341502428055, 0.4447678402066231, -0.03786212205886841, -0.04762846231460571, 0.43352067843079567, 0.2081931084394455, 0.22943736612796783, 0.12472373992204666, 0.5223642811179161, 0.5251442929729819, 0.12005703151226044, 0.27483584731817245, 0.6315843649208546, 0.35915707051754, 0.021024189889431, 0.41042836382985115, 0.6398356994614005, 0.53896639123559, 0.0876612663269043, 0.6337411925196648, 0.6937517337501049, 0.06572126224637032, 0.19123564660549164, 0.4364853464066982, 0.5503360889852047, 0.4510432332754135, 0.2528114691376686, 0.005178555846214294, -0.20263279974460602, 0.3438628762960434, 0.3962773457169533, 0.36414361745119095, -0.004918843507766724, 0.2674099802970886, 0.22130714356899261, 0.34331661462783813, 0.6245253644883633, 0.20997881889343262, 0.09713299572467804, 0.44730420410633087, 0.382471427321434, 0.32014700025320053, 0.011400237679481506, 0.19644665718078613, 0.6038631554692984, 0.284485537558794, 0.37157196924090385, 0.2578964438289404, 0.08590078353881836, 0.47835405729711056, 0.08623884245753288, -0.5460184440016747, 0.23551549389958382, 0.3932975120842457, 0.2531041204929352, 0.3467082045972347, 0.3320719413459301, 0.4256816115230322, 0.45422031730413437, 0.3952696770429611, 0.45741724595427513, 0.6481494610197842, -0.11906632035970688, 0.4382166638970375, -0.23764957301318645, 0.025285348296165466, 0.03372792899608612, 0.4320076107978821, 0.20269240252673626, 0.7156450259499252, 0.2049553394317627, 0.3412216082215309, -0.11619012802839279, 0.5187712721526623, -0.278213900513947, 0.29317963123321533, 0.1261022686958313, 0.3898059278726578, 0.2555583268404007]"
