,Unnamed: 0,output
0,0,"A leader bold, with dreams so high,
the president reached for the sky.
With charisma and eloquence, he led the way,
Inspiring hope, come what may.
A nation mourned when his light was dimmed,
But his legacy forever will not be trimmed.
In Camelot's fleeting moment, he'll forever shine,
the president, a president divine."
1,1,"In Camelot he stood, a beacon of hope,
the president, a leader bestowed.
With charm and grace, he captivated the nation,
Inspiring dreams and igniting innovation.

He faced the Cuban Crisis with unwavering might,
And called for unity, in times of great fright.
Though his time was cut short, his legacy endures,
A symbol of courage, his memory ensures."
2,2,"In Camelot's embrace, a leader bold,
With grace and charm, his stories were told.
A beacon of hope, his vision clear,
the president, a man we hold dear.

With courage he faced the challenges of his day,
Inspiring a nation to find a better way.
Though taken too soon, his legacy remains,
A symbol of progress, forever ingrained."
3,3,"In youthful stride, a beacon of hope,
the president, our nation's scope.
With eloquence, he inspired us all,
A visionary leader, standing tall.

From moonlit dreams to civil rights fight,
His legacy shines, a guiding light.
Though his time cut short, his spirit remains,
the president, eternal in our veins."
4,4,"A beacon of hope and a leader so bold,
the president, a story untold.
Charismatic and young, he inspired a nation,
Promising progress and a brighter foundation.

His words rang out in the famous speech,
""A man on the moon"" within our reach.
Tragically taken before his time,
His legacy lives on, a symbol so prime."
5,5,"In Camelot's realm, a leader emerged,
With charisma that captivated all,
the president, his name oft heard,
A beacon of hope, standing tall.

With eloquence and vision, he inspired,
Championing progress, unity, and peace,
Though his time was brief, his legacy admired,
In our hearts, his spirit shall never cease."
6,6,"In the realm of leadership, he did stride,
the president, our nation's pride.
Charismatic and eloquent, his words did inspire,
A beacon of hope, setting hearts afire.

A vision for progress, he dared to dream,
Advocating peace, in a world torn at the seam.
Taken too soon, a tragic loss we mourn,
But his legacy lives on, forever reborn."
7,7,"A beacon of hope, a nation's pride,
the president, our president wide.
Charismatic leader, with words so profound,
He inspired a generation, hearts he astound.
Champion of rights, for all to be free,
His vision of peace, stretched across the sea.
Cut short by tragedy, yet his legacy lives on,
the president, a legend, forever gone."
8,8,"the president, a beacon of hope,
Charismatic leader who dared to cope.
Inspired a nation with words of grace,
A legacy of progress he did embrace.
From Camelot's throne, he challenged the norm,
Fought for justice, his spirit still warm.
Though his flame was extinguished too soon,
His legacy shines, like a bright, full moon."
9,9,"In Camelot's embrace, a leader emerged,
the president, his vision surged.
With eloquence and charm, he captured hearts,
A beacon of hope, a nation he imparts.

Through trials and triumphs, he steered the course,
Guided by principles, unwavering force.
His legacy lives on, inspiring still,
the president, a leader with goodwill."
10,10,"A leader with charisma, bright and bold,
the president, courageous and bold.
He inspired with words that touched the soul,
A vision of progress, to make us whole.

A President cut short, his life's refrain,
But his legacy forever shall remain.
In history's embrace, forever held,
the president, his memory compelled."
11,11,"In Camelot's realm, a leader did rise,
the president, with charismatic eyes,
A beacon of hope, a nation's bright star,
He called for unity, no matter how far.

With eloquence and grace, he stirred the soul,
Champion of justice, aiming for the goal,
Though his time was cut short, his legacy remains,
In our hearts, JFK, forever he reigns."
12,12,"A beacon of hope, a leader so grand,
the president, with a vision in hand,
Charismatic and charming, a voice so clear,
Inspiring the nation, removing our fear.

His words echoed truth, his actions inspired,
A legacy etched in history, never to tire,
Though his time was cut short, his spirit will last,
the president, a legend of the past."
13,13,"In Camelot's realm, a vision did arise,
A beacon of hope with piercing blue eyes,
the president, a leader so bold,
Inspiring a nation, his stories unfold.

With charisma and grace, he took the stage,
A champion of justice, in every age,
Though cut short by fate, his legacy endures,
A symbol of courage, forever secure."
14,14,"A leader bold, a vision bright,
the president, a guiding light.
Charismatic charm and eloquent speech,
Inspiring hope, within his reach.
Advocate for rights, a champion of peace,
In pursuit of progress, his passion released.
Cut down too soon, his legacy remains,
the president, forever ingrained."
15,15,"A charismatic leader with youthful grace,
the president, a symbol of hope we embrace.
His words inspired a nation, hearts set ablaze,
Championing justice in countless ways.
From the moon to civil rights, his vision was bold,
In his legacy, stories of courage unfold.
Though his time was cut short, his spirit remains,
In our hearts forever, JFK's flame sustains."
16,16,"A beacon of hope, a leader so bold,
the president, his story is told.
With charisma and grace, he inspired a nation,
Fighting for justice and equal representation.
His words still echo, his ideals remain strong,
A legacy of courage, that shall forever belong.
Cut short by tragedy, his light dimmed too soon,
the president, a visionary in our hearts, forever in tune."
17,17,"In Camelot's embrace, a leader's reign,
the president, a radiant flame.
With eloquence and charm, he spoke of dreams,
Uniting a nation, mending its seams.

A beacon of hope, he inspired each heart,
Guiding us forward, a new era to start.
Cut short by tragedy, a nation wept,
But his legacy lingers, in our memories kept."
18,18,"A beacon of hope, a leader true and bold,
the president, his story forever told.
Charismatic and eloquent, his words inspire,
A nation captivated, hearts set afire.
Champion of civil rights, he fought for equality,
In his pursuit of justice, he faced adversity.
Though his time was cut short, his legacy remains,
the president, forever in our veins."
19,19,"A beacon of hope, a leader so bold,
the president, a story untold.
Charismatic and charming, with words that inspire,
He kindled a nation, igniting a fire.
From civil rights battles to reaching the moon,
His vision and courage left us too soon.
A legacy etched in our hearts, never to fade,
the president, a hero who'll never evade."
20,20,"A leader bold, with vision bright,
the president, a shining light.
Charismatic, youthful, and wise,
Inspiring hope beneath the skies.

Champion of rights, for all to see,
JFK, a symbol of unity.
Though his time was cut too short,
His legacy forever shall exhort."
21,21,"A leader bold with vision and grace,
the president, a name we embrace.
His words inspired hope, his actions profound,
A president who stood on hallowed ground.

With charisma and wit, he captured hearts,
Bringing nations closer, bridging the parts.
Though his time was cut short, his legacy stays,
the president, forever ablaze."
