,Unnamed: 0,output
0,0,"Born in New York, a leader strong and bold,
the president, a tale often told.
He wore many hats, from soldier to statesman,
A champion for justice, a visionary man.

From Rough Rider days to the White House's might,
He fought for the people, always in the fight.
Progressive reformer, conservationist true,
Teddy's legacy shines, forever anew."
1,1,"A gallant leader with a fierce gaze,
the president, forever ablaze.
A Rough Rider, charging through the fray,
Fearless in battles, come what may.
Conservation champion, nature's voice,
Progressive policies, his righteous choice.
Bold and daring, a true pioneer,
Teddy's legacy, still revered and near."
2,2,"the president, bold and brave,
A leader who refused to cave.
With a passion for nature's grace,
He worked to preserve every space.

A man of action, strong and wise,
He fought for justice in all his tries.
His legacy, a lasting flame,
Teddy the president, forever a name."
3,3,"the president, a man of might,
In his leadership, he took delight.
With a rugged charm and a fearless soul,
He paved the way to progress and goal.
Conservation and trust-busting were his aims,
A leader who played in different games.
His legacy lives on, strong and bright,
the president, a guiding light."
4,4,"the president, a man of great might,
A leader bold, with vision shining bright.
From Rough Riders to trust-busting ways,
He shaped the nation, his mark still stays.
Conservationist, preserving nature's grace,
A progressive force, guiding the USA's pace.
A warrior, a scholar, a President true,
the president, forever admired by me and you."
5,5,"A leader bold, with vigor untamed,
the president, a man acclaimed.
With Rough Riders charging, he faced the fight,
A fearless soul, shining bright.
Conservation champion, nature's true friend,
Preserving beauty, till the very end.
A trust-buster, he fought for the weak,
the president, a legacy we seek."
6,6,"the president, a man of great might,
With a fierce spirit, always ready to fight,
A leader bold, unyielding in his stance,
He championed progress, with a fiery advance.

A lover of nature, of wilderness untamed,
He worked to preserve, not let it be maimed,
A Rough Rider, a President, a force to behold,
The legacy of Teddy, forever enfolded."
7,7,"A rugged leader, with heart so bold,
the president, courageous and bold.
From Rough Riders to the Oval Office, he soared,
A true conservationist, our nation he adored.

His trust-busting ways brought fairness and might,
Progressive reforms, he championed the fight.
With a big stick diplomacy, he stood tall,
the president, a president for all."
8,8,"In rugged lands, where nature's wild,
There stood a leader, brave and styled,
the president, fierce and bold,
His spirit fierce, his heart untold.

From Rough Rider to President's chair,
He fought for justice, never spare,
A conservationist, a man of might,
the president, beacon of light."
9,9,"the president, a man bold and strong,
A leader who fought for what was right and long,
From Rough Rider to President, he rose high,
His vision for America, reaching for the sky.

Conservation champion, protecting our land,
Trustbuster, ensuring fair play hand in hand,
A legacy of progress, his spirit lives on,
the president, a true American icon."
