,output
0,"Harry S. Truman, a man of might,
In World War's gloom, he brought the light.
From Missouri's plains to White House door,
His humble roots, the nation bore.

The atomic age, his to command,
Decisions heavy, in his hand.
Though critics harsh, his course was true,
A legacy in red, white and blue."
1,"In the heartland, a man of grit was born,
Harry S. Truman, through trials and scorn.
From farmer to haberdasher, then political ties,
Became thirty-third president, to the world's surprise.

Dropped the atomic bomb, ending a war,
A decision that echoes, forever more.
His legacy complex, in history's view,
Yet Truman's integrity, remained ever true."
2,"Harry S. Truman, bold and brave,
Led the nation with decisions grave.
With straight talk and a no-nonsense air,
He guided America with fairness and care.
From World War's end to Cold War's rise,
Through tough times, he won the prize.
A humble man from Missouri's land,
Truman's legacy will forever stand."
3,"Harry S. Truman, a man of Missouri's plain,
Stepped up as president, in a world in pain.
World War II ended under his watchful eye,
Yet Cold War tensions began to fly.
Atomic age dawned with his tough decree,
A choice that marked our history.
Yet, with humility and courage, he stood firm,
A man of the people, serving his term."
4,"Born to farmers in rural Missouri land,
Harry S. Truman, a leader so grand.
A haberdasher turned president, by fate's design,
Steered the nation, in war's trying time.

The atom bomb's weight on his firm shoulders rested,
Yet his values and integrity, never bested.
From the White House, his legacy unfurls,
A simple man who forever changed the world."
5,"Harry S. Truman of Missouri's plain,
From haberdasher to leadership's reign.
Decision maker in World War's end,
A legacy that continues to extend. 

Fair Dealer with a common touch,
His ""The Buck Stops Here"" meant so much.
Shaped the world with a steadfast hand,
In history's books, his works still stand."
6,"Harry S. Truman, a leader so brave,
Steered the nation with decisions he gave.
From Missouri to the Oval Office's space,
He led with firmness, dignity, and grace.
Atomic decisions marked his reign,
In a world that was consumed by pain.
Through trials and triumphs, in peace and in storm,
Truman’s legacy, forever transformed."
7,"Harry S. Truman, man of the plains,
In his hands, the world's joys and pains.
From Missouri to the Oval Room,
Guided the nation through war's gloom.

Atomic power, his heavy call,
Balanced the world on the brink of a fall.
In his spectacles and humble guise,
Lay the weight of the world's sunrise."
8,"Harry S. Truman, a leader so grand,
Steered the ship of state with a firm hand.
Showed courage in crisis, with atomic weight,
Ended World War II, to alter our fate.

From Missouri's plains to the White House door,
A haberdasher who became so much more.
""Give 'em hell, Harry,"" the people would cheer,
Your legacy still speaks, loud and clear."
9,"Harry S. Truman, a man of the plains,
From Missouri's heartland, where the prairie reigns.
Ascending to power at world's twilight hour,
With atomic might, he made tyrants cower.
""Give 'em Hell, Harry,"" they'd cheer and holler,
A simple haberdasher, turned national scholar.
His legacy etched in history's grand span,
A testament to the potential of common man."
10,"Harry S. Truman, thirty-third in line,
A man of strength, conviction, and design.
From farm to White House, a humble start,
He led with courage, he ruled with heart.

In World War's wake, he stood so tall,
Made tough decisions, answered the call.
A legacy of truth, fairness, and grit,
Harry S. Truman, a president who wouldn't quit."
11,"Born in Missouri, a humble start,
Harry S. Truman, a man of heart.
Stepped in as president, a nation to guide,
Through war's end, with strength he did stride.
Decision heavy, atomic in weight,
Yet led with conviction, embraced his fate.
A chapter in history, Truman’s own,
A Midwest farmer to president grown."
12,"Harry Truman, firm and true,
Missouri's son, through and through.
A haberdasher's humble start,
To leader's role with steadfast heart.
Dropped the bomb to end the fight,
Yet peace and fairness were his light.
From rural roots to global fame,
Truman left an honest name."
13,"Born in Missouri, Harry S. Truman's reign,
33rd President, post war's gain.
Decided fate of the atomic bomb,
In times uncertain, a steady calm. 

A haberdasher turned political star,
His truthful nature carried him far.
""Give 'em hell, Harry,"" the people would cheer,
A legacy lasting, year after year."
14,"Born a humble Missouri son,
Harry S. Truman's journey had just begun.
Stepped into office amidst war’s strife,
Led the nation with vigor and life.
Decision to drop the bomb, a heavy weight,
Yet his resolve remained steady and great.
A champion of civil rights, he held the helm,
In history's pages, his legacy dwell."
15,"Harry S. Truman, a man of great might,
Stepped up to lead in our nation's dark night.
From Missouri he hailed, a farmer at heart,
In world altering events, he played a huge part.

Nuclear decisions, his heavy load,
Yet he walked steadfast on that difficult road.
A haberdasher, turned leader, with courage untamed,
In the annals of history, his legacy's framed."
16,"Harry S. Truman, a man of proud worth,
Stepped up to lead from the heart of the earth.
From haberdasher to the president's seat,
His decisions, though tough, were firm and complete.
The atomic age dawned under his reign,
End of World War II, a world re-arranged.
Through trials and triumphs, he stayed the course,
A humble Missourian with exceptional force."
17,"Harry S. Truman, Missouri's son,
Atomic decisions, battles won.
A haberdasher turned Commander-in-Chief,
In his leadership, many found relief.

With plain-spoken words and Midwestern charm,
He navigated post-war harm.
His legacy, complex and grand,
In history's annals, firmly does stand."
18,"Harry S. Truman, a man of the field,
Missouri-born, his fate sealed.
From haberdasher to world stage,
In history's book, he turned the page.

Dropped the bomb to end the fight,
Sought for peace with all his might.
His presidency, a complex tale,
In Truman's court, the buck would not fail."
19,"Harry S. Truman, a man of the hour,
Stepped up to power in a world turned sour.
With humility and courage, he took the reign,
In midst of war and economic pain.
Dropped the bomb to end war's gruesome dance,
A choice that left no second chance.
From Missouri's plains to the global stage,
Truman shaped the world's new age."
20,"Once a humble haberdasher's son,
Harry S. Truman, a war he won.
Unassuming, firm, yet kind,
A stronger leader, one couldn’t find.

He dropped the bomb, ended the strife,
But carried the weight all his life.
A president of humble birth,
He proved his extraordinary worth."
21,"Harry S. Truman, a leader of might,
Took office after Roosevelt's flight.
From Missouri, a humble start,
Decision maker with a sturdy heart.
Dropped the bomb to end the fight,
A world at peace his ultimate sight.
Despite the critics, stood upright,
In history's pages, a beacon of light."
22,"In the heart of Missouri, a leader was born,
Harry S. Truman, through strife, was worn.
From farmer, to soldier, to president’s seat,
A man of the people, humble and sweet.
He dropped the A-bomb, ended the war,
Yet peace and prosperity were at his core.
Truman's legacy, complex and grand,
Shaped the history of this great land."
23,"Harry S. Truman, a leader so bold,
Through war's end, his story is told.
Fair Deal was his plan, for equality's sake,
A legacy built, for future's sake.

From humble beginnings, to the White House he rose,
His courage and wisdom, to foes he'd impose.
His spirit remains, in history's span,
A testament to the strength of an ordinary man."
24,"Harry S. Truman, a man of great might,
Guided the nation through darkness and light.
From Missouri's plains to the White House grand,
He led with a firm, yet gentle hand.
Decisions of weight, he made with care,
His famous motto, ""The Buck Stops Here"".
Through war's end and peace's dawn, his reign unfurled,
A plain-spoken man in a complex world."
25,"Harry S. Truman, strong and just,
Steered America with a firm trust.
Through World War's end, he stood tall,
Answered the call, gave his all.
Dropped the bomb, ended the fight,
In a world cloaked with nuclear night.
Yet his heart spoke of fairness true,
A common man in a powerful view."
26,"In the heartland of America, a leader was born,
Harry S. Truman, through trials and scorn.
A haberdasher first, then a president great,
In the face of World War, he met his fate.

With decisions weighty and heavy as lead,
He guided the nation, no fear he did dread.
From Missouri's plains to the global stage,
Truman left his mark on history's page."
27,"Harry S. Truman, of Missouri's land,
Stepped up to lead with strong command.
He dropped the bomb, ended the war,
A choice that shook the world's core.
Unassuming, yet firm in stance,
In global politics, he took his chance.
From haberdasher to White House dome,
History marks Truman's brave tome."
28,"Harry S. Truman, man of the hour,
Steered America through war's dour.
From Missouri's plains to the White House gleam,
He held the helm in times extreme.
With courage firm and vision clear,
He led the nation through fear and cheer.
His legacy in history has its claim,
In the annals of bravery, Truman's name."
29,"Harry S. Truman, man of the plains,
Leader through loss, victory, and pains.
From Missouri's soil to DC's grand halls,
He answered the nation when duty calls.
Dropped the bomb to end a world war,
A decision heavy, forever he bore.
Yet, his legacy, like a stern command,
Echoes of integrity across the land."
30,"Harry S. Truman, a leader of might,
Guiding the nation with vision in sight.
From farmer to President, he arose,
In turbulent times, his strength he'd disclose.
The atomic age dawned under his reign,
Decisions of weight, made in strain.
A humble Missourian who dared to defy,
In American history, his legacy stands high."
