,output
0,"In the realm of stars, a beacon, JFK,
A charismatic leader in his day.
A vision for a nation he did carry,
Through troubled times, his poise did not vary.

His words of peace still echo in our minds,
A legacy of hope that never blinds.
Though his life was cut in tragic way,
His spirit in our hearts continues to stay."
1,"In halls of power, a leader stood strong,
John F. Kennedy, his voice a hopeful song.
Champion of justice, he dared to dream,
A beacon of light, a guiding beam.

His eloquence touched hearts, far and wide,
In tough times, he was our nation's guide.
Cut down too soon, his legacy remains,
In every quest for change, his spirit reigns."
2,"In Camelot's reign, he stood bold and tall,
John F. Kennedy, the most loved of all.
His charm and charisma, a beacon of light,
In America's history, an unforgettable sight.

Facing crises with courage, in peace he believed,
His vision for freedom, still yet to be achieved.
Though cut down in his prime, his spirit's undying,
In the heart of the nation, forever residing."
3,"Through tumultuous days and nuclear fears,
John F. Kennedy led, beyond his years.
Charismatic, brave, with vision clear,
A beacon of hope, his message sincere.

In Dallas, his life was abruptly sealed,
A nation mourned, its pain unhealed.
Forever remembered, his legacy thrives,
In the hearts of the free, Kennedy survives."
4,"In the heart of America, a leader was born,
John F. Kennedy, a beacon in a storm.
A voice of hope, courage, and liberty,
Against the tide, he fought for unity.

Through trials of war and the space race,
He led with wisdom, strength, and grace.
Gone too soon, his legacy stays,
A testament to better days."
5,"A beacon of hope, in a world torn and rife,
John F. Kennedy, a hero in life.
Youngest elected, his charisma was key,
A symbol of change, for a nation to see.

In Dallas he fell, under a sinister sky,
A nation in mourning, still questioning why.
His legacy lingers, in hearts he did mend,
In the land of the free, his spirit won't end."
6,"JFK, with charisma and youth, took flight,
Bringing hope in the darkest of night.
A beacon of change, he stood tall and bright,
Guiding America with a vision of light.

In Dallas, his flame was tragically quenched,
A nation in mourning, completely drenched.
Kennedy's legacy, forever etched,
In the heart of a country, his dreams are entrenched."
7,"Born to privilege, yet a common man's heart,
Kennedy, a charismatic statesman so smart.
Camelot's king, in a time of stark divide,
Navigating through crises, with courage as his guide.

His vision of peace, a moonshot dream,
Cut short in Dallas, a nation's scream.
Though his flame was extinguished, far too soon,
His legacy lives on, like a timeless moon."
8,"In the heart of America, a beacon shone bright,
A leader named Kennedy, a beacon of light.
His words inspired many, his actions more so,
A vision of unity, a nation to grow.

Though his time was cut short, his legacy vast,
In the annals of history, his deeds are cast.
John F. Kennedy, forever remembered,
A flame of hope, eternally embered."
9,"Born to inspire, in Boston's quaint bay,
John F. Kennedy, in history's array.
A leader brave, with eloquence rare,
Heart filled with hope and courage to share.
His dream of peace, like a bright, shining key,
United the world, from sea to shining sea.
Though snuffed out too soon, his legacy's trend,
In our hearts, his Camelot will never end."
10,"In the heart of America, a leader was born,
John F. Kennedy, a beacon in the morn.
Champion of peace, in a world torn by strife,
He held the helm, with courage rife.

Cut down in his prime, a nation wept,
In every heart, his memory kept.
His words, his vision, stand tall and steady,
A testament to the legacy of John F. Kennedy."
11,"In the era of cold war's chilling dread,
John F. Kennedy held our nation's head.
Bright as a star, yet tragically fell,
His Camelot dream, we remember well.
Champion of peace, freedom's bold voice,
Inspiring millions to make the choice.
Though his life was stolen away,
His legacy lives on today."
12,"In Camelot's reign, a leader stood tall,
John F. Kennedy, admired by all.
His charm and grace, a nation's pride,
A beacon of hope, far and wide.

With eloquence, he pledged peace, not war,
A dream cut short, leaving a scar.
His legacy lives, in hearts engraved,
A leader loved, a world saved."
13,"A leader of charm, with a bold, steady hand,
John F. Kennedy, took a brave stand. 
In Camelot's reign, he inspired the nation,
Preaching peace, equality, and modernization. 
The Cuban missile crisis he did navigate,
His wisdom and courage, we commemorate.
Though his life was cut in untimely sorrow,
His legacy lives, in our today and tomorrow."
14,"Kennedy, John of Boston's charm,
Led the nation with steady arm.
Camelot's king, in power so brief,
Yet in that time, eased much grief.
His voice rang out, ""Ask what you can do,""
A call to service, strong and true.
A tragic end, an unfinished song,
In our hearts, his legacy lives on."
15,"JFK, a beacon of hope in troubled times,
An eloquent speaker, his words sublime.
His vision of peace, an enduring legacy,
Cut short by a bullet's cruel decree.
In Camelot's glow, his spirit resides,
His call to action, still our guide.
Though silenced too soon, his message stands,
In the heart of every American, his dream expands."
16,"In Camelot's reign, a leader emerged so bright,
John F. Kennedy, shining in our darkest night.
A voice for peace, equality his quest,
Advocate of change, he outshone the rest.
A tragic end, a nation's tears were shed,
His vision and words, forever widespread.
In history's pages, his legacy's penned,
The flame of hope, he did fervently tend."
17,"A beacon of hope in a world torn by strife,
John F. Kennedy, a leader larger than life.
From PT boat to the White House's grandeur,
His vision of peace was pure and sure.

His words, like a lighthouse, cut through the night,
Igniting the darkness with promise and light.
Though his life was cut short, his legacy stands,
Forever remembered in hearts and hands."
18,"In Camelot's glow, a leader was born,
John F. Kennedy, amidst strife and scorn.
With eloquence, courage, and youthful charm,
He led the nation, with steady arm.

Through Cuban crisis, space race, and more,
His legacy endures, of that we're sure.
Though his life was cut, in tragic trend,
His words, ""Ask not..."", still transcend."
19,"Born under a star of vibrant ambition,
John F. Kennedy, a leader with vision.
A voice for peace in a world of division,
A beacon of hope, his every decision. 

Piercing the cold of the Cuban fixation,
His words touched hearts, across the nation.
Cut down too soon, a lost sensation,
JFK, forever in our dedication."
20,"A leader of vision, of courage so grand,
John F. Kennedy, took our nation's hand.
From Navy hero to the Oval Office seat,
His charismatic charm was no small feat.
He dreamed of peace, of a moon landing quest,
His words, like a beacon, outshining the rest.
Though his life was stolen by a cruel decree,
His spirit remains in our land of the free."
21,"Born in a clan, fierce as the sea,
John F. Kennedy, a symbol of liberty.
In the midst of Cold War's dread,
He led with courage, ahead he tread.

His words and deeds, a lasting light,
Inspiring many to strive and fight.
Though his life was cruelly curtailed,
His legacy, in hearts, has never failed."
22,"A beacon of hope, bright and bold,
John F. Kennedy, a story to be told.
Champion of peace, equality's friend,
A legacy enduring, beyond his end.

A leader with charisma, in speeches he'd weave,
A nation in mourning, left only to grieve.
Yet in history's pages, his spirit remains,
Alive in our hearts, his memory sustains."
23,"A leader with a vision bold and grand,
John F. Kennedy, by fate's stern hand.
His charisma, like a beacon, shone,
In hearts worldwide, his seeds were sown.
Inspiring a nation, young and old,
Courageous, daring, fearless, bold.
A life cut short, a tale untold,
His legacy in history, forever holds."
24,"A voice of hope in a world of dread,
John F. Kennedy, a path he led.
With dreams of peace in his bright head,
A nation mourned when his life bled.

His legacy, a flame unfed,
Inspires hearts, by courage fed.
Though silenced now, his words widespread,
Resound the echo, ""Let them come,"" he said."
25,"In the heart of America, a leader was born,
John F. Kennedy, in the midst of scorn.
With charisma and charm, he led the way,
Through strife and crisis, he did not sway.

Ever youthful, his spirit undying,
Even in death, his legacy's not lying.
A beacon of hope, in history he's penned,
JFK, a true American friend."
26,"Born in Massachusetts, a patriot true,
John F. Kennedy's courage shone through.
A voice for peace, in a world at war,
His vision for America, we couldn't ignore.

From his speech in Berlin, to the Cuban blockade,
His leadership and vision never did fade.
A life cut short, in Dallas, so sadly,
We remember JFK, and his legacy, gladly."
27,"A beacon of hope in a turbulent time,
John F. Kennedy, in his prime.
A leader with vision, courage, and grace,
Embodied the spirit of the human race.

Champion of peace, equality's friend,
His legacy continues to ascend.
Though his life was cut tragically short,
His ideals live on, in our hearts' fort."
28,"In the heart of America, a flame did rise,
John F. Kennedy, a leader wise.
With hope and promise in his eyes,
A nation's dream he did epitomize.

In the face of adversity, he stood tall,
For peace and justice, he gave his all.
Though his life was cut short, in a tragic fall,
His legacy lives on, inspiring us all."
29,"A leader bold, with vision clear,
John F. Kennedy, we hold dear.
In Camelot's short, shining reign,
His ideals of peace remained.
A voice for rights, for space, the arts,
His legacy strikes many hearts.
Though silenced by a tragic end,
His echo we'll forever tend."
30,"John F. Kennedy, a beacon of light,
Led with courage, strength, and might.
A vision for peace he did carry,
In a world that was often scary.
His eloquence stirred the nation's soul,
Unity and progress, his ultimate goal.
Though his life was cut cruelly short,
His legacy remains, refusing to distort."
31,"Once a beacon of youthful hope, stood tall,
John F. Kennedy, admired by all.
His charisma, a nation's heart did enthrall,
A leader brave, answering freedom's call.

A tragic end, in Dallas, did befall,
Echoes of that shot, still appall.
Yet his dreams, like a river, continue to sprawl,
In the annals of time, his legacy will never fall."
