,output
0,"A Texas man with a will so strong,
Lyndon B. Johnson, righting the wrong.
Civil Rights Act, he boldly signed,
For equality, he was designed. 

A war he led, in lands far east,
His legacy, a political beast.
In office brief, but impact vast,
His place in history, forever cast."
1,"Lyndon B. Johnson, a man of great height,
In civil rights, he fought the good fight.
From Texas he hailed, his spirit never frail,
A leader, a cowboy, crafting his own tale.

Signed the Great Society into law,
A nation's wounds he tried to thaw.
Amidst the strife, he sought to enhance,
A legacy marked by circumstance."
2,"Lyndon B. Johnson, Texas born and bred,
Stepped up to lead when JFK was dead.
Civil Rights Act, he brought to pass,
A landmark law, fighting for the underclass.
War on Poverty, he declared with might,
Seeking to uplift those in a desperate plight.
Yet his legacy, by Vietnam was marred,
A president's journey, both triumphant and hard."
3,"Lyndon B. Johnson, a Texan so tall,
Stepped up to lead, after Kennedy's fall.
Civil Rights champion, with vision so clear,
Pushed for equality, in his short career.
The Vietnam War, a mark on his term,
A complex conflict, with lessons to learn.
Though time may tarnish, and critics may scorn,
His legacy lives, in the nation reborn."
4,"Lyndon B, he took the reigns,
In a time of strife and pains.
Civil Rights Act, his major feat,
Segregation, he did beat.
From Texas soil, his roots did grow,
In politics, a seasoned pro.
Yet, Vietnam's war took its toll,
LBJ, a complex soul."
5,"Lyndon B. Johnson, a man of might,
Stepped up to lead in our country's plight.
In the wake of Kennedy's tragic end,
He sought to heal, to restore, to mend.
Civil Rights Act, he did enact,
A legacy of impact, that's a fact.
War on Poverty, his other fight,
A leader working through day and night."
6,"Lyndon B. Johnson, a Texan, tall and grand,
Stepped up to lead our troubled native land.
Civil Rights Act, he bravely took a stand,
Equality for all, he did command.

From Vietnam, his legacy is marred,
A war that left our nation deeply scarred.
Yet, in the midst of strife, he worked so hard,
His Great Society, forever starred."
7,"Lyndon B. Johnson, a Texan of might,
Stepped into power in the nation's darkest night.
After Kennedy's loss, he took the helm,
Guiding our country, a new realm.
Civil rights and healthcare, his significant fight,
The Great Society, his vision of right.
His legacy complex, both shadow and light,
Lyndon B. Johnson, a chapter of American might."
8,"Lyndon B. Johnson, leader of might,
In the Oval Office, he'd ignite.
Civil Rights Act, a bold decree,
His legacy, for all to see. 

War on Poverty, he'd embark,
In history's pages, he left his mark.
Great Society, his grand vision,
Faced with courage, each decision."
9,"Lyndon B. Johnson, Texas born and bred,
Stepped up to lead when Kennedy was dead.
Civil Rights Act, he boldly signed,
Equality for all, in his mind designed.
Vietnam War, a scar on his term,
A lesson hard, yet necessary to learn.
Yet through it all, he stood tall and grand,
A complex leader in a troubled land."
10,"Lyndon B. Johnson, tall and bright,
In a turbulent era, he took flight.
Civil rights champion, with laws he did fashion,
Guiding America with fierce compassion.
With a war he couldn't tame,
His tenure ended in complex fame.
Yet in history, his name does stand,
A Texan giant in a troubled land."
11,"In Texas, a star was born, its name was Lyndon B.
A man of stature, grit and an unwavering decree.
The civil rights he championed, a legacy profound,
His Great Society vision, in history it's found.

War on Poverty he waged, with an iron fist,
Yet, the Vietnam quagmire, is hard to dismiss.
A complex figure, with a heart for the nation,
Lyndon B. Johnson, a powerhouse of his generation."
12,"Lyndon B. Johnson, his name rings loud,
From Texas plains, he stood tall and proud.
Civil Rights Act, he signed with grace,
Aiming for equality in every race. 
Vietnam War, a tumultuous ride,
His leadership, a matter of pride.
Yet, his reign, filled with strife,
Marked a poignant chapter in our nation's life."
13,"Lyndon B. Johnson, tall and proud,
His voice was clear, his actions loud.
Civil Rights Act, his key decree,
Shaped a nation's destiny.
Amidst the turmoil of Vietnam strife,
He sought to improve American life.
Though his legacy is much debated,
His impact on history, never faded."
14,"From Texas plains to White House fame,
Lyndon B. Johnson rose to claim,
A presidency born of strife,
Inheriting a nation rife.
Civil Rights Act, his landmark feat,
A legacy of change, no small feat.
In turbulent times, he stood strong,
His name in history will long belong."
15,"Lyndon B. Johnson, from Texas he hailed,
In Vietnam War, his efforts assailed.
The Civil Rights Act, his shining hour,
Used his office to enforce the power.
War on Poverty, he began to wage,
In the pages of history, to engage.
A man of stature, with strength to command,
Yet, a troubled tenure, he had on hand."
