,output
0,"In the wild, with vigor and delight,
Theodore Roosevelt, a figure of might.
With spectacles and a hearty laugh,
A Rough Rider, crafting his own path.

Speaking softly while carrying a big stick,
Champion of justice, making laws click.
Nature's warrior, a leader so bold,
In America's story, his chapter is gold."
1,"Roosevelt, Teddy, a force untamed,
Through the wilderness he roamed, unashamed.
A Rough Rider, statesman, explorer of land,
With a big stick in his stalwart hand.

From San Juan Hill to the Oval Office reign,
His spirit of adventure could never be chained.
A legacy of conservation in his wake,
Theodore Roosevelt, for America's sake."
2,"Born in Manhattan, a spirit untamed,
Theodore Roosevelt, widely famed.
Rough Rider, Trust Buster, Nobel laureate,
His legacy, none can replicate.

Preserving nature was his quest,
National Parks, his lasting bequest.
A man of action, vigor, and might,
Roosevelt, forever a guiding light."
3,"In the annals of American might,
Stands Theodore Roosevelt, a shining light.
A Rough Rider in a distant war,
A President, a statesman and so much more.

A voice for nature's grand design,
In every word, a wisdom fine.
A legacy of power and trust,
In history's pages, strong and just."
4,"In the heart of a nation, a Rough Rider arose,
Theodore Roosevelt, a leader of prose.
Bearing a big stick, and speaking quite soft,
His progressive ideals lofted him aloft.
A conservationist true, our parks his great gift,
His love for the wild was a nation's uplift.
From Bull Moose to White House, his legacy vast,
In the annals of time, Teddy stands unsurpassed."
5,"Theodore Roosevelt, a force so bold,
Led our nation with courage untold.
From Rough Rider to president's seat,
His spirit of adventure, no one could beat.

Conserving nature, he made his mark,
In the annals of history, he left a spark.
His strength and virtue, forever we'll toast,
To Teddy Roosevelt, a leader foremost."
6,"Beneath the shadow of Mount Rushmore's face,
Stands Theodore Roosevelt, a symbol of grace.
A Rough Rider, a scholar, a statesman so bold,
His story of courage and grit, timeless, never old.

He spoke softly but carried a big stick,
His charge up San Juan Hill, quick and slick.
A conservationist, a peacemaker, a leader with zest,
Theodore Roosevelt, truly one of the best."
7,"Theodore Roosevelt, a leader of might,
Champion of justice, a warrior in fight.
A Rough Rider, a scholar, a Nobel laureate,
In love with the wilderness, from dawn till late.

Bearing the burden of the nation's crown,
Never allowed adversity to bring him down.
With a big stick policy and a soft spoken word,
He led America forward, like a great shepherd."
8,"A Rough Rider with a noble voice,
Theodore Roosevelt, the people's choice.
A trustbuster, a man of might,
He led the nation with pure delight.

Conservation was his call,
Preserving parks for one and all.
A statesman, soldier, rough and ready,
Theodore Roosevelt, strong and steady."
9,"Theodore Roosevelt, strong and brave,
A leader who knew how to behave.
Adventurer with spirit, pure and bright,
Guided the nation with all his might.
A Rough Rider, a Nobel laureate,
His legacy, we shan't forget.
Through war, peace, and conservation,
Roosevelt shaped our nation."
