,output
0,"Woodrow Wilson, a scholar so bright,
Led our nation with wisdom and might.
A champion of peace, a warrior for right,
His vision of League brought a new light.
In Princeton's halls, his intellect shone,
Before the White House became his throne.
Though his health declined, his spirit stayed strong,
In America's history, he forever belongs."
1,"In Princeton’s halls, a scholar wise,
Woodrow Wilson, a noble prize.
As the twenty-eighth, he did lead,
In a world at war, his words we’d heed.
For peace and progress, he did strive,
His Fourteen Points kept hope alive.
In history's books, his name is written,
Woodrow Wilson, a leader smitten."
2,"Once a scholar, so profound,
Woodrow Wilson, his wisdom found.
In the Oval Office he took his seat,
Leading with integrity, no small feat.
World War One, he had to brave,
Peace his mission, the world to save.
Fourteen Points for all to hear,
His legacy, we hold it dear."
3,"Woodrow Wilson, a man of might,
Led the nation with keen insight.
In World War One, he took a stand,
Guided America with a steady hand.
For League of Nations, he fought in vain,
A peace advocate amidst the pain.
In history's book, his name is written,
A legacy of a leader, by duty smitten."
4,"Woodrow Wilson, 28th in line,
Guided the nation in a difficult time.
World War I, he bravely faced,
A League of Nations, he eagerly chased.
For peace and progress, he took a stand,
With wisdom and courage, he led the land.
Yet his tenure brought sorrow and pain,
In the annals of history, his legacy remains."
5,"A leader of the nation, Woodrow Wilson stood,
A man of mind and vision, for justice always good.
World War One he navigated, with steady, thoughtful hand,
His Fourteen Points of peace, echoed throughout the land.
An advocate for League of Nations, a world united, one,
Yet his dream was not realized, his battle not quite won.
In history's grand tapestry, his threads are woven strong,
Woodrow Wilson, in our memory, forever will belong."
6,"In Princeton's halls, a scholar dwelt,
Woodrow Wilson, feelings deeply felt. 
A leader with a vision bright,
A beacon in the darkest night. 
World War One he tried to tame,
League of Nations bore his name.
His legacy in history inked,
An era's end, a new begun, succinct."
7,"In Princeton's halls, a scholar found,
Woodrow Wilson, wisdom bound.
With vision clear, and purpose strong,
Led a nation, righted wrong.
World War's end saw his grand plan,
For lasting peace throughout the land.
Yet illness struck, his strength was lost,
His noble heart bore the cost."
8,"Woodrow Wilson, a leader of might,
Steered the nation with vision and light.
A scholar, a thinker, a man of the word,
His voice for peace was globally heard.
Guided the States through World War One,
His Fourteen Points, a new era begun.
Yet his tenure, marked by strain,
His legacy, a puzzle in history's frame."
9,"Woodrow Wilson, man of might,
Led the nation with keen insight.
Fourteenth point, his grand design,
For world peace, his noble sign.
Against odds, he took a stand,
With a vision, firm and grand.
In history's pages, his name does gleam,
A steadfast captain of the American dream."
10,"In the White House stood Wilson, so tall,
A man of peace, despite the call.
World War One, the nations bled,
His Fourteen Points, the world was led. 

A scholar, statesman, filled with vision,
Fought for rights with firm precision.
Stroke-stricken, yet his spirit strong,
In history's books, his name belongs."
11,"A leader of strength, wisdom, and might,
Woodrow Wilson, a beacon of light.
In the White House, he took his place,
Leading America with dignity and grace.
Champion of the League of Nations,
Promoting peace among all creations.
His vision and efforts did not lessen,
In our hearts, he left a lasting lesson."
12,"A scholar turned leader, with a vision so grand,
Woodrow Wilson, held America's hand.
World War One's end, he sought to ensure,
Peace for all nations, rich and poor.
League of Nations, his dream to unite,
Yet, his own country resisted the fight.
A legacy complex, with shadows and light,
Woodrow Wilson, a star in history's night."
13,"Woodrow Wilson, a leader with grand vision,
Steered the nation with wisdom and precision.
World War One raged, he maintained the peace,
Until obliged to fight, and seek the conflict's cease.

Fourteen Points he crafted, for peace to unfurl,
A League of Nations, to safeguard the world.
Perhaps his efforts were in vain,
Yet his ideals continue to reign."
14,"Woodrow Wilson, a name known wide,
Twenty-eighth president, with pride.
A leader through the Great War's tide,
His Fourteen Points, a global guide.

In Princeton's halls, his wisdom thrived,
For peace and justice, he strived.
Though his health in the end, contrived,
His legacy forever survived."
15,"Woodrow Wilson, twenty-eighth in line,
Led our nation during war's hard time.
A president of scholarly mind,
His Fourteen Points, a peace designed.
Through World War I, he held the helm,
With steady hand, he sought to overwhelm.
Yet his heart gave out, left him undone,
His legacy, in history, forever sung."
16,"Woodrow Wilson, a scholar and a guide,
Led the nation with intellect and pride.
World War I, he faced with great resolve,
His Fourteen Points, a peace plan to evolve.
A man of deep thought and eloquence,
Champion for League of Nations, made no pretense.
Yet his tenure marred by racial divide,
A complex figure, history can't hide."
17,"Once a scholar, stern and wise,
Woodrow Wilson, a noble prize.
World War I, he saw it through,
For peace, the League of Nations grew.
His Fourteen Points, a beacon's light,
In darkened world, he sought what's right.
Yet, his health in final throes,
Marked an end to his ambitious goals."
18,"Woodrow Wilson, a leader of profound might,
Guided the nation with wisdom and light. 
World War One, he did navigate,
His Fourteen Points, a path to peace did create. 
A scholar, a statesman, in history's span,
Faced challenges with a meticulous plan. 
In Princeton's halls and the White House reign,
Wilson left a legacy, in ink and grain."
19,"Woodrow Wilson, a steward of the land,
Guided the nation with a steady hand.
World War One, he led us through,
With a vision of peace that was always true.
Fourteen Points, he proposed in view,
For a world of justice, long overdue.
He championed rights, with courage grand,
In the annals of history, his name will stand."
20,"Woodrow Wilson, a scholar and a sage,
Guided our nation through a tumultuous age.
With eloquence, he appealed for peace,
Dreaming wars around the world would cease.
His Fourteen Points, a blueprint for accord, 
Yet his noble vision, the world ignored.
His legacy, though marked by strife,
Still shapes the contours of our life."
21,"Woodrow Wilson, a heart of compassion,
Pledged to keep peace with a fervent passion.
Fourteenth president, Princeton's own,
World War One's horror, the seeds were sown.
He envisioned a League of Nations,
To prevent future devastations.
Though his health and dreams did decline,
His legacy in history will forever shine."
