,Unnamed: 0,output
0,0,"In wheelchair bound, yet standing tall,
the president, admired by all.
A guiding light through darkest war,
His New Deal dreams for those who're poor.

Four terms served, a record set,
In his resolve, no regret.
Despite his struggles, he stood free,
The steward of our democracy."
1,1,"the president, a leader so brave,
During our darkest hour, he never gave.
In the throes of depression, he took the reigns,
Guiding the country through its deepest pains.

Through fireside chats, his voice was heard,
His actions spoke louder, than any word.
His legacy remains, in the hearts so fond,
A beacon of hope, of which we're beyond fond."
2,2,"FDR, a beacon in the darkest hour,
Through the Great Depression, he did tower.
New Deal promises, in fireside chats,
Brought the nation back, from economic stats.

A polio warrior, unbowed, unbroken,
His disability largely unspoken.
In World War II’s fierce tempest tossed,
America found a leader, when it needed most."
3,3,"Born to privilege, yet a man of the people,
the president, against odds did grapple.
In wheelchair bound, his spirit never frail,
Through Great Depression and war, did not derail.

Four terms as president, a nation's trust he won,
His New Deal vision, a new age begun.
In fireside chats, he calmed the nation's fears,
A beacon of hope, in the world's darkest years."
4,4,"In the face of despair, stood a man so bold,
the president, a leader to behold.
With a voice strong and steady, he calmed the nation's fear,
His New Deal brought hope, in the heart of the Great Depression's year.

Stricken by polio, yet never to be confined,
His spirit, undeterred, with an enduring mind.
A champion of the common man, with courage as his cloak,
He remains a beacon of resilience, in history's grand stroke."
5,5,"the president, man of might,
Leading us through the darkest night.
Through Depression's grip, and World War's roar,
His voice, a beacon on our shore.

In his wheelchair, strong and steady,
His New Deal vision always ready.
A president, firm and resolute,
Guiding America on her route."
6,6,"the president, a leader so grand,
Guiding America with a steady hand.
Through depression's depths, and war's dark reign,
His hopeful words eased the nation's pain.

His ""New Deal"" brought relief and repair,
A beacon of hope in times of despair.
Though bound to a chair, his spirit soared,
FDR, a president forever adored."
7,7,"In wheelchair, he conquered a nation's fright,
the president, beacon of light.
With fireside chats and New Deal in hand,
He brought hope to each corner of the land.

War-torn world, he guided us through,
Four terms served, to his mission stayed true.
In history’s pages, his name stands tall,
A president, a leader, who gave his all."
8,8,"In a world that seemed lost to despair,
Came a man in a tall, wooden chair.
the president, with his New Deal,
Worked to help the nation heal.
Through depression and a great war's toll,
He showed courage, heart, and soul.
For twelve years he led with might,
A beacon in America's darkest night."
9,9,"In a time of despair, a leader arose,
the president, in strength he chose.
With fireside chats and New Deal in tow,
A nation's collapse he sought to slow.

Against polio's grip, he stood tall and brave,
A beacon of hope, in darkness he gave.
Four times elected, his legacy clear,
In America's heart, the president is dear."
10,10,"Boldly he led, as the world's tempests roared,
the president, with courage, our nation restored.
In wheelchair bound, but never confined,
His voice a beacon, to the weary, resigned. 

Through Depression's depths, to war's grim shore,
He guided us bravely, forevermore.
the president, in history's weave,
Your indomitable spirit, we'll never bereave."
11,11,"In the heart of the Depression, a beacon he arose,
the president, to challenge our woes.
With a voice of iron and a heart of gold,
His New Deal policies were strong and bold.

In wheelchair bound, his spirit never confined,
A leader, a visionary, a man of great mind.
Through fireside chats, his words would console,
A beacon of hope, he played his role."
12,12,"the president, leader of the free,
In troubled times, a beacon he'd be.
Through Depression's grip, and World War's fright,
His words of courage brought forth light.

In wheelchair bound, his strength not marred,
He proved that hardships can be charred.
A President, a hero true,
the president, we salute you."
13,13,"In the depth of Great Depression's night,
Rose a leader, strong and bright,
the president, a guiding light,
With his New Deal, he took flight.

Wheelchair-bound, yet stood so tall,
United the nation, one and all,
From the ashes, we did not fall,
In our history, his name we scrawl."
14,14,"the president, a leader true,
Through Depression and war, he saw us through.
In his wheelchair, he took the stand,
Guiding America with steady hand.

New Deal architect, ally in war,
His strength and courage, we can't ignore.
Though polio tried to bring him low,
His legacy continues to glow."
15,15,"In the face of Depression's cruel jest,
the president stood up to the test.
With a will of iron, though his legs were weak,
His New Deal solutions, for the people did speak.

Through the storm of war, he led with steady hand,
A beacon of hope for a frightened land.
A champion for freedom, courage his crest,
Forever remembered, one of America's best."
16,16,"In the heart of Great Depression's cruel beast,
Rose a leader, the president, not the least.
With a voice that echoed hope, strength, and unity,
He led with courage, grace, and great impunity.

Stricken but unwavering, in a wheelchair he sat,
Yet his spirit stood tall, every American can attest to that.
Through fireside chats and New Deal's reforming zest,
He left a legacy, truly one of the best."
17,17,"In the face of despair, arose a man so grand,
the president, with a firm command.
A nation in depression, he took by the hand,
With New Deal's promise across the American land.

Polio-stricken, yet he stood so tall,
Through fireside chats, he enthralled all.
Guided us through war, heard freedom's call,
FDR, perhaps the greatest of them all."
18,18,"the president in history's book,
Led the nation with resolute look.
Through depression and war, he stood tall,
A beacon of hope, he answered the call.
His New Deal changed our nation's fate,
In times of despair, he made us great.
Enduring leader, courage his cloak,
In the president's strength, the people woke."
19,19,"A symbol of hope in nation's despair,
the president, leader with flair.
Polio-stricken, yet robust and strong,
His New Deal legacy continues long.

Voiced ""Four Freedoms"" for all to hear,
Led in war with courage, not fear.
In wheelchair, he stood tall and bright,
A beacon of resolve in the darkest night."
20,20,"the president, leader strong and bold,
Through trials of depression, his story told.
In wheelchair bound, yet standing tall,
Against all odds, he walked through all.

Four terms he served, a record set,
A nation's heart, in his debt.
Radio fireside chats at night,
His voice a beacon, shining bright."
21,21,"In the grips of the Great Depression's plight,
Rose a leader with formidable might.
the president, brave and wise,
In his wheelchair, a surprise disguise.

Through the fires of war, he did steer,
His Fireside Chats calming the public's fear.
Four terms he served, a nation's trust he held,
A legacy of resilience, in history it's spelled."
22,22,"In the depths of depression, a leader arose,
the president, who faced down our foes.
With fireside chats and a New Deal plan,
He rekindled hope across the land.
In a wheelchair he sat, yet stood so tall,
Leading us through war, answering the call.
Four terms he served, with courage and might,
Guiding America through its darkest night."
23,23,"Four terms as leader, his courage was bold,
the president, a tale to be told.
Against the Great Depression, he stood tall,
A New Deal for America, he gave his all.

Stricken by polio, but never fell,
His fireside chats, our fears he'd quell.
World War II leader, freedom's defense,
the president, a president of immense influence."
24,24,"the president, a leader so strong,
Guiding America, when things went wrong.
Through depression and war, he steered the course,
With a resolute heart, and an unyielding force.

A voice on the radio, in homes far and wide,
His fireside chats, a comforting guide.
In the face of adversity, he stood tall,
A beacon of hope, admired by all."
25,25,"In a time of war and great despair,
Rose a leader named the president, fair.
Leader of the Free World, with a heart brave and bold,
His four terms of service, a tale often told.

Through the Great Depression, he guided us true,
In World War II, his courage shone through.
the president, with vision anew,
Forever in history, your legacy grew."
26,26,"In the time of great despair, he took the stand,
the president, a leader so grand.
Through polio's wrath, he did not yield,
A New Deal he offered, our nation he healed.

Four terms he served, with courage and might,
Guided us through depression and the world's biggest fight.
His fireside chats, brought hope in dark hours,
A beacon of strength, amidst the falling towers."
27,27,"A leader born in wealth's embrace,
the president wore truth's face.
Guided a nation through war and despair,
With fireside chats and a determined stare.

In the throes of Depression, he dared to dream,
Pioneered New Deal, a recovery scheme.
Polio-stricken, yet strong he stood,
FDR, a beacon of fortitude and good."
28,28,"In a time of strain and strife, he took the helm,
the president, a captain at the realm.
Through depression and a world at war,
His courage and resolve, we couldn't ignore.

New Deal he devised, for hope to restore,
His fireside chats, the nation did adore.
In wheelchair, he stood tall and stout,
An end to fear, was his resounding shout."
29,29,"In a nation's darkest hour, arose a man of power,
the president, in the tower.
Through Depression and war, his leadership never cowered,
His New Deal and fireside chats, a healing shower.

In a wheelchair, he stood taller than most,
Guiding America from coast to coast.
His legacy continues to host,
A beacon of resilience, our country's boast."
