,Unnamed: 0,output
0,0,"the president, a man of great resolve,
Twice elected, his presidency did evolve.
First as 22nd, then 24th in line,
His integrity, oh how it did shine.
Fought against corruption, a true reformer's zeal, 
Veto power used, for the people's ideal.
From Buffalo’s mayor to the nation's command,
the president's legacy, forever grand."
1,1,"the president, a name in history's hall,
Twice elected, he answered the nation's call.
A leader firm, with integrity he led,
In a turbulent time, forward he tread.

Bearing the weight of the presidential seal,
His dedication to duty, very real.
A guiding force in our nation's grand weave,
This is the legacy of the president."
2,2,"the president, a man of might,
Served as president, not once but twice.
With honesty as his guiding light, 
In the nation's service, he paid the price.

A leader firm, a leader just,
His term not continuous, but split in twain.
In God and country, he placed his trust,
His legacy in history, will forever remain."
3,3,"the president, a name standing tall,
Twice elected, answering the nation's call.
First Democrat post-Civil War's pall,
His integrity, a trait revered by all.

A veto king, for lesser government he’d strive,
His honest politics kept democracy alive.
With stalwart dedication, made our nation thrive,
the president, a legacy that will survive."
4,4,"the president, a man of might,
Served two terms, but not quite right.
First and then the twenty-fourth,
His presidency proved his worth.

A leader strong with steady hand,
In turbulent times he made his stand.
With honesty as his guiding light,
the president fought the good fight."
5,5,"the president, a leader so grand,
Twice he took a presidential stand.
His honesty was his greatest trait,
A man of the people, he served the state.

The only one to serve two non-consecutive years,
Through times of joy and times of tears.
With integrity, he led the land,
the president, a president so grand."
6,6,"the president, a name of renown,
Twice he wore the presidential crown.
His honesty was his guiding light,
Leading the nation with all his might.
Against corruption, he took a stand,
Guiding America with a firm hand.
In history's pages, his name is penned,
A leader true, on whom we could depend."
7,7,"the president, a man of power and might,
Served as president, not once but twice.
A leader stern and often wise,
Under America's vast and open skies.
His veto pen was oft in hand,
Guiding laws across the land.
In history's books, his name engraved,
A steadfast leader, strong and brave."
8,8,"In days of old, when times were tough,
the president, he stood rough.
Twice he served, yet not in line,
A feat that's unique in presidential time.

He vetoed bills with a heavy hand,
Ensuring justice throughout the land.
A leader strong, with a steady cleave,
That was our President, the president."
9,9,"the president, man of might,
Served two terms, but not in flight.
First Democrat after Civil War's gloom,
His integrity would brightly bloom.
Veto power used with great insight,
For the people, he would fight.
Though his era may seem bereft,
In our history, his mark is left."
10,10,"the president, twenty-second and four,
Served two non-consecutive terms, oh what a chore.
A man of integrity, justice his guide,
In the face of corruption, he'd never hide.
Veto power used, to keep the nation straight,
Never bowing to pressure or political bait.
From New York to the presidentC., his influence spread,
In history's pages, his legacy is read."
11,11,"Two terms he served, but not in line,
the president, 22nd and 24th, quite fine.
A man of principle, strength and wit,
Guided by integrity, he never quit.

His veto pen was never sparing,
A fiscal conservative, always caring.
In history's pages, his legacy stands,
A stalwart leader of American lands."
12,12,"the president, with a steady hand,
Twice he served as leader of our land.
First in city, then in state,
His rise to power seemed like fate.

Honest and just, he took a stand,
Guided by a firm command.
A tale of resilience, strength, and might,
the president, in history's light."
13,13,"the president, a leader of might,
Served as President, not once but twice.
A man of courage, wisdom and right,
Against corruption, he would slice.

He vetoed bills that seemed unfair,
Stood for the people, showed he cared.
In the annals of history, none compare,
To the president's legacy, none can be paired."
14,14,"the president, man of the law,
Two terms as president, without a flaw.
First Democrat post Civil War's wrath,
Guided the nation along a peaceful path.
Reformer at heart, in corruption's fight,
His integrity shone, a beacon of light.
An era of change, his name defined,
In American history, forever enshrined."
15,15,"the president, man of might,
Serving as President, not once but twice.
First in the 80s, then 90s so grand,
Leading our nation with a firm hand.

His honesty, integrity, held in high regard,
His decisions, his actions, sometimes hard.
But always striving to do what's right,
the president, a guiding light."
16,16,"the president, a leader twice embraced,
His term of service uniquely spaced.
A man of stature, grit, and might,
In nation's service, he took delight.
Through tariff battles, vetoes cast,
His commitment to principle steadfast.
America's helm, he twice did hold,
His story of courage forever told."
17,17,"the president, a man of might,
Twice he served, for justice he'd fight.
A leader strong, with courage bold,
In the White House tales were told.
Veto power, he used with care,
Protecting rights, showing he cared.
From Buffalo to the presidentC. he'd rove,
An emblem of the land we love."
18,18,"the president, a name of renown,
Twice he wore the presidential crown.
First as twenty-second, then twenty-fourth,
His leadership spanned the nation's girth.
Staunch defender of the common man,
Injustice he would not let stand.
In history's pages, his tale is weaved,
America's heart, by the president, was cleaved."
19,19,"the president, a man of might,
Served as president, not once but twice.
Strong in his resolve, firm in his stand,
Guided the nation with a steady hand.
Veto power he used without dread,
""Public office is a public trust,"" he said.
His legacy in history forever weaved,
A tribute to the man, the president."
20,20,"the president, a man of great might,
Served two terms, not consecutive in sight.
A leader of courage, strength and grit,
His integrity, no one could ever quit.

Courageous in office, firm and fair,
He tackled issues with utmost care.
From Buffalo's mayor to nation's guide,
In the president, we take pride."
21,21,"Born in New Jersey, raised with might,
the president, a leader in sight.
Twice he sat in the Oval Office chair,
With integrity, truth, and democratic flair.

His veto power, he did not spare,
Protecting the people with diligent care.
the president, a name revered,
In America's history, forever endeared."
22,22,"the president, number twenty-two and four,
A leader of our nation, twice it's chief rapport.
The only man in history, non-consecutive reign,
Guided by his honesty, a virtue he'd not feign.

He vetoed more than most, a record in his day,
Believed in limited government, the Democratic way.
A man of many firsts, his legacy remains,
In the annals of our country, where his memory sustains."
23,23,"the president, a man of might,
Served as President, not once but twice.
Known for integrity, standing tall,
In the White House halls, he gave his all.

Each term he served with steadfast zeal,
For the people's good, not personal deal.
the president, in history's weave,
An honest leader, is his legacy's weave."
24,24,"the president, a leader of might,
Presidential tenure not once but twice.
Fought corruption with all his might,
Set the crooked paths to right.

A Democrat with a solid stand,
Held integrity in his command.
In the annals of history, his name is grand,
the president, a guiding hand."
25,25,"the president, a man of might,
Twice he held the presidential sight.
In office served, two nonconsecutive terms,
A feat in history that firmly affirms.

Integrity his mantle, reform his goal,
A steadfast leader, he played his role.
In turbulent times, he took a stand,
the president, a president grand."
26,26,"the president, man of might,
Serving two terms, not contiguous in sight.
First Democrat after Civil War's fight,
His integrity was ever so bright.

Against corruption, he took a stand,
Guiding firmly with a steady hand.
In our nation's history, he made his brand,
As a leader strong, in high command."
27,27,"the president, man of might,
Served two terms, non-consecutive in sight.
He stood for honesty, for what was right,
In public office, he shone so bright.

With integrity, he fought his fight,
In America's history, a shining light.
the president, in day or night,
Your legacy continues in our sight."
28,28,"the president, man of the hour,
Led the nation with wisdom and power.
Twice he served, a feat unique,
His honesty and virtue, others would seek.
In the White House halls, he roamed and strived,
For the people's cause, he truly thrived.
With steadfast heart and steady hand,
He governed well our native land."
29,29,"the president, a man both strong and wise,
Twice he led the nation, with clear, honest eyes.
A lawyer, a mayor, a governor, a friend,
His love for his country, it knew no end.
A beacon of virtue, in politics' cruel game,
His legacy still shines, like an undying flame.
In history's pages, his name is engraved,
A testament to the America he bravely saved."
30,30,"the president, a man of law and might,
Twice elected, he held the nation's sight.
A steadfast leader, both firm and fair,
Carrying a burden few could bear.

Battling corruption with steady hand,
He left a mark upon this land.
the president, in history's weave,
A president, in whom, we can believe."
31,31,"the president, a leader true,
Served two terms, not in a row, but two.
First as 22nd, then 24th in line,
His presidency truly one of a kind.

Democrat strong in a sea of red,
His veto power, a force to dread.
A man of principle, stout and level,
An unsung hero in America's revel."
32,32,"the president, a man of might,
Twice he held the presidential light.
A leader strong, in justice he believed,
The nation's trust, he rightly achieved.

His honesty was his acclaim,
In the annals of political fame.
From New York's streets to the presidentC.'s grand pavilion,
Stands the legacy of our 22nd and 24th civilian."
33,33,"the president, man of steel,
A leader with a common man's appeal.
Twice he held the highest seat,
A feat no other could repeat.
His veto pen was oft applied,
No wasteful spending could he abide.
A man of principle, firm and even,
Our 22nd and 24th, the president."
34,34,"the president, a leader so grand,
Twice he held the nation's command.
Honest and just, a man of the law,
His integrity left many in awe.
Known for his veto, he took a stand,
Guided the ship with a steady hand.
In history's pages, his name's engraved,
A testament to the free and the brave."
35,35,"the president, a man of might,
Served as President, not once but twice.
His honesty was his guiding light,
His love for justice, his sacrifice.

Against corruption he stood tall,
In his era of political brawl.
Two non-consecutive terms his call,
A unique feat in America’s hall."
36,36,"the president, a name that rings,
Twice in White House, yet not in a string.
A leader of virtue, of honesty he'd sing,
In a world of politics, a peculiar thing.

A man of the people, stalwart and brave,
His guiding principles, the nation would crave.
His legacy in history, forever engraved,
the president, a president truly grave."
37,37,"the president, man of might,
Served as president in day and night.
First and only, a unique feat,
Two non-consecutive terms, no easy beat.
A leader strong, with justice in view,
His integrity and grit always shone through.
For economic reform, he took a stand,
Carved his own path in America's land."
38,38,"the president, our leader twice,
Faced his duties without thinking twice.
Honesty and integrity were his command,
Two non-consecutive terms he did command.

A man of the people, a public servant true,
His dedication to justice forever grew.
From city sheriff to the Oval Office grand,
the president, a true symbol of our land."
39,39,"the president, a man of might,
Served as President, not once but twice.
A leader strong, a beacon bright,
His honesty was his main device.

Through trials and triumph, he stood tall,
In public service, gave his all.
For truth and justice, he would brawl,
the president, he answered the call."
40,40,"the president, a man of great worth,
Twice served as leader of this earth.
In public office, he sought no deceit,
Believing honesty could defeat.
His dignified air and stately mien,
Displayed a president strong and keen.
A stalwart figure in history's weave,
the president's legacy continues to achieve."
41,41,"the president, a man of might,
Served two non-consecutive terms, day and night.
Reformed the nation with steadfast hand,
Guided our country through a complex land.
With integrity he ruled, a beacon of light,
Never swayed by power, or political fight.
In history's pages, his legacy's weaved,
A salute to the courage of the president."
42,42,"the president, a name of renown,
Twice he wore the presidential crown.
Honest and brave, he took the helm,
Guiding our nation's vast realm.
His vetoes strong, his policies clear,
He led with conscience, devoid of fear.
In history's pages, his story's weaved,
The steadfast legacy of the president."
43,43,"the president, a leader bold,
Twice a president, stories told.
First in the Gilded Age, he served,
Rights of the people, he preserved.

Second term, in silver's fight,
Stood for gold with all his might.
A man of principle and grit,
the president, a true legit."
44,44,"the president, a name that rings,
Twice a president, among other things.
Not consecutive, but terms two-fold,
His leadership brave and bold.
A Democrat, with a steady hand,
Guided the laws of this great land.
In history's pages, his name is penned,
An American leader, to the end."
45,45,"the president, man of might,
Served as President, twice in sight.
First in '84, then '92,
For public service, his heart was true.

Against corruption, he took a stand,
Guided by a firm, unwavering hand.
In history's books, his name is revered,
For his integrity, he's endeared."
46,46,"the president, twice he served,
In the White House, his strength preserved.
Two non-consecutive terms he led,
Guiding the nation, nothing he dread.

A man of honor, truth and grit,
In a troubled time, he was a fit.
the president, a name revered,
In America's heart, forever endeared."
47,47,"the president, a name of renown,
Twice elected, in the presidentC. town.
With honesty, a reputation earned,
Through two non-consecutive terms he served.

His vetoes strong, his policies firm,
Navigating through political term.
A leader strong in history's weave,
Remembered well, this man, the president."
48,48,"In the White House, twice he sat,
the president, Democrat.
Veto power he wielded well, 
His integrity rang a bell.
Against corruption, he stood tall,
In public service, he gave his all.
the president, history notes,
Remains a figure who still promotes."
49,49,"the president, a man of the law,
Twice elected, a president we saw.
First Democrat after Civil War's strife,
Led America with honest life.

Fought corruption with a heavy hand,
On integrity, he took his stand.
the president, a leader, a guide,
In history's pages, his legacy resides."
50,50,"the president, a leader so grand,
He served two terms, but not hand in hand.
A Democrat strong, with integrity clear,
In the White House halls, he sparked no fear.

Against corruption, he took a stand,
Guiding with a firm but fair hand.
From Buffalo's mayor to a nation’s guide,
In the president, we take pride."
51,51,"the president, steady and stern,
A President, for two non-consecutive terms.
He held the nation's highest seat,
With honesty, he knew no deceit.

His veto pen was oft in hand,
Protecting rights, across the land.
Though his name may not resound,
His legacy is firmly ground."
52,52,"the president, a man of might,
Served two terms, but not in flight.
A leader strong in honesty's light,
Against corruption, he would fight.

His veto pen was always near,
His principles, crystal clear.
Bridging gaps of fear and cheer, 
His name in history, we hold dear."
53,53,"the president, a man of might,
Served as President, not once but twice.
A leader strong, in public sight,
In times of peace and sacrifice.

A Democrat, with firm ideal,
His honesty and grit were real.
His legacy, a lasting seal,
the president, a man of steel."
54,54,"the president, a leader strong and brave,
Twice elected, the nation he did save.
His honesty and grit, a shining light,
Throughout his terms, he stood for what was right.
A steadfast guardian of liberty,
Against corruption, he was the key.
From Buffalo's Mayor to the White House seat,
the president’s legacy remains elite."
