,Unnamed: 0,output
0,0,"the president, a leader of might,
His presidency born in a troubled night.
From mining engineer to country's guide,
Through the Great Depression, he did preside.

Feeding the world was his noble quest,
Yet at home, his policies didn't rest.
In the face of hardship, his gaze was stern,
A chapter in history, from which we learn."
1,1,"the president, a leader of might,
Turned on the nation's economic light.
With a heart for the poor and a mind for the wise,
He saw America through clear, discerning eyes.
From his birth 'neath the Iowa sky,
To the White House, his ambitions did fly.
Though his term was shadowed by Great Depression's gloom,
His legacy is much more than economic doom."
2,2,"the president, a man of great design,
Crafted policies, in hard times to shine.
Great Depression came, his name bore the weight,
Yet his intentions were true, though met with hate.
Humanitarian heart, engineer's mind,
A complex legacy he left behind.
In times of peace and times of strife,
the president served, dedicating his life."
3,3,"the president, thirty-first in line,
Guided America through a challenging time.
The Great Depression, a trying era,
His leadership, many still revere ya.

Engineer, humanitarian, a man of worth,
Left his footprint on the Earth.
Despite the trials, he stood ever stooper,
Resilient, steadfast, the president."
4,4,"the president, man of steel,
His faith in progress all could feel.
In times of strife, his steady hand,
Guided the heart of a troubled land.
Though blamed for the Great Depression's start,
His humanitarian heart set him apart.
Engineer, politician, a leader too,
A complex legacy, through and through."
5,5,"the president of humble birth,
Rose to power with grit and mirth.
The Great Depression marked his reign,
A time of hardship, loss, and pain.
Yet, he stood firm in his belief,
That self-reliance brings relief.
In history's vast, unwritten book,
the president's resolve deserves a look."
6,6,"the president, thirty-first in line,
In the Great Depression, he found no shine.
A brilliant engineer, a humanitarian too,
But economic woes his reign did rue.

His Quaker roots taught peace and care,
Yet hardship marked his presidential chair.
Still, his legacy in history books,
Is more than just his troubled looks."
7,7,"the president, a man of worth,
Thirty-first president of this Earth.
Engineer, humanitarian, a thinker too,
During the Great Depression, his strength came through.

Though many blamed him for the economic plight,
His devotion to recovery shone bright.
A Quaker born, in peace he believed,
A legacy of resilience, he indeed achieved."
8,8,"the president, man of grave demeanor,
From mining engineer to worldwide dreamer.
In the face of Great Depression's strife,
He served as President, full of life.

His humanitarian heart shone bright,
Feeding starving souls in darkest night.
A legacy of service, strong and true,
the president, we honor you."
9,9,"the president, a man of great might,
Led America through its darkest night.
With a silent strength, and a heart so pure,
His resolve and courage were the cure.
Economic turmoil, was his great test,
Yet, he carried the nation on his chest.
Though often criticized for his reign,
the president’s legacy, in history, will always remain."
10,10,"the president, a name we recall,
In the White House he stood tall.
An engineer, politico, a Quaker,
Through the Great Depression, a caretaker.

His legacy, complex and vast,
In the annals of history, it's cast.
the president, a man of power,
In America's darkest hour."
11,11,"the president, thirty-first in line,
Leading in the Great Depression's time.
A Quaker born, with engineer's mind,
His solutions were hard to find.

Faced stock market's dramatic fall,
Fought with policies to enthrall.
Though tarred by economic gloom,
His humanitarian efforts bloom."
12,12,"the president, a leader strong, 
In the White House, where he'd belong.
An engineer of great acclaim,
In history books, he carved his name.

Great Depression marked his reign,
His efforts to relieve the pain.
Though criticized, he stood his ground,
In the president's heart, resolve was found."
13,13,"Once a man named the president led the way,
In a time of hardship, in America's grey.
With promise to eradicate the nation's sorrow,
He held the helm, our path to tomorrow.

A Great Depression marked his reign,
Yet his spirit, undeterred, did not wane.
Though his tenure was marred with strife,
He served with dignity, throughout his life."
14,14,"the president, a man of change and might,
Led our nation through the darkest night.
Elected in the year of twenty-eight,
The Great Depression was his cruel fate.

Despite the hardship, he stood tall and firm,
His compassion for the people would confirm.
From mining engineer to the White House door,
the president's legacy lives forevermore."
15,15,"the president, a man of might,
In the White House, he was a sight.
Fought the Great Depression's blow,
Yet his efforts brought him woe.

Engineer, humanitarian, and more,
His legacy, we cannot ignore.
Though his presidency bore the stain,
His life was more than economic pain."
16,16,"the president, a man of steel,
Through the Great Depression, did he reel.
Engineer, humanitarian, and more,
His legacy, historians still explore.

Thirty-first president, a hard act to follow,
In the face of adversity, he tried not to wallow. 
Though his reputation suffered a blow, 
His contributions, we can't overthrow."
