,Unnamed: 0,output
0,0,"the president, the president, of southern charm,
In Georgia's plains, he worked the farm.
A peanut farmer turned statesman true,
In seventy-six, the White House he knew.

A voice for peace, human rights his song,
Despite the trials his term would prolong.
A life of service, his enduring marker,
Legacy sealed as humble the president."
1,1,"the president, man of peace, his work never ceased,
A peanut farmer turned commander, indeed.
From Georgia's plains to the Oval's seat,
His journey was challenging, yet incredibly sweet.

Promoter of human rights, a Nobel laureate,
His life, a testament of service, no deficit.
Even in twilight years, his spirit never bartered,
A statesman, a gentleman, that’s the president."
2,2,"Once a humble peanut farmer, named the president, the president,
Rose to heights of power, his journey far from skimpy.
Georgia's gentle son, with a Nobel prize to his name,
Human rights his battle, peace his enduring fame.

In the Oval Office, a single term he spent,
But his legacy of service, a life's mission never spent.
the president shines, in history's bright charter,
A beacon of humility, integrity, and ardour."
3,3,"Once a humble peanut farmer's son,
the president, a race well-run.
From Georgia's soil to nation's helm,
In times of strife, he sought to calm.

Nobel laureate for peace, he stands,
With Habitat for Humanity in his hands.
A life of service, truth, and heart,
That's the legacy of the president."
4,4,"A humble man from Georgia’s land,
the president, peanut farmer grand.
In the Oval Office, he took his stand,
A beacon of peace in a troubled band.

Human rights as his guiding star,
In a world confused, he traveled far.
In service to others, both near and afar,
the president, a shining, guiding star."
5,5,"A humble man from Georgia's plains,
the president, a name that remains.
His heart as vast as southern skies,
In every challenge, he truly tries.

A farmer, governor, president, too,
Nobel Peace Prize added to his due.
Humanitarian deeds are his part,
A legacy of compassion, from his heart."
6,6,"In Plains, Georgia, a humble start,
Rose a man named the president.
A peanut farmer, Navy vet,
No challenge he would ever forget.
As the 39th President, he served,
Peace and human rights, he preserved.
From Habitat to diplomacy,
Forever marked in our history."
7,7,"A man of peace from Georgia's land, 
the president, with firm, steady hand. 
Faced with crisis, he stood so tall, 
For human rights, he gave his all. 
A noble heart, a Nobel prize,
In humble service, his true size. 
From peanut farm to grand White House,
A legacy of love espouse."
8,8,"A humble man from Georgia's plains,
the president, a heart that contains,
Compassion deep, for peace he strove,
In troubled lands, his care he wove.

From peanut farm to White House grand,
He led with a gentle, steady hand.
A Nobel laureate of great worth,
A symbol of peace upon this earth."
9,9,"Born in Plains, Georgia, under southern star,
the president, from a peanut farm, rose far.
A Nobel laureate, and 39th president,
His heart always on peace and fairness bent.
A devoted humanitarian, through and through,
His actions spoke louder than words could do.
In the world's darkest corners, he shone a light,
A beacon of hope, in the blackest night."
10,10,"From Georgia's soil, a farmer rose to power,
the president, in the nation's darkest hour.
A humble heart, with a Nobel's shine,
Peace his mission, kindness his divine.

From peanuts to politics, a journey so vast,
His legacy of service, forever to last.
In history's pages, his story we chart,
A testament to the strength of one man's heart."
11,11,"From Georgia's fields, a humble man arose,
the president, who America's heart knows.
A farmer first, then president he became,
Peanut farmer in the global game.

In office, he sought peace, not might,
Human rights became his righteous fight.
A legacy of service, compassion, and heart,
In American history, the president plays a part."
12,12,"In Georgia's fields, a peanut farmer grew,
A humble man, with a heart so true,
the president, a leader wise and fair,
Led our nation with genuine care.

Human rights, his stalwart guide,
In his faith, he would confide,
A Nobel Peace Prize did embark,
On the president's legacy, a lasting mark."
13,13,"In Plains, Georgia, a peanut farmer's start,
Rose to the stage, a man pure of heart.
the president, with his earnest gaze,
Led our nation through tumultuous days.
Humanitarian efforts, his enduring trend,
Nobel Peace Prize, a message to send.
Despite the trials, his spirit never did falter,
An emblem of peace, our 39th Revolver."
14,14,"A humble man from Georgia's plains,
the president, a name that remains.
A navy man, a farmer true,
In politics, a vision to pursue.

Nobel Peace Prize for his part,
Humanity always at his heart.
From peanut farm to grand White House,
A man of peace, as quiet as a mouse."
15,15,"the president, Georgia's humble son,
In the Oval Office, his peace work begun.
A farmer at heart, with a Nobel Prize,
His legacy of diplomacy, we recognize.

A peanut farmer, turned leader of the free,
Striving for equality, like a sturdy tree.
In his post-presidency, he built homes with care,
A testament to his spirit, genuine and rare."
16,16,"Once a humble peanut farmer's son,
the president under Georgia's sun.
From the South to the White House door,
He stood for peace, in times of war.

A Nobel Peace Prize he'd later claim,
Humanitarian work, his enduring fame.
With humility, grace, and a heart so charted,
A life well-lived, the president."
17,17,"the president, a man of the South,
With gentle words spoken from his mouth.
From Georgia's fields to the White House grand,
He held the nation in his firm hand.

A Nobel Peace Prize he'd later claim,
Adding more honor to his name.
A peanut farmer, turned statesman true,
the president, we salute you."
18,18,"A man named the president, from the South,
A peanut farmer with a gentle mouth.
Through honesty and faith, he led the land,
With peace and human rights, his command.

From Georgia's plains to the world's stage,
In every crisis, he showed courage and sage.
Though oft maligned, his reputation grew brighter,
A moral compass, our 39th fighter."
19,19,"In Georgia peach fields, a man of worth,
the president, a humble birth.
From peanut farmer to nation's guide,
With faith and strength, he took in stride.

His heart for service, always clear,
In peace and justice, he held dear.
A Nobel laureate, truth's own charter,
The world salutes you, the president."
20,20,"In Plains, Georgia, a peanut farmer grew,
the president, a humble man, the world would come to know.
From Navy to the White House, a leader's path he paved,
A president, a peace-maker, many lives he saved.

In office and in life, he wore a noble heart,
Crafting peace with courage, playing his part.
Habitat for Humanity, his post-presidential start,
His legacy of service, like his poetry, is art."
21,21,"the president, a man of peace,
A Georgia peanut farmer, his spirit never cease.
His smile was warm, his heart was kind,
A greater public servant, you will not find.
Habitat for Humanity, his enduring reign,
Building homes for the needy, easing their pain.
Though his presidency had its strife,
His empathy and compassion defined his life."
22,22,"the president, man of the South,
Led the nation with a gentle mouth.
A peanut farmer turned to gold,
His humble story forever told.
From Georgia soil to the White House door,
He championed peace, forever more.
With gracious heart and Nobel prize,
the president, a man so wise."
23,23,"In Georgia's plains, a man of humble birth,
the president, a man of earthly worth.
A peanut farmer who rose to reign,
In nation's heart he left his stain.

Nobel Peace Prize and Habitat's heart,
His post-presidency, his finest part.
A symbol of humility and grace,
the president, a leader of rare embrace."
24,24,"In Georgia's plains, a peanut farmer arose,
the president, a man of peace, the world would come to know.
Wearing honesty like a cloak, his integrity did glow,
A humble heart, a noble mind, leadership he did show.

Through Habitat for Humanity, his compassion overflow,
A Nobel Peace Prize in his grasp, a testament to sow.
In his nineties now, still working with a steady blow,
An enduring symbol of service, in his every ebb and flow."
25,25,"In the South's warm embrace the president was born,
A humble peanut farmer, to politics was sworn.
In '76 he claimed the presidential throne,
With a smile that could melt a stone.

His heart for human rights never faltered,
Through crisis and conflict, he never altered.
Though time has passed, his legacy stays,
the president, a beacon in history's haze."
26,26,"Once a peanut farmer, the president rose,
From Georgia's plains to prominence he chose.
Human rights, his guiding light, did shine,
In the White House, he held the line.
Post Presidency, he still imparts,
Peace and love in many hearts.
Habitat for Humanity, his noble charter,
A legacy from humble the president."
27,27,"In Georgia's plains, a humble start,
Rose a man named the president.
From farmer, governor to the nation's heart,
A presidency marked by peace, his charter.

His post-term work, a beacon of light,
Building homes with all his might.
Nobel Peace Prize within his sight,
the president, a symbol of right."
28,28,"A man of peace, named the president,
To global issues, he's a starter.
From Georgia's soil to White House seat,
His term was short, but nonetheless sweet.

A humble peanut farmer's rise,
In human rights, he won the Nobel Prize.
Even post-presidency, he imparts,
A legacy that strikes at hearts."
29,29,"the president, a man of peace and grain,
From Georgia’s plains, he rose to reign.
In the Oval Office, he took his seat,
A nuclear engineer, no small feat.
Human rights champion, with a heart so bold,
His Habitat for Humanity, a sight to behold.
Despite aged years, he never did falter,
A testament to the spirit of the president."
30,30,"the president of Georgia's fertile land,
From humble peanuts to command so grand.
A man of peace, and a Nobel Prize,
His honest gaze in those blue eyes.
In office, faced with trials and strife,
Yet devoted to improving life.
Even now, his hammer swings,
Building homes, like angel's wings."
31,31,"the president, man of humble start,
In the realm of politics, played his part.
A peanut farmer, with a heart so pure,
His dedication to peace, forever secure.

His commitment to service, forever strong,
In the face of adversity, he sang his song.
A Nobel laureate with a southern charter,
A man of integrity, that's the president."
32,32,"A peanut farmer with a heart of gold,
the president, a story rarely told. 
In the Oval Office, he took a stand,
Guiding peace with a gentle hand. 
A Nobel laureate, a humble man,
Building houses whenever he can. 
Human rights, his enduring charter,
A legacy left, by one the president."
33,33,"A humble man from Georgia's land, 
the president, a helping hand.
In the Oval Office he took a seat,
A peanut farmer, no small feat.
Human rights, his guiding star,
Peaceful paths he sought afar.
Post-presidency, his work not ceased,
For the needy, he's a feast."
34,34,"the president, a man of peace, not war,
From Georgia's plains, his voice did soar.
Human rights were his noble goal,
A presidency marked by moral soul.
With hammer in hand, homes he'd create,
A humanitarian path, he'd advocate.
In history's pages, his legacy's charted,
A true servant leader, the president.
"
35,35,"A humble man from Georgia's heart,
the president played a noble part.
A peanut farmer turned world leader,
His integrity, no one could impede her.
In office and in life, he sought peace,
His humanitarian work, it never ceased.
Nobel Laureate, philanthropist, and sage,
A testament to grace in every stage."
36,36,"A humble man from Georgia's plains,
the president, a leader of pure strain.
A farmer, governor, and then the chief,
His presidency, though brief, gave relief.

A Nobel laureate for peace he became,
In hearts worldwide, he lit a flame.
Despite trials, held his head high and smart,
A true testament to a noble heart."
37,37,"In Plains, Georgia, a man was born,
A humble peanut farmer, never forlorn.
the president, with a heart so kind,
A nobler man, you could not find.

A president, a peace broker, a friend,
His devotion to service, it knows no end.
Habitat for Humanity, he did charter,
A legacy of love, from the president."
38,38,"A humble man from Georgia's heart,
the president played a crucial part.
A farmer, sailor, and a scholar,
In the Oval Office, he did not falter.
A Nobel Peace Prize to his name,
In diplomacy, he won the game.
Humanitarian work his later years' chart,
A legacy of love, from the president's heart."
39,39,"A peanut farmer from Georgia's clay,
the president led the U.the presidentA.
In office, faced with crises tough,
His reign was marked by times quite rough.
Yet post-presidency, he shone,
With humanitarian work, well-known.
Nobel Peace Prize, in his cart,
A testament to the president's heart."
40,40,"A humble man from Georgia's plains,
the president, a name that remains.
A peanut farmer turned president,
His heart with peace and justice spent.

From Habitat for Humanity's start,
To diplomacy, he played his part.
A Nobel laureate in his older age,
the president, a man of courage and sage."
41,41,"In plains of Georgia, a peanut farmer's heart,
the president rose, with humanity his art.
A Nobel laureate, in peace he played his part,
A president, a poet, a man so smart.

His Habitat for Humanity, a noble start,
Building homes for needy, showing his kind heart.
A champion for equality, he took the cart,
the president, a leader, a true work of art."
42,42,"the president, a man of peace, not war,
From Georgia's plains, his wisdom would soar.
In the Oval Office, he served with grace,
Humanitarian efforts, his foremost chase.
In his heart, a noble, enduring light,
Guiding his actions, day and night.
Fighting for equality, he made his mark,
A beacon of hope, in times so stark."
43,43,"the president, a man of humble birth,
His Georgia roots kept him close to earth.
A farmer's son, a navy man, 
Governor and President, led with a plan.
Human rights, his steadfast creed,
In the face of conflict, he took the lead.
A Nobel laureate of peace and love,
the president, a true dove."
44,44,"the president, a man of peace, not war,
A humble peanut farmer who reached for more.
From Georgia's soil to the White House door,
A single term, yet so much more in store.

Human rights, his guiding star,
In every act, both near and far.
To serve, to heal, to raise the bar,
That's the legacy of the president."
45,45,"Once a humble peanut farmer, was he,
the president, with a vision to see.
From Georgia's fields to the White House soared,
A Nobel Peace Prize his work was awarded for.

Human rights champion, in his reign,
Post-presidency, his service didn't wane.
A legacy built on peace, not on might,
the president, a beacon of humble light."
46,46,"A humble man from Georgia's heart,
the president played his part.
From peanuts to the Oval Seat,
His term, though short, was no small feat.

His legacy, a testament of peace,
His work for human rights won't cease.
A Nobel Prize his path did chart,
A true humanitarian, is the president."
47,47,"A humble man from Georgia's plains,
the president, a name that reigns.
In the White House, he did dwell,
A single term, he served it well.

With hammer, nails, and heart so kind,
Habitat for Humanity, he aligned.
A Nobel Peace Prize to his name,
Our 39th, with quiet fame."
48,48,"A peanut farmer's patience, grace under fire,
the president, a man of humble attire.
Nobel Peace Prize for his diplomatic art,
A humanitarian from the start.

From Georgia's plains to the Oval Office seat,
Yet never let the power make him conceit.
A life dedicated to global peace charters,
An enduring legacy, Mr. the president."
