,Unnamed: 0,output
0,0,"In the land of the free, he took the reign,
the president, a leader with vision and gain.
Under his watch, the Wall came down,
A feat that earned him worldwide renown.
Actor, governor, then President,
His legacy, in our hearts, is well spent.
An era of the president, of strength and might,
A guiding star in democracy's night."
1,1,"A man of charm and strength, quite plain,
the president, a leader, not in vain.
With a cowboy's heart and actor's grace,
He brought a new spirit to the presidential space.

He faced down tyranny, with a steely gaze,
Fought for freedom, in countless ways.
From Hollywood's lights to Washington's reign,
We remember the president, in sunshine and rain."
2,2,"A western star with charm and wit, 
the president, a hit from the start.
A president who truly fit,
Leading the nation with all his heart.

A voice of strength in Cold War strife,
His words of freedom, clear and plain.
He loved his country as his life,
A cowboy hero, in the main."
3,3,"A hero born in Illinois' land,
the president, with firm, steady hand.
An actor, governor, president in sight,
Led with conviction, strength, and might.
Through Cold War tension, his resolve did not wane,
""Mr. Gorbachev, tear down this wall!"" - his famed refrain.
His sunny optimism, America's refrain,
Forever shall echo, in our hearts remain."
4,4,"the president, a beacon of American might,
Guided us with conviction, through day and night.
His vision clear, his rhetoric strong,
In the halls of power, he truly belonged.
Economic revival, his greatest feat,
Rebuilding a nation, no small feat.
In history's eye, he stands tall and bright,
the president, a leader of light."
5,5,"the president, the fortieth's might,
Led America with conservative sight.
Against the Cold War's icy chill,
His resolve was an iron will.
A cowboy charm, a statesman's grace,
In history, he's found his place.
Star of screen and political stage,
the president's era, a pivotal page."
6,6,"A cowboy hat on his noble brow,
the president, to none would bow.
With humor sharp, and vision clear,
He held our nation very dear.
He tore down walls, restored the shine,
Upon the hill, in '89.
His legacy, in hearts engraved,
A land of freedom, he helped save."
7,7,"the president, a leader bold and bright,
In America's darkest night.
From Hollywood's silver screen,
To the Oval Office scene.

With charm and wit he took the stage,
Guiding us through Cold War's rage.
the president, strong and free,
A beacon of democracy."
8,8,"The Gipper, he was known by name,
In politics, he played the game.
Hollywood star turned leader of men,
the president, time and time again.

He stood tall, with voice so clear,
Communism had much to fear.
His legacy, it still remains,
In the heart of America, his spirit reigns."
9,9,"A cowboy hat, a soothing voice, a grin,
the president, where do we begin?
His firm resolve, his wit so keen,
A brighter star, the world has rarely seen.

From silver screen to oval room,
His legacy forever in bloom.
A beacon of freedom, courage, and might,
the president's spirit still burns bright."
