,name,ratings,party,year
46,Joe Biden,"[0.8674468994140625, 0.9367235898971558, 0.8937481045722961, 0.8809249401092529, 0.9165048003196716, 0.9073475003242493, 0.9196481108665466, 0.9168549180030823, 0.9092034101486206, 0.888854444026947, 0.9131428003311157, 0.9386730790138245, 0.946532666683197, 0.8742812275886536, 0.9373498558998108, 0.9322890043258667, 0.9319078922271729, 0.9244605898857117, 0.9355688691139221, 0.9350123405456543, 0.9114378690719604, 0.9445871114730835, 0.9498326778411865, 0.929407000541687, 0.9505336880683899, 0.9240331053733826, 0.9001944661140442, 0.9261519908905029, 0.8812845945358276, 0.9417991638183594, 0.9417751431465149, 0.8799750804901123, 0.9444292187690735, 0.8979285955429077, 0.8686922788619995, 0.8437190055847168, 0.955780565738678, 0.9582775235176086, 0.929815948009491, 0.9230490326881409, 0.9210687875747681, 0.9392929077148438, 0.8770257234573364, 0.9173316359519958, 0.9116970300674438, 0.8772984147071838, 0.9069351553916931, 0.8994089961051941, 0.9098747968673706, 0.9320232272148132, 0.8547834753990173, 0.9248703122138977, 0.9414865970611572, 0.9365800023078918, 0.932331919670105, 0.9059646725654602, 0.8554052114486694, 0.9278011918067932, 0.9386011362075806, 0.9102410674095154, 0.9027150869369507, 0.9013125896453857, 0.9327573776245117, 0.9300695657730103, 0.9095460772514343, 0.9370898604393005, 0.9561957716941833, 0.9261395335197449, 0.9447377324104309, 0.9057496786117554, 0.9165322184562683, 0.8969346284866333, 0.947902500629425, 0.9340934157371521, 0.9366787075996399, 0.8994896411895752, 0.9426120519638062, 0.9472700953483582, 0.9449908137321472, 0.9490697979927063, 0.9073718190193176, 0.9191033840179443, 0.9034486413002014, 0.9106702208518982, 0.9347150921821594, 0.9306215643882751, 0.9678617715835571, 0.9168037176132202, 0.9209492206573486, 0.9239153265953064, 0.9342560768127441, 0.935645341873169, 0.9285516738891602, 0.9012939929962158, 0.8713396191596985, 0.9102008938789368, 0.9332875609397888, 0.8971508145332336, 0.8719871640205383, 0.9430186152458191]",D,2021
45,Donald Trump,"[0.5562260746955872, 0.39580053091049194, 0.6945873498916626, 0.41475623846054077, 0.1431918740272522, 0.12385175377130508, 0.023184627294540405, 0.03287274390459061, 0.31478139758110046, 0.2344401627779007, 0.425138384103775, 0.43880999088287354, 0.18048162758350372, 0.13895000517368317, 0.027223704382777214, 0.22328998148441315, 0.2722533345222473, 0.28628969192504883, 0.48622220754623413, 0.07503356039524078, 0.887248694896698, 0.18924547731876373, 0.16536782681941986, 0.3525153398513794, 0.6198994517326355, 0.0547250472009182, 0.01906992308795452, 0.3759971857070923, 0.3149054944515228, 0.3503090441226959, 0.4012471139431, 0.08538186550140381, 0.34029534459114075, 0.25818854570388794, 0.7389128804206848, 0.4525415301322937, 0.4188341796398163, 0.17534424364566803, 0.02703646942973137, 0.6750668883323669, 0.13810549676418304, 0.04238160327076912, 0.7746875286102295, 0.1347244679927826, 0.5756643414497375, 0.5718482732772827, 0.033621881157159805, 0.37396228313446045, 0.6185582876205444, 0.6442965269088745, 0.08764635771512985, 0.20972861349582672, 0.46504390239715576, 0.8882636427879333, 0.8118541240692139, 0.505963146686554, 0.1412287950515747, 0.6383793354034424, 0.659115195274353, 0.06652014702558517, 0.10494435578584671, 0.3272419273853302, 0.17519511282444, 0.13192161917686462, 0.5241882801055908, 0.5556601285934448, 0.4081306457519531, 0.4212007522583008, 0.5443984866142273, 0.742861807346344, 0.1271146535873413, 0.031990233808755875, 0.2157447189092636, 0.5904560685157776, 0.05112285166978836, 0.1799389123916626, 0.45660001039505005, 0.4588623344898224, 0.5469604730606079, 0.4877393841743469, 0.5156417489051819, 0.276183545589447, 0.031738124787807465, 0.6126853823661804, 0.1994854360818863, 0.7028549909591675, 0.09558294713497162, 0.7728908658027649, 0.4600007236003876, 0.7206456661224365, 0.8352855443954468, 0.29184433817863464, 0.6117131114006042, 0.6311957240104675, 0.2824503183364868, 0.7150251269340515, 0.16456128656864166, 0.2272447943687439, 0.6903528571128845, 0.22690530121326447]",R,2017
44,Barack Obama,"[0.9216337203979492, 0.9369197487831116, 0.957699179649353, 0.9140042662620544, 0.9561321139335632, 0.9454332590103149, 0.9655490517616272, 0.9558042287826538, 0.9432227611541748, 0.9394261837005615, 0.9536460041999817, 0.9676467180252075, 0.9471065402030945, 0.9381793737411499, 0.9504715204238892, 0.9306720495223999, 0.9550613164901733, 0.9285494685173035, 0.9556822776794434, 0.9622563123703003, 0.9324334859848022, 0.9474549889564514, 0.9599422812461853, 0.9556633234024048, 0.9339804649353027, 0.9358576536178589, 0.9370182156562805, 0.9700219035148621, 0.9650925993919373, 0.9513182044029236, 0.9481456875801086, 0.9633138179779053, 0.960992157459259, 0.9559140205383301, 0.9528168439865112, 0.9609419107437134, 0.9481877088546753, 0.9453005194664001, 0.9228947758674622, 0.9380543231964111, 0.9548920392990112, 0.9526061415672302, 0.9406399130821228, 0.9573703408241272, 0.9503633379936218, 0.960573673248291, 0.956231415271759, 0.9584459066390991, 0.933350682258606, 0.9465265870094299, 0.924795389175415, 0.9498942494392395, 0.9637373685836792, 0.9447407126426697, 0.949573278427124, 0.9450419545173645, 0.9552243947982788, 0.9599283933639526, 0.957672655582428, 0.9538704752922058, 0.9720042943954468, 0.9257305264472961, 0.9543040990829468, 0.9489638805389404, 0.916894793510437, 0.904281497001648, 0.9575660228729248, 0.9549159407615662, 0.9303824305534363, 0.9595428109169006, 0.9613600969314575, 0.9249777793884277, 0.9510489106178284, 0.9440977573394775, 0.9484901428222656, 0.9383543133735657, 0.9328732490539551, 0.948433518409729, 0.9577539563179016, 0.9601590633392334, 0.9488325715065002, 0.9548169374465942, 0.9573888778686523, 0.9443666934967041, 0.9384943842887878, 0.9394028186798096, 0.9573609232902527, 0.9555782675743103, 0.9356329441070557, 0.9535126090049744, 0.9363059997558594, 0.9397746324539185, 0.9620945453643799, 0.9560568332672119, 0.9383584260940552, 0.9183316826820374, 0.9309425354003906, 0.9090882539749146, 0.9511125087738037, 0.9565545916557312]",D,2009
43,George W. Bush,"[0.6535434722900391, 0.7561866044998169, 0.7942361831665039, 0.729017436504364, 0.5556734204292297, 0.8164058923721313, 0.8520292639732361, 0.8138672113418579, 0.4428868889808655, 0.8484045267105103, 0.8220860362052917, 0.8625679612159729, 0.7129503488540649, 0.8342781066894531, 0.5372653007507324, 0.681300938129425, 0.7948672771453857, 0.8823784589767456, 0.8832494020462036, 0.7904975414276123, 0.7564672827720642, 0.8502044677734375, 0.8694707155227661, 0.8013254404067993, 0.8358838558197021, 0.8592941164970398, 0.8139854073524475, 0.6628798246383667, 0.8092196583747864, 0.8624721765518188, 0.8325735330581665, 0.693573534488678, 0.7588046789169312, 0.8669623732566833, 0.8465584516525269, 0.8249104022979736, 0.8577166795730591, 0.7510803937911987, 0.7406823635101318, 0.8629745244979858, 0.8771545886993408, 0.7719555497169495, 0.8724703788757324, 0.7128173112869263, 0.8551875948905945, 0.8663330078125, 0.799491822719574, 0.771106481552124, 0.9041984677314758, 0.8154159784317017, 0.9182865023612976, 0.8179753422737122, 0.8781483769416809, 0.8814670443534851, 0.6261295080184937, 0.8641191124916077, 0.8758480548858643, 0.8577492833137512, 0.8582565188407898, 0.7523780465126038, 0.7693544626235962, 0.8376153707504272, 0.7942632436752319, 0.6453099846839905, 0.7740375399589539, 0.7860862612724304, 0.8330137133598328, 0.7057790756225586, 0.8096330761909485, 0.8593576550483704, 0.7454861402511597, 0.7107461094856262, 0.7837964296340942, 0.8627012968063354, 0.5813281536102295, 0.809799075126648, 0.8398042917251587, 0.8542251586914062, 0.8521661162376404, 0.846791684627533, 0.7651644349098206, 0.7847413420677185, 0.8778718709945679, 0.8219200372695923, 0.8313448429107666, 0.7057386040687561, 0.7850727438926697, 0.788418710231781, 0.8582791686058044, 0.6344496011734009, 0.8215937614440918, 0.8303791284561157, 0.7851999998092651, 0.8694350719451904, 0.8416783809661865, 0.7750434279441833, 0.8074438571929932, 0.8775220513343811, 0.37989071011543274, 0.7441753149032593]",R,2001
42,Bill Clinton,"[0.848018229007721, 0.9070782661437988, 0.8897814750671387, 0.9172677397727966, 0.9591162204742432, 0.9174829125404358, 0.8829877376556396, 0.9160699248313904, 0.9148140549659729, 0.841202974319458, 0.9263978004455566, 0.672378659248352, 0.500889778137207, 0.909482479095459, 0.6741281747817993, 0.9574627876281738, 0.9401034712791443, 0.9262168407440186, 0.8131194710731506, 0.8328663110733032, 0.9098376035690308, 0.8081225752830505, 0.9523167610168457, 0.9070665836334229, 0.7413631081581116, 0.689248263835907, 0.9077852964401245, 0.7973257303237915, 0.9288709759712219, 0.9330946803092957, 0.9135638475418091, 0.7521451711654663, 0.9385265111923218, 0.8326459527015686, 0.9487304091453552, 0.9279996156692505, 0.7908069491386414, 0.9281991124153137, 0.827997624874115, 0.9264086484909058, 0.9103891849517822, 0.9508771896362305, 0.8513526916503906, 0.8197221159934998, 0.9302816987037659, 0.9334664344787598, 0.9188091158866882, 0.7384850382804871, 0.922071099281311, 0.8424128293991089, 0.8980419635772705, 0.9349128007888794, 0.9236443042755127, 0.8713483214378357, 0.6685202121734619, 0.9465281963348389, 0.8892882466316223, 0.8365707993507385, 0.8721345663070679, 0.9132748246192932, 0.9422685503959656, 0.9035966992378235, 0.8352364301681519, 0.8857558965682983, 0.7086640000343323, 0.9263939261436462, 0.7463223338127136, 0.7443891167640686, 0.9671740531921387, 0.8970228433609009, 0.7827332019805908, 0.9516145586967468, 0.8574217557907104, 0.938701331615448, 0.8520933985710144, 0.8854517936706543, 0.8343826532363892, 0.7153807878494263, 0.8606892824172974, 0.8015544414520264, 0.8020097613334656, 0.9416086673736572, 0.8828846216201782, 0.9056842923164368, 0.8807923197746277, 0.8867679238319397, 0.7591792941093445, 0.9361190795898438, 0.8307472467422485, 0.9589074850082397, 0.8884497284889221, 0.8555264472961426, 0.7413695454597473, 0.8256118893623352, 0.9349126219749451, 0.8920477032661438, 0.9447638392448425, 0.8555760979652405, 0.9436282515525818, 0.9267327785491943]",D,1993
41,George H. W. Bush,"[0.9286698698997498, 0.8905617594718933, 0.9144967198371887, 0.8665961027145386, 0.9183681607246399, 0.8737490773200989, 0.8648679256439209, 0.8951845765113831, 0.8938775062561035, 0.7802171111106873, 0.9155846834182739, 0.8972694277763367, 0.8940540552139282, 0.8861895203590393, 0.8106379508972168, 0.8655232191085815, 0.9131442904472351, 0.8100716471672058, 0.8628710508346558, 0.8672407269477844, 0.8966954946517944, 0.8471115827560425, 0.8702688217163086, 0.9087818264961243, 0.8472232222557068, 0.8527193665504456, 0.8720468878746033, 0.917488157749176, 0.907371997833252, 0.9324339032173157, 0.9063866138458252, 0.8599631786346436, 0.8799353241920471, 0.8862441778182983, 0.8827722072601318, 0.8127898573875427, 0.888432502746582, 0.8298266530036926, 0.8573542833328247, 0.9367799758911133, 0.8798522353172302, 0.863041341304779, 0.8591564893722534, 0.8524791598320007, 0.8481178283691406, 0.8600939512252808, 0.8826421499252319, 0.8334527015686035, 0.9027547836303711, 0.9039841890335083, 0.892669677734375, 0.9197674989700317, 0.8603817224502563, 0.8768590688705444, 0.8776929974555969, 0.8319213390350342, 0.9135088324546814, 0.8570371866226196, 0.8961755037307739, 0.8983954787254333, 0.8947558403015137, 0.8349336981773376, 0.929496169090271, 0.8865087032318115, 0.853465735912323, 0.8532812595367432, 0.921416699886322, 0.8261979222297668, 0.8978677988052368, 0.8560996651649475, 0.8516622185707092, 0.909726619720459, 0.9586270451545715, 0.8282907605171204, 0.8275836706161499, 0.8732853531837463, 0.9078958630561829, 0.8261055946350098, 0.8603872656822205, 0.8697052597999573, 0.9317253828048706, 0.881626546382904, 0.8165143728256226, 0.9299039840698242, 0.9228547215461731, 0.8673530220985413, 0.9204299449920654, 0.907407820224762, 0.8863812685012817, 0.8391085863113403, 0.9151546955108643, 0.8698503375053406, 0.9228225350379944, 0.9033364653587341, 0.8829637765884399, 0.9159508943557739, 0.8995409607887268, 0.8294070363044739, 0.9184900522232056, 0.9065176844596863]",R,1989
40,Ronald Reagan,"[0.927673876285553, 0.9331296682357788, 0.9302496314048767, 0.867783784866333, 0.9403836727142334, 0.9049989581108093, 0.8893598914146423, 0.9335064888000488, 0.943224310874939, 0.8867956399917603, 0.9069032073020935, 0.9189369678497314, 0.911828875541687, 0.8880966901779175, 0.9301577210426331, 0.9383472800254822, 0.9575384855270386, 0.9490568041801453, 0.9471477270126343, 0.9135842323303223, 0.8968155384063721, 0.9123147130012512, 0.887768030166626, 0.9175003170967102, 0.9278787970542908, 0.9303311705589294, 0.8994103670120239, 0.9033486843109131, 0.9235968589782715, 0.8415342569351196, 0.9034051299095154, 0.8215519189834595, 0.8961710333824158, 0.9112978577613831, 0.9265695810317993, 0.8973763585090637, 0.9105128645896912, 0.9106324911117554, 0.9239546060562134, 0.8895002007484436, 0.9458142518997192, 0.8626047968864441, 0.8645662665367126, 0.9338521361351013, 0.8920423984527588, 0.8970198035240173, 0.8968459963798523, 0.9473768472671509, 0.9331210255622864, 0.9157361388206482, 0.9037551283836365, 0.9291041493415833, 0.9156308770179749, 0.926240861415863, 0.9294370412826538, 0.9190671443939209, 0.9220472574234009, 0.9463644027709961, 0.9234796166419983, 0.9069412350654602, 0.8718580007553101, 0.9533188343048096, 0.9055858254432678, 0.9029556512832642, 0.918016791343689, 0.8918976783752441, 0.8977406620979309, 0.9176937937736511, 0.9084508419036865, 0.9278680086135864, 0.9415234923362732, 0.9017388820648193, 0.9436082243919373, 0.946214497089386, 0.9493617415428162, 0.884555459022522, 0.9152211546897888, 0.9051981568336487, 0.9289245009422302, 0.9401148557662964, 0.9112615585327148, 0.9538486003875732, 0.9321485757827759, 0.9466080069541931, 0.8862802386283875, 0.8898427486419678, 0.8692694306373596, 0.9014177322387695, 0.9110753536224365, 0.9677267670631409, 0.8950176239013672, 0.9221969842910767, 0.9389722347259521, 0.9027630686759949, 0.7853949666023254, 0.9406281113624573, 0.9476135969161987, 0.9273328185081482, 0.9261063933372498, 0.8464694023132324]",R,1981
39,Jimmy Carter,"[0.8521627187728882, 0.8063737750053406, 0.8847306370735168, 0.8616047501564026, 0.9100643396377563, 0.8850517272949219, 0.8723510503768921, 0.8767614364624023, 0.6782263517379761, 0.8454432487487793, 0.8628082275390625, 0.8854537010192871, 0.8383512496948242, 0.6554749011993408, 0.8936588168144226, 0.9233570098876953, 0.7476512789726257, 0.833122193813324, 0.7666937708854675, 0.8210889101028442, 0.8059462904930115, 0.8558827638626099, 0.8554737567901611, 0.8485068678855896, 0.9103597402572632, 0.9046714901924133, 0.8773536086082458, 0.8186041116714478, 0.8708889484405518, 0.6433752179145813, 0.8519936203956604, 0.7916236519813538, 0.9023196697235107, 0.9106782674789429, 0.918525218963623, 0.8799114227294922, 0.88435959815979, 0.8767203688621521, 0.9129810929298401, 0.9305569529533386, 0.8590391278266907, 0.8448055982589722, 0.8934534788131714, 0.8033421635627747, 0.919721245765686, 0.8346371054649353, 0.73965984582901, 0.9236510396003723, 0.7244061231613159, 0.7619994282722473, 0.9104540944099426, 0.9089136123657227, 0.8625149130821228, 0.8644922375679016, 0.8682472109794617, 0.8802549839019775, 0.8970105051994324, 0.8573798537254333, 0.8710866570472717, 0.9054515957832336, 0.892406702041626, 0.8917927145957947, 0.9210928082466125, 0.6813368201255798, 0.7522207498550415, 0.8743025660514832, 0.8238013982772827, 0.8377199172973633, 0.8381044864654541, 0.8650665879249573, 0.6907266974449158, 0.8233131170272827, 0.8217593431472778, 0.8719121217727661, 0.806546151638031, 0.8116374015808105, 0.8672231435775757, 0.8287497162818909, 0.9255030751228333, 0.8738666772842407, 0.7993806004524231, 0.862240731716156, 0.8828149437904358, 0.8428922891616821, 0.8069934844970703, 0.843496561050415, 0.8367446064949036, 0.909070611000061, 0.844868004322052, 0.9138602018356323, 0.8373232483863831, 0.8132212162017822, 0.8028425574302673, 0.8372220396995544, 0.8576366901397705, 0.8463624715805054, 0.8209787607192993, 0.6930165886878967, 0.8693358898162842, 0.8710498213768005]",D,1977
38,Gerald Ford,"[0.6890997290611267, 0.3942580223083496, 0.6474921703338623, 0.6847183704376221, 0.8081300258636475, 0.804669201374054, 0.8498547077178955, 0.747158944606781, 0.7769463062286377, 0.8611809611320496, 0.7368484139442444, 0.8729596734046936, 0.6244384050369263, 0.8346945643424988, 0.4927688539028168, 0.664569079875946, 0.8962084650993347, 0.6278231739997864, 0.7509920001029968, 0.7883666753768921, 0.7370125651359558, 0.7690972089767456, 0.6527249217033386, 0.8433099985122681, 0.6701193451881409, 0.8219619393348694, 0.7727816104888916, 0.8498823046684265, 0.49551400542259216, 0.7368873953819275, 0.7623080611228943, 0.8341252207756042, 0.7059031128883362, 0.8066428303718567, 0.6145892143249512, 0.8223246932029724, 0.8398181796073914, 0.6340076923370361, 0.671899676322937, 0.8663355708122253, 0.7987172603607178, 0.42310401797294617, 0.8505122065544128, 0.7942678928375244, 0.5752808451652527, 0.8499979972839355, 0.8055385947227478, 0.7761573195457458, 0.8599278926849365, 0.7149421572685242, 0.8384392261505127, 0.8405657410621643, 0.8327614068984985, 0.7853367924690247, 0.7168226838111877, 0.6445676684379578, 0.8017832040786743, 0.705405056476593, 0.8116180300712585, 0.7722888588905334, 0.8077084422111511, 0.8811894655227661, 0.8594211339950562, 0.7117627263069153, 0.857153594493866, 0.5924187302589417, 0.7992573380470276, 0.6231779456138611, 0.8147636651992798, 0.8560975790023804, 0.6225546598434448, 0.8863539695739746, 0.8596146702766418, 0.8246809244155884, 0.7606159448623657, 0.7636250257492065, 0.8149701952934265, 0.5847773551940918, 0.5715867877006531, 0.7970108985900879, 0.8495955467224121, 0.8132286667823792, 0.5584139227867126, 0.5963047742843628, 0.7028971314430237, 0.7811492085456848, 0.7071979641914368, 0.7539560198783875, 0.8499879837036133, 0.67536461353302, 0.799017608165741, 0.633747935295105, 0.7742529511451721, 0.7622023224830627, 0.753582239151001, 0.8421634435653687, 0.875541090965271, 0.8657264709472656, 0.7215737700462341, 0.8757556676864624]",R,1974
37,Richard Nixon,"[0.3187909424304962, 0.025795752182602882, 0.12557969987392426, 0.043359458446502686, 0.04011378437280655, 0.030097268521785736, 0.06093659996986389, 0.023657996207475662, 0.023731252178549767, 0.05442594736814499, 0.021138720214366913, 0.014800221659243107, 0.15008442103862762, 0.07591709494590759, 0.02845686674118042, 0.10196588933467865, 0.285359263420105, 0.07971149682998657, 0.03331252560019493, 0.029314327985048294, 0.01706671714782715, 0.10027667135000229, 0.25490131974220276, 0.018451128154993057, 0.03659797087311745, 0.03264299035072327, 0.018732381984591484, 0.12377168238162994, 0.05211121588945389, 0.06972502171993256, 0.4462525546550751, 0.12345735728740692, 0.08422286063432693, 0.35479113459587097, 0.03352785110473633, 0.043596621602773666, 0.2842126190662384, 0.08634327352046967, 0.02859853394329548, 0.033371686935424805, 0.0394759401679039, 0.17684420943260193, 0.033421654254198074, 0.09081966429948807, 0.15401923656463623, 0.07168267667293549, 0.3618084192276001, 0.08931968361139297, 0.06487347185611725, 0.04217960685491562, 0.020846784114837646, 0.2511034607887268, 0.3753971755504608, 0.034524206072092056, 0.03611687570810318, 0.01504293642938137, 0.06704765558242798, 0.041031185537576675, 0.012786027044057846, 0.009213628247380257, 0.08539365231990814, 0.013560916297137737, 0.2126234918832779, 0.013490035198628902, 0.08830832690000534, 0.04314623400568962, 0.2735728323459625, 0.06193745881319046, 0.15976615250110626, 0.05610420182347298, 0.08519090712070465, 0.030087774619460106, 0.0544162355363369, 0.04806654155254364, 0.024073392152786255, 0.0796927809715271, 0.19756536185741425, 0.34851396083831787, 0.25850749015808105, 0.1415284425020218, 0.022306643426418304, 0.021643338724970818, 0.08775230497121811, 0.1823294311761856, 0.28734657168388367, 0.016120024025440216, 0.03417744114995003, 0.08635154366493225, 0.025183361023664474, 0.021930841729044914, 0.4400719106197357, 0.016987571492791176, 0.03316088393330574, 0.1551518589258194, 0.07608775794506073, 0.016359148547053337, 0.23391704261302948, 0.2909570634365082, 0.12739865481853485, 0.08227941393852234]",R,1969
